"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","4.4535","4.3825","4.4635","4.3760","5.83K","1.55%"
"Dec 30, 2021","4.3855","4.4060","4.4240","4.3740","4.53K","-0.40%"
"Dec 29, 2021","4.4030","4.4300","4.4395","4.3750","4.67K","-0.51%"
"Dec 28, 2021","4.4255","4.4570","4.4855","4.4165","3.53K","-0.78%"
"Dec 27, 2021","4.4605","4.3755","4.4780","4.3350","2.92K","1.26%"
"Dec 24, 2021","4.4050","4.4050","4.4050","4.4050","-","0.50%"
"Dec 23, 2021","4.3830","4.3800","4.4020","4.3345","2.88K","0.03%"
"Dec 22, 2021","4.3815","4.3380","4.3830","4.3240","3.60K","1.03%"
"Dec 21, 2021","4.3370","4.2955","4.3480","4.2865","4.43K","1.20%"
"Dec 20, 2021","4.2855","4.2725","4.3015","4.2270","3.04K","-0.06%"
"Dec 17, 2021","4.2880","4.2910","4.3215","4.2695","3.84K","-0.21%"
"Dec 16, 2021","4.2970","4.2400","4.3130","4.2170","5.63K","2.86%"
"Dec 15, 2021","4.1775","4.2575","4.2705","4.1165","9.24K","-1.73%"
"Dec 14, 2021","4.2510","4.2895","4.2980","4.2445","2.79K","-0.68%"
"Dec 13, 2021","4.2800","4.2940","4.3250","4.2730","5.41K","0.02%"
"Dec 10, 2021","4.2790","4.3030","4.3455","4.2665","4.46K","-1.03%"
"Dec 09, 2021","4.3235","4.3660","4.3880","4.2900","4.87K","-1.38%"
"Dec 08, 2021","4.3840","4.3290","4.3870","4.3135","6.28K","1.20%"
"Dec 07, 2021","4.3320","4.3285","4.3790","4.2935","6.01K","0.08%"
"Dec 06, 2021","4.3285","4.2725","4.3360","4.2480","3.49K","1.60%"
"Dec 03, 2021","4.2605","4.2845","4.3315","4.2410","2.75K","-0.72%"
"Dec 02, 2021","4.2915","4.2310","4.3050","4.2285","4.00K","1.18%"
"Dec 01, 2021","4.2415","4.3065","4.3430","4.2065","4.14K","-0.76%"
"Nov 30, 2021","4.2740","4.3560","4.3580","4.2465","4.67K","-1.41%"
"Nov 29, 2021","4.3350","4.3000","4.3730","4.3000","3.62K","1.16%"
"Nov 26, 2021","4.2855","4.4765","4.5035","4.2810","6.68K","-3.48%"
"Nov 25, 2021","4.4400","4.4700","4.5000","4.4165","-","-0.57%"
"Nov 24, 2021","4.4655","4.4120","4.4925","4.3885","4.75K","1.09%"
"Nov 23, 2021","4.4175","4.3865","4.4465","4.3745","3.92K","0.56%"
"Nov 22, 2021","4.3930","4.3850","4.4210","4.3480","3.25K","0.07%"
"Nov 19, 2021","4.3900","4.2900","4.4000","4.2855","3.63K","2.08%"
"Nov 18, 2021","4.3005","4.2280","4.3165","4.2280","6.12K","0.73%"
"Nov 17, 2021","4.2695","4.3475","4.3660","4.1990","5.23K","-2.01%"
"Nov 16, 2021","4.3570","4.4075","4.4395","4.3300","4.75K","-0.93%"
"Nov 15, 2021","4.3980","4.4500","4.4695","4.3885","4.28K","-0.88%"
"Nov 12, 2021","4.4370","4.3920","4.4450","4.3670","5.18K","1.19%"
"Nov 11, 2021","4.3850","4.3100","4.4100","4.3100","8.11K","1.60%"
"Nov 10, 2021","4.3160","4.3570","4.4000","4.2865","6.21K","-0.99%"
"Nov 09, 2021","4.3590","4.3810","4.4255","4.3250","5.43K","-0.45%"
"Nov 08, 2021","4.3785","4.3325","4.3920","4.3115","4.76K","1.40%"
"Nov 05, 2021","4.3180","4.3015","4.3380","4.2645","4.11K","0.58%"
"Nov 04, 2021","4.2930","4.3380","4.3755","4.2560","3.97K","0.00%"
"Nov 03, 2021","4.2930","4.3260","4.4085","4.2545","4.91K","-0.76%"
"Nov 02, 2021","4.3260","4.3635","4.3685","4.2920","2.52K","-0.46%"
