"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 22, 2021","22.792","22.465","22.705","22.465","0.19K","1.29%"
"Dec 21, 2021","22.502","22.225","22.740","22.225","0.19K","1.02%"
"Dec 20, 2021","22.275","22.300","22.370","22.290","0.09K","-0.39%"
"Dec 19, 2021","22.363","22.370","22.410","22.352","-","-0.64%"
"Dec 17, 2021","22.507","22.450","22.485","22.450","0.03K","0.23%"
"Dec 16, 2021","22.455","22.135","22.400","22.120","0.09K","4.40%"
"Dec 15, 2021","21.508","21.500","21.640","21.500","0.01K","-1.73%"
"Dec 14, 2021","21.887","22.250","22.250","21.660","0.00K","-1.81%"
"Dec 13, 2021","22.290","22.245","22.260","22.130","0.01K","0.25%"
"Dec 12, 2021","22.235","22.210","22.262","22.192","-","0.34%"
"Dec 10, 2021","22.160","21.885","22.165","21.800","0.02K","0.85%"
"Dec 09, 2021","21.974","22.280","22.285","21.890","0.03K","-1.86%"
"Dec 08, 2021","22.390","22.430","22.445","22.310","0.27K","-0.43%"
"Dec 07, 2021","22.487","22.385","22.560","22.375","0.05K","1.17%"
"Dec 06, 2021","22.228","22.490","22.490","22.100","0.09K","-1.65%"
"Dec 05, 2021","22.602","22.562","22.628","22.508","-","0.70%"
"Dec 03, 2021","22.445","22.410","22.470","22.040","0.20K","0.74%"
"Dec 02, 2021","22.280","22.295","22.400","22.240","0.13K","-0.09%"
"Dec 01, 2021","22.299","22.770","22.995","22.155","0.49K","-2.05%"
"Nov 30, 2021","22.765","22.885","23.260","22.705","2.51K","-0.15%"
"Nov 29, 2021","22.799","23.135","23.415","22.730","10.39K","-3.35%"
"Nov 28, 2021","23.590","23.415","23.595","23.337","-","2.09%"
"Nov 26, 2021","23.107","23.580","23.735","22.915","61.28K","-2.01%"
"Nov 25, 2021","23.582","23.585","23.733","23.562","-","0.37%"
"Nov 24, 2021","23.496","23.640","23.695","23.400","54.62K","0.26%"
"Nov 23, 2021","23.435","24.210","24.340","23.280","93.87K","-3.55%"
"Nov 22, 2021","24.297","24.670","24.955","24.140","78.54K","-1.43%"
"Nov 21, 2021","24.650","24.655","24.688","24.555","-","-0.53%"
"Nov 19, 2021","24.781","24.850","25.040","24.610","67.98K","-0.48%"
"Nov 18, 2021","24.900","25.150","25.230","24.730","63.62K","-1.06%"
"Nov 17, 2021","25.167","24.860","25.285","24.850","54.35K","0.89%"
"Nov 16, 2021","24.944","25.135","25.490","24.825","77.00K","-0.64%"
"Nov 15, 2021","25.105","25.425","25.465","24.970","68.48K","-1.27%"
"Nov 14, 2021","25.427","25.413","25.462","25.390","-","0.32%"
"Nov 12, 2021","25.346","25.350","25.470","24.925","66.39K","0.18%"
"Nov 11, 2021","25.301","24.710","25.365","24.645","82.02K","2.14%"
"Nov 10, 2021","24.772","24.375","25.220","24.040","131.56K","1.87%"
"Nov 09, 2021","24.318","24.550","24.565","24.090","65.11K","-0.91%"
"Nov 08, 2021","24.542","24.285","24.590","24.130","67.62K","1.35%"
"Nov 07, 2021","24.215","24.212","24.277","24.210","-","0.24%"
"Nov 05, 2021","24.157","23.870","24.255","23.665","73.24K","1.03%"
"Nov 04, 2021","23.911","23.530","24.115","23.485","68.46K","2.93%"
"Nov 03, 2021","23.231","23.570","23.665","23.045","67.16K","-1.17%"
"Nov 02, 2021","23.507","24.130","24.140","23.430","63.00K","-2.35%"
"Nov 01, 2021","24.073","23.985","24.175","23.810","37.06K","0.98%"
"Oct 31, 2021","23.840","23.950","23.983","23.808","-","-0.46%"
"Oct 29, 2021","23.949","24.135","24.140","23.705","57.80K","-0.71%"
"Oct 28, 2021","24.120","24.130","24.310","24.020","45.96K","-0.29%"
"Oct 27, 2021","24.191","24.220","24.330","23.905","48.09K","0.43%"
"Oct 26, 2021","24.088","24.650","24.655","23.925","61.76K","-2.05%"
"Oct 25, 2021","24.592","24.395","24.695","24.365","44.83K","0.57%"
"Oct 24, 2021","24.453","24.380","24.470","24.358","-","0.02%"
"Oct 22, 2021","24.449","24.220","24.920","24.185","83.28K","1.15%"
"Oct 21, 2021","24.170","24.370","24.550","24.070","58.68K","-1.12%"
"Oct 20, 2021","24.445","23.710","24.495","23.615","73.13K","2.35%"
"Oct 19, 2021","23.883","23.250","24.180","23.220","79.07K","2.66%"
"Oct 18, 2021","23.264","23.380","23.495","23.035","47.03K","-0.53%"
"Oct 17, 2021","23.387","23.335","23.427","23.335","-","0.16%"
"Oct 15, 2021","23.349","23.565","23.645","23.100","52.25K","-0.55%"
"Oct 14, 2021","23.477","23.100","23.625","22.925","54.28K","1.32%"
"Oct 13, 2021","23.170","22.570","23.285","22.480","71.90K","2.91%"
"Oct 12, 2021","22.514","22.610","22.790","22.325","42.93K","-0.67%"
"Oct 11, 2021","22.665","22.685","22.830","22.495","29.93K","0.21%"
"Oct 10, 2021","22.617","22.680","22.738","22.575","-","-0.39%"
"Oct 08, 2021","22.705","22.610","23.220","22.435","69.58K","0.21%"
"Oct 07, 2021","22.658","22.640","22.840","22.385","41.56K","0.56%"
"Oct 06, 2021","22.532","22.635","22.700","22.185","38.89K","-0.34%"
"Oct 05, 2021","22.608","22.725","22.730","22.380","27.04K","-0.16%"
"Oct 04, 2021","22.644","22.600","22.805","22.290","35.18K","-0.17%"
"Oct 03, 2021","22.683","22.560","22.790","22.540","-","0.65%"
"Oct 01, 2021","22.536","22.185","22.600","21.990","43.51K","2.22%"
"Sep 30, 2021","22.047","21.515","22.225","21.460","66.12K","2.62%"
"Sep 29, 2021","21.485","22.475","22.565","21.410","80.16K","-4.37%"
"Sep 28, 2021","22.467","22.625","22.680","22.080","55.49K","-1.00%"
"Sep 27, 2021","22.694","22.395","22.865","22.390","36.11K","1.25%"
"Sep 26, 2021","22.413","22.405","22.445","22.395","-","-0.05%"
"Sep 24, 2021","22.425","22.530","22.790","22.090","41.67K","-1.12%"
"Sep 23, 2021","22.679","22.695","22.880","22.465","43.74K","-1.00%"
"Sep 22, 2021","22.907","22.485","23.150","22.455","51.99K","1.31%"
"Sep 21, 2021","22.611","22.265","22.720","22.210","41.11K","1.83%"
"Sep 20, 2021","22.204","22.330","22.500","22.025","50.98K","-0.69%"
"Sep 19, 2021","22.358","22.302","22.392","22.142","-","0.09%"
"Sep 17, 2021","22.337","22.910","23.130","22.305","66.39K","-2.00%"
"Sep 16, 2021","22.794","23.865","24.000","22.585","90.20K","-4.23%"
"Sep 15, 2021","23.801","23.865","23.940","23.670","32.69K","-0.35%"
"Sep 14, 2021","23.885","23.775","23.980","23.435","42.44K","0.37%"
"Sep 13, 2021","23.796","23.790","23.890","23.360","47.76K","-0.03%"
"Sep 12, 2021","23.802","23.815","23.835","23.780","-","-0.41%"
"Sep 10, 2021","23.900","24.100","24.345","23.760","39.09K","-1.15%"
"Sep 09, 2021","24.177","23.995","24.355","23.865","43.41K","0.50%"
"Sep 08, 2021","24.056","24.390","24.480","23.940","45.43K","-1.30%"
"Sep 07, 2021","24.373","24.865","24.895","24.210","69.93K","-1.49%"
"Sep 06, 2021","24.742","24.808","24.887","24.707","-","-0.28%"
"Sep 05, 2021","24.812","24.797","24.867","24.775","-","0.04%"
"Sep 03, 2021","24.802","23.950","24.945","23.910","67.19K","3.70%"
"Sep 02, 2021","23.918","24.200","24.275","23.815","36.86K","-1.25%"
"Sep 01, 2021","24.221","23.935","24.325","23.775","48.67K","0.90%"
"Aug 31, 2021","24.006","24.065","24.270","23.830","44.56K","0.00%"
"Aug 30, 2021","24.006","24.130","24.280","23.950","47.98K","-0.59%"
"Aug 29, 2021","24.148","24.078","24.163","24.060","-","0.16%"
"Aug 27, 2021","24.110","23.610","24.180","23.355","61.30K","2.18%"
"Aug 26, 2021","23.596","23.930","23.945","23.465","35.44K","-0.95%"
"Aug 25, 2021","23.822","23.915","23.960","23.640","32.16K","-0.48%"
"Aug 24, 2021","23.937","23.695","24.015","23.595","19.86K","1.19%"
"Aug 23, 2021","23.656","22.985","23.705","22.925","57.34K","3.09%"
"Aug 22, 2021","22.948","22.973","23.040","22.938","-","-0.71%"
