"Date","Price","Open","High","Low","Change %"
"Dec 31, 2021","1.3529","1.3496","1.3551","1.3465","0.26%"
"Dec 30, 2021","1.3494","1.3488","1.3522","1.3454","0.06%"
"Dec 29, 2021","1.3486","1.3436","1.3500","1.3408","0.39%"
"Dec 28, 2021","1.3434","1.3442","1.3463","1.3414","-0.02%"
"Dec 27, 2021","1.3437","1.3387","1.3446","1.3387","0.39%"
"Dec 24, 2021","1.3385","1.3410","1.3422","1.3384","-0.14%"
"Dec 23, 2021","1.3404","1.3354","1.3439","1.3341","0.42%"
"Dec 22, 2021","1.3348","1.3262","1.3364","1.3240","0.63%"
"Dec 21, 2021","1.3265","1.3207","1.3272","1.3197","0.44%"
"Dec 20, 2021","1.3207","1.3247","1.3247","1.3172","-0.26%"
"Dec 17, 2021","1.3242","1.3322","1.3341","1.3230","-0.58%"
"Dec 16, 2021","1.3319","1.3259","1.3376","1.3240","0.42%"
"Dec 15, 2021","1.3263","1.3240","1.3284","1.3171","0.19%"
"Dec 14, 2021","1.3238","1.3218","1.3257","1.3190","0.17%"
"Dec 13, 2021","1.3216","1.3237","1.3270","1.3206","-0.40%"
"Dec 10, 2021","1.3269","1.3220","1.3277","1.3187","0.38%"
"Dec 09, 2021","1.3219","1.3205","1.3224","1.3170","0.08%"
"Dec 08, 2021","1.3209","1.3243","1.3262","1.3167","-0.25%"
"Dec 07, 2021","1.3242","1.3265","1.3291","1.3209","-0.17%"
"Dec 06, 2021","1.3264","1.3245","1.3288","1.3218","0.25%"
"Dec 03, 2021","1.3231","1.3309","1.3312","1.3209","-0.56%"
"Dec 02, 2021","1.3306","1.3280","1.3335","1.3271","0.22%"
"Dec 01, 2021","1.3277","1.3299","1.3353","1.3261","-0.14%"
"Nov 30, 2021","1.3295","1.3314","1.3372","1.3195","-0.12%"
"Nov 29, 2021","1.3311","1.3342","1.3364","1.3286","-0.22%"
"Nov 26, 2021","1.3340","1.3320","1.3369","1.3278","0.15%"
"Nov 25, 2021","1.3320","1.3328","1.3355","1.3305","-0.04%"
"Nov 24, 2021","1.3325","1.3378","1.3391","1.3316","-0.37%"
"Nov 23, 2021","1.3374","1.3395","1.3411","1.3341","-0.16%"
"Nov 22, 2021","1.3396","1.3455","1.3460","1.3384","-0.42%"
"Nov 19, 2021","1.3452","1.3492","1.3511","1.3407","-0.27%"
"Nov 18, 2021","1.3488","1.3484","1.3515","1.3463","0.06%"
"Nov 17, 2021","1.3480","1.3431","1.3498","1.3396","0.39%"
"Nov 16, 2021","1.3427","1.3423","1.3474","1.3405","0.07%"
"Nov 15, 2021","1.3418","1.3423","1.3450","1.3403","0.04%"
"Nov 12, 2021","1.3413","1.3373","1.3427","1.3353","0.31%"
"Nov 11, 2021","1.3371","1.3405","1.3434","1.3358","-0.22%"
"Nov 10, 2021","1.3401","1.3558","1.3566","1.3400","-1.13%"
"Nov 09, 2021","1.3554","1.3563","1.3609","1.3523","-0.05%"
"Nov 08, 2021","1.3561","1.3498","1.3581","1.3449","0.50%"
"Nov 05, 2021","1.3494","1.3494","1.3510","1.3424","-0.03%"
"Nov 04, 2021","1.3498","1.3686","1.3699","1.3470","-1.36%"
"Nov 03, 2021","1.3684","1.3612","1.3693","1.3606","0.51%"
"Nov 02, 2021","1.3614","1.3665","1.3680","1.3605","-0.42%"
"Nov 01, 2021","1.3672","1.3683","1.3694","1.3642","-0.14%"
"Oct 29, 2021","1.3691","1.3791","1.3805","1.3668","-0.70%"
"Oct 28, 2021","1.3788","1.3749","1.3816","1.3721","0.31%"
"Oct 27, 2021","1.3746","1.3769","1.3782","1.3708","-0.15%"
"Oct 26, 2021","1.3766","1.3769","1.3830","1.3757","-0.01%"
"Oct 25, 2021","1.3768","1.3755","1.3793","1.3741","0.12%"
"Oct 22, 2021","1.3751","1.3792","1.3816","1.3736","-0.29%"
"Oct 21, 2021","1.3791","1.3824","1.3835","1.3776","-0.24%"
"Oct 20, 2021","1.3824","1.3797","1.3836","1.3742","0.21%"
"Oct 19, 2021","1.3795","1.3728","1.3835","1.3722","0.51%"
"Oct 18, 2021","1.3725","1.3751","1.3766","1.3708","-0.17%"
"Oct 15, 2021","1.3749","1.3673","1.3774","1.3667","0.56%"
"Oct 14, 2021","1.3673","1.3657","1.3736","1.3654","0.10%"
"Oct 13, 2021","1.3659","1.3588","1.3665","1.3576","0.54%"
"Oct 12, 2021","1.3585","1.3599","1.3638","1.3569","-0.07%"
