"Date","Price","Open","High","Low","Change %"
"Dec 31, 2021","0.6824","0.6832","0.6853","0.6820","-0.07%"
"Dec 30, 2021","0.6829","0.6836","0.6859","0.6816","-0.01%"
"Dec 29, 2021","0.6830","0.6809","0.6843","0.6788","0.28%"
"Dec 28, 2021","0.6811","0.6806","0.6830","0.6788","0.06%"
"Dec 27, 2021","0.6807","0.6830","0.6837","0.6788","-0.13%"
"Dec 24, 2021","0.6816","0.6829","0.6840","0.6807","-0.12%"
"Dec 23, 2021","0.6824","0.6808","0.6843","0.6795","0.26%"
"Dec 22, 2021","0.6806","0.6759","0.6823","0.6739","0.64%"
"Dec 21, 2021","0.6763","0.6713","0.6775","0.6702","0.74%"
"Dec 20, 2021","0.6713","0.6741","0.6758","0.6701","-0.36%"
"Dec 17, 2021","0.6737","0.6800","0.6804","0.6730","-0.88%"
"Dec 16, 2021","0.6797","0.6775","0.6835","0.6757","0.28%"
"Dec 15, 2021","0.6778","0.6747","0.6789","0.6701","0.49%"
"Dec 14, 2021","0.6745","0.6755","0.6772","0.6735","-0.12%"
"Dec 13, 2021","0.6753","0.6801","0.6807","0.6745","-0.65%"
"Dec 10, 2021","0.6797","0.6794","0.6809","0.6769","0.06%"
"Dec 09, 2021","0.6793","0.6813","0.6824","0.6779","-0.22%"
"Dec 08, 2021","0.6808","0.6791","0.6820","0.6766","0.28%"
"Dec 07, 2021","0.6789","0.6753","0.6794","0.6736","0.58%"
"Dec 06, 2021","0.6750","0.6765","0.6773","0.6740","0.16%"
"Dec 03, 2021","0.6739","0.6813","0.6826","0.6740","-1.13%"
"Dec 02, 2021","0.6816","0.6808","0.6833","0.6798","0.13%"
"Dec 01, 2021","0.6807","0.6823","0.6869","0.6802","-0.21%"
"Nov 30, 2021","0.6821","0.6827","0.6858","0.6772","-0.04%"
"Nov 29, 2021","0.6824","0.6832","0.6845","0.6787","-0.03%"
"Nov 26, 2021","0.6826","0.6859","0.6862","0.6804","-0.48%"
"Nov 25, 2021","0.6859","0.6876","0.6895","0.6839","-0.20%"
"Nov 24, 2021","0.6873","0.6946","0.6958","0.6855","-1.07%"
"Nov 23, 2021","0.6947","0.6960","0.6978","0.6915","-0.13%"
"Nov 22, 2021","0.6956","0.7012","0.7024","0.6948","-0.77%"
"Nov 19, 2021","0.7010","0.7038","0.7050","0.6991","-0.36%"
"Nov 18, 2021","0.7035","0.7000","0.7054","0.6993","0.54%"
"Nov 17, 2021","0.6997","0.6992","0.7022","0.6980","0.09%"
"Nov 16, 2021","0.6991","0.7052","0.7066","0.6985","-0.79%"
"Nov 15, 2021","0.7047","0.7047","0.7082","0.7027","0.00%"
"Nov 12, 2021","0.7047","0.7018","0.7049","0.6996","0.40%"
"Nov 11, 2021","0.7019","0.7060","0.7072","0.7012","-0.57%"
"Nov 10, 2021","0.7059","0.7127","0.7133","0.7055","-0.94%"
"Nov 09, 2021","0.7126","0.7167","0.7175","0.7109","-0.54%"
"Nov 08, 2021","0.7165","0.7120","0.7178","0.7103","0.70%"
"Nov 05, 2021","0.7115","0.7103","0.7128","0.7071","0.20%"
"Nov 04, 2021","0.7101","0.7159","0.7179","0.7095","-0.80%"
"Nov 03, 2021","0.7158","0.7111","0.7175","0.7103","0.69%"
"Nov 02, 2021","0.7109","0.7184","0.7192","0.7092","-1.00%"
"Nov 01, 2021","0.7181","0.7160","0.7200","0.7151","0.24%"
"Oct 29, 2021","0.7164","0.7196","0.7208","0.7135","-0.49%"
