"Date","Price","Open","High","Low","Change %"
"Dec 31, 2021","0.9122","0.9136","0.9149","0.9102","-0.13%"
"Dec 30, 2021","0.9134","0.9147","0.9183","0.9132","-0.13%"
"Dec 29, 2021","0.9146","0.9173","0.9202","0.9126","-0.31%"
"Dec 28, 2021","0.9174","0.9176","0.9191","0.9158","0.02%"
"Dec 27, 2021","0.9172","0.9190","0.9201","0.9172","-0.23%"
"Dec 24, 2021","0.9193","0.9186","0.9205","0.9168","0.11%"
"Dec 23, 2021","0.9183","0.9202","0.9220","0.9175","-0.16%"
"Dec 22, 2021","0.9198","0.9239","0.9254","0.9190","-0.41%"
"Dec 21, 2021","0.9236","0.9211","0.9255","0.9194","0.28%"
"Dec 20, 2021","0.9210","0.9241","0.9252","0.9192","-0.29%"
"Dec 17, 2021","0.9237","0.9192","0.9247","0.9174","0.50%"
"Dec 16, 2021","0.9191","0.9252","0.9258","0.9189","-0.62%"
"Dec 15, 2021","0.9248","0.9246","0.9296","0.9232","0.10%"
"Dec 14, 2021","0.9239","0.9231","0.9247","0.9188","0.15%"
"Dec 13, 2021","0.9225","0.9211","0.9258","0.9202","0.17%"
"Dec 10, 2021","0.9209","0.9236","0.9258","0.9198","-0.25%"
"Dec 09, 2021","0.9232","0.9201","0.9265","0.9198","0.32%"
"Dec 08, 2021","0.9203","0.9254","0.9257","0.9195","-0.52%"
"Dec 07, 2021","0.9251","0.9258","0.9276","0.9230","-0.05%"
"Dec 06, 2021","0.9256","0.9173","0.9270","0.9164","0.85%"
"Dec 03, 2021","0.9178","0.9204","0.9219","0.9165","-0.26%"
"Dec 02, 2021","0.9202","0.9204","0.9223","0.9178","-0.02%"
"Dec 01, 2021","0.9204","0.9189","0.9223","0.9168","0.20%"
"Nov 30, 2021","0.9186","0.9233","0.9268","0.9157","-0.48%"
"Nov 29, 2021","0.9230","0.9241","0.9273","0.9226","-0.10%"
"Nov 26, 2021","0.9239","0.9362","0.9367","0.9216","-1.28%"
"Nov 25, 2021","0.9359","0.9339","0.9363","0.9323","0.15%"
"Nov 24, 2021","0.9345","0.9329","0.9375","0.9321","0.17%"
"Nov 23, 2021","0.9329","0.9312","0.9345","0.9301","-0.01%"
"Nov 22, 2021","0.9330","0.9288","0.9336","0.9266","0.53%"
"Nov 19, 2021","0.9281","0.9262","0.9292","0.9250","0.23%"
"Nov 18, 2021","0.9260","0.9282","0.9294","0.9251","-0.24%"
"Nov 17, 2021","0.9282","0.9298","0.9331","0.9276","-0.17%"
"Nov 16, 2021","0.9298","0.9251","0.9312","0.9236","0.52%"
"Nov 15, 2021","0.9250","0.9215","0.9258","0.9186","0.40%"
"Nov 12, 2021","0.9213","0.9206","0.9239","0.9201","0.07%"
"Nov 11, 2021","0.9207","0.9180","0.9226","0.9174","0.35%"
"Nov 10, 2021","0.9175","0.9114","0.9187","0.9105","0.70%"
"Nov 09, 2021","0.9111","0.9131","0.9155","0.9101","-0.26%"
"Nov 08, 2021","0.9135","0.9129","0.9158","0.9117","0.15%"
"Nov 05, 2021","0.9121","0.9129","0.9177","0.9112","-0.03%"
"Nov 04, 2021","0.9124","0.9118","0.9146","0.9111","0.09%"
"Nov 03, 2021","0.9116","0.9144","0.9154","0.9104","-0.31%"
"Nov 02, 2021","0.9144","0.9091","0.9151","0.9086","0.59%"
"Nov 01, 2021","0.9090","0.9164","0.9173","0.9088","-0.72%"
"Oct 29, 2021","0.9156","0.9119","0.9177","0.9102","0.43%"
"Oct 28, 2021","0.9117","0.9183","0.9196","0.9115","-0.69%"
"Oct 27, 2021","0.9180","0.9202","0.9211","0.9164","-0.23%"
"Oct 26, 2021","0.9201","0.9198","0.9228","0.9186","0.03%"
"Oct 25, 2021","0.9198","0.9161","0.9204","0.9150","0.44%"
"Oct 22, 2021","0.9158","0.9183","0.9187","0.9151","-0.26%"
"Oct 21, 2021","0.9182","0.9188","0.9208","0.9169","-0.07%"
