"Date","Price","Open","High","Low","Change %"
"Dec 31, 2021","7.7958","7.7994","7.7997","7.7949","-0.04%"
"Dec 30, 2021","7.7993","7.7966","7.8008","7.7965","0.03%"
"Dec 29, 2021","7.7966","7.7983","7.7991","7.7954","-0.02%"
"Dec 28, 2021","7.7983","7.7990","7.8005","7.7980","-0.01%"
"Dec 27, 2021","7.7989","7.8000","7.8018","7.7983","-0.01%"
"Dec 24, 2021","7.7997","7.7983","7.8001","7.7982","0.01%"
"Dec 23, 2021","7.7986","7.7998","7.8010","7.7978","-0.01%"
"Dec 22, 2021","7.7995","7.8012","7.8017","7.7986","-0.02%"
"Dec 21, 2021","7.8007","7.8015","7.8032","7.7980","-0.00%"
"Dec 20, 2021","7.8010","7.8025","7.8042","7.7984","-0.02%"
"Dec 17, 2021","7.8025","7.8038","7.8042","7.8002","-0.01%"
"Dec 16, 2021","7.8036","7.8022","7.8048","7.8003","0.02%"
"Dec 15, 2021","7.8022","7.8014","7.8036","7.8007","0.02%"
"Dec 14, 2021","7.8006","7.8014","7.8044","7.8004","-0.00%"
"Dec 13, 2021","7.8009","7.7989","7.8045","7.7975","0.03%"
"Dec 10, 2021","7.7985","7.7972","7.8007","7.7965","0.02%"
"Dec 09, 2021","7.7969","7.7977","7.7993","7.7957","-0.01%"
"Dec 08, 2021","7.7974","7.7987","7.7995","7.7957","-0.01%"
"Dec 07, 2021","7.7985","7.8001","7.8019","7.7957","-0.02%"
"Dec 06, 2021","7.8000","7.7954","7.8019","7.7951","0.08%"
"Dec 03, 2021","7.7938","7.7910","7.7979","7.7892","0.04%"
"Dec 02, 2021","7.7908","7.7930","7.7944","7.7882","-0.03%"
"Dec 01, 2021","7.7928","7.7973","7.7982","7.7908","-0.05%"
"Nov 30, 2021","7.7970","7.7997","7.8021","7.7952","-0.03%"
"Nov 29, 2021","7.7996","7.7986","7.8001","7.7974","0.01%"
"Nov 26, 2021","7.7985","7.7968","7.7997","7.7950","0.03%"
"Nov 25, 2021","7.7964","7.7986","7.7989","7.7954","-0.03%"
"Nov 24, 2021","7.7984","7.7941","7.7990","7.7921","0.05%"
"Nov 23, 2021","7.7942","7.7898","7.7947","7.7894","0.06%"
"Nov 22, 2021","7.7897","7.7906","7.7925","7.7882","-0.01%"
"Nov 19, 2021","7.7906","7.7890","7.7930","7.7883","0.02%"
"Nov 18, 2021","7.7887","7.7881","7.7901","7.7875","0.01%"
"Nov 17, 2021","7.7877","7.7871","7.7899","7.7861","0.01%"
"Nov 16, 2021","7.7868","7.7885","7.7899","7.7857","-0.02%"
"Nov 15, 2021","7.7884","7.7906","7.7931","7.7883","-0.03%"
"Nov 12, 2021","7.7905","7.7920","7.7940","7.7891","-0.01%"
"Nov 11, 2021","7.7916","7.7916","7.7936","7.7888","0.01%"
"Nov 10, 2021","7.7911","7.7905","7.7920","7.7881","0.01%"
"Nov 09, 2021","7.7904","7.7885","7.7913","7.7878","0.03%"
"Nov 08, 2021","7.7882","7.7829","7.7891","7.7826","0.08%"
"Nov 05, 2021","7.7823","7.7825","7.7860","7.7817","-0.00%"
"Nov 04, 2021","7.7825","7.7840","7.7849","7.7817","-0.02%"
"Nov 03, 2021","7.7838","7.7822","7.7861","7.7808","0.02%"
"Nov 02, 2021","7.7820","7.7830","7.7835","7.7803","-0.01%"
"Nov 01, 2021","7.7827","7.7788","7.7835","7.7787","0.05%"
"Oct 29, 2021","7.7787","7.7775","7.7808","7.7750","0.02%"
"Oct 28, 2021","7.7771","7.7776","7.7787","7.7761","-0.01%"
"Oct 27, 2021","7.7778","7.7757","7.7791","7.7754","0.03%"
"Oct 26, 2021","7.7755","7.7741","7.7765","7.7735","0.02%"
"Oct 25, 2021","7.7743","7.7738","7.7746","7.7726","0.02%"
"Oct 22, 2021","7.7729","7.7748","7.7760","7.7724","-0.02%"
"Oct 21, 2021","7.7746","7.7735","7.7769","7.7724","0.01%"
"Oct 20, 2021","7.7735","7.7753","7.7778","7.7724","-0.02%"
"Oct 19, 2021","7.7751","7.7778","7.7793","7.7750","-0.03%"
"Oct 18, 2021","7.7775","7.7765","7.7807","7.7762","0.01%"
"Oct 15, 2021","7.7765","7.7784","7.7821","7.7764","-0.02%"
"Oct 14, 2021","7.7782","7.7796","7.7801","7.7780","-0.01%"
"Oct 13, 2021","7.7793","7.7818","7.7832","7.7790","-0.03%"
"Oct 12, 2021","7.7815","7.7786","7.7832","7.7781","0.05%"
"Oct 11, 2021","7.7779","7.7841","7.7852","7.7778","-0.08%"
"Oct 08, 2021","7.7839","7.7850","7.7864","7.7835","-0.01%"
"Oct 07, 2021","7.7848","7.7865","7.7873","7.7840","-0.02%"
"Oct 06, 2021","7.7863","7.7856","7.7880","7.7840","0.01%"
"Oct 05, 2021","7.7856","7.7872","7.7881","7.7833","-0.02%"
"Oct 04, 2021","7.7870","7.7845","7.7884","7.7845","0.03%"
"Oct 01, 2021","7.7844","7.7860","7.7870","7.7842","-0.02%"
"Sep 30, 2021","7.7859","7.7856","7.7896","7.7841","0.01%"
"Sep 29, 2021","7.7854","7.7829","7.7860","7.7825","0.03%"
"Sep 28, 2021","7.7827","7.7834","7.7845","7.7806","-0.01%"
"Sep 27, 2021","7.7832","7.7854","7.7863","7.7825","-0.03%"
"Sep 24, 2021","7.7854","7.7845","7.7868","7.7828","0.01%"
"Sep 23, 2021","7.7843","7.7864","7.7867","7.7831","-0.02%"
"Sep 22, 2021","7.7862","7.7866","7.7883","7.7839","-0.01%"
"Sep 21, 2021","7.7867","7.7873","7.7885","7.7835","-0.00%"
"Sep 20, 2021","7.7869","7.7824","7.7882","7.7814","0.07%"
"Sep 17, 2021","7.7818","7.7830","7.7844","7.7800","-0.00%"
"Sep 16, 2021","7.7820","7.7820","7.7855","7.7806","0.00%"
"Sep 15, 2021","7.7818","7.7783","7.7830","7.7776","0.05%"
