"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","728.11","728.80","732.15","724.30","20.59K","-0.39%"
"Dec 30, 2021","730.96","733.90","734.08","727.60","45.19K","0.02%"
"Dec 29, 2021","730.80","730.15","732.33","726.18","74.14K","0.46%"
"Dec 28, 2021","727.44","726.75","730.73","724.50","56.71K","0.52%"
"Dec 27, 2021","723.70","722.65","726.30","717.10","43.15K","0.42%"
"Dec 24, 2021","720.70","723.09","724.65","720.70","6.37K","0.66%"
"Dec 23, 2021","715.99","716.72","722.58","711.60","100.62K","2.85%"
"Dec 22, 2021","696.17","704.45","715.60","696.17","460.62K","-0.48%"
"Dec 21, 2021","699.50","710.70","710.70","697.36","66.63K","0.17%"
"Dec 20, 2021","698.29","678.50","699.44","678.50","77.14K","-1.63%"
"Dec 17, 2021","709.84","709.69","715.60","694.90","794.07K","-0.98%"
"Dec 16, 2021","716.86","724.10","724.10","709.90","301.74K","1.04%"
"Dec 15, 2021","709.45","702.90","714.90","702.90","90.12K","0.24%"
"Dec 14, 2021","707.73","710.60","715.80","700.10","373.65K","-0.97%"
"Dec 13, 2021","714.69","712.80","718.00","705.70","1.44M","0.68%"
"Dec 10, 2021","709.85","708.60","713.40","707.60","42.97K","-0.32%"
"Dec 09, 2021","712.12","718.70","721.20","709.17","254.12K","-0.97%"
"Dec 08, 2021","719.13","721.60","724.70","714.90","185.24K","0.07%"
"Dec 07, 2021","718.66","702.15","724.93","702.15","283.44K","4.09%"
"Dec 06, 2021","690.41","683.80","691.30","674.60","160.27K","-0.88%"
"Dec 03, 2021","696.57","699.00","699.50","680.50","524.03K","2.00%"
"Dec 02, 2021","682.94","688.50","696.00","682.94","150.37K","-0.92%"
"Dec 01, 2021","689.28","687.60","700.80","679.10","264.33K","0.39%"
"Nov 30, 2021","686.63","686.70","691.80","678.90","264.74K","-1.79%"
"Nov 29, 2021","699.16","709.20","714.20","692.30","484.50K","-1.13%"
"Nov 26, 2021","707.16","695.00","712.10","685.54","204.71K","-3.51%"
"Nov 25, 2021","732.89","734.00","738.10","730.30","34.65K","1.27%"
"Nov 24, 2021","723.67","722.20","728.70","716.60","618.73K","-0.51%"
"Nov 23, 2021","727.41","715.60","729.10","710.90","154.08K","-0.21%"
"Nov 22, 2021","728.92","732.40","734.60","726.60","238.26K","-0.63%"
"Nov 19, 2021","733.53","733.85","741.40","724.30","606.20K","0.50%"
"Nov 18, 2021","729.88","729.00","735.80","727.70","199.36K","0.79%"
"Nov 17, 2021","724.15","728.75","729.40","722.20","186.00K","-0.43%"
"Nov 16, 2021","727.27","728.07","731.40","724.50","78.59K","0.85%"
"Nov 15, 2021","721.12","719.60","724.10","718.70","81.77K","0.70%"
"Nov 12, 2021","716.12","708.85","725.75","706.00","374.21K","1.92%"
"Nov 11, 2021","702.64","700.55","704.80","694.70","276.07K","-0.38%"
"Nov 10, 2021","705.35","696.35","705.35","689.77","73.89K","-0.25%"
"Nov 09, 2021","707.15","702.50","711.50","701.20","84.00K","0.81%"
"Nov 08, 2021","701.48","709.68","713.33","701.48","59.67K","-0.18%"
"Nov 05, 2021","702.73","691.20","709.70","690.00","145.33K","1.81%"
"Nov 04, 2021","690.23","687.00","692.40","686.20","95.25K","0.92%"
"Nov 03, 2021","683.91","685.95","687.54","681.27","62.87K","-0.22%"
"Nov 02, 2021","685.44","682.96","689.56","680.70","77.87K","0.90%"
"Nov 01, 2021","679.35","682.01","684.58","676.98","48.56K","-0.48%"
"Oct 29, 2021","682.61","665.40","682.61","662.54","144.21K","1.68%"
"Oct 28, 2021","671.34","667.25","671.98","664.10","110.58K","0.92%"
"Oct 27, 2021","665.19","662.75","666.85","662.08","61.86K","0.03%"
"Oct 26, 2021","664.98","663.95","667.00","660.25","99.02K","0.59%"
"Oct 25, 2021","661.08","666.35","666.35","658.60","61.77K","-1.50%"
"Oct 22, 2021","671.13","664.25","674.30","664.25","228.40K","2.69%"
"Oct 21, 2021","653.55","656.80","660.50","648.37","59.73K","0.41%"
"Oct 20, 2021","650.87","642.10","658.70","641.23","87.64K","0.56%"
"Oct 19, 2021","647.22","650.08","653.00","641.10","69.31K","1.35%"
"Oct 18, 2021","638.61","657.35","669.00","638.61","98.86K","-4.92%"
"Oct 15, 2021","671.64","671.45","672.80","664.80","101.29K","1.51%"
"Oct 14, 2021","661.66","659.40","668.60","651.45","360.06K","2.37%"
"Oct 13, 2021","646.36","633.10","95,070.00","633.10","364.61K","1.91%"
"Oct 12, 2021","634.22","627.75","634.92","625.80","211.86K","-0.28%"
"Oct 11, 2021","635.97","622.05","635.97","622.05","179.87K","0.12%"
"Oct 08, 2021","635.23","639.10","639.10","624.65","264.05K","-0.42%"
"Oct 07, 2021","637.90","639.20","639.70","634.00","64.22K","0.85%"
"Oct 06, 2021","632.50","615.85","632.50","615.85","171.94K","0.00%"
"Oct 05, 2021","632.50","624.35","633.70","622.00","102.38K","1.84%"
"Oct 04, 2021","621.10","624.00","631.65","618.50","204.66K","-0.90%"
"Oct 01, 2021","626.73","612.40","631.10","610.90","224.49K","0.02%"
"Sep 30, 2021","626.58","630.40","632.35","619.75","176.08K","-0.16%"
"Sep 29, 2021","627.59","627.70","632.45","623.70","88.71K","1.57%"
"Sep 28, 2021","617.90","634.45","636.05","617.78","154.09K","-3.07%"
"Sep 27, 2021","637.50","638.35","649.88","633.25","115.47K","-0.65%"
"Sep 24, 2021","641.70","645.90","646.90","639.85","141.77K","-0.74%"
"Sep 23, 2021","646.48","647.90","656.20","645.80","138.04K","0.29%"
"Sep 22, 2021","644.60","643.85","648.15","639.95","282.88K","2.06%"
"Sep 21, 2021","631.57","631.35","636.00","622.60","263.26K","2.76%"
"Sep 20, 2021","614.58","611.16","622.75","605.94","279.45K","-4.37%"
"Sep 17, 2021","642.66","644.55","644.55","627.70","331.83K","2.59%"
"Sep 16, 2021","626.45","623.10","634.60","621.30","401.20K","0.85%"
"Sep 15, 2021","621.20","641.60","645.20","618.20","430.30K","-5.06%"
"Sep 14, 2021","654.30","653.20","654.30","639.30","312.36K","-1.04%"
"Sep 13, 2021","661.16","663.60","667.36","656.05","254.95K","-1.94%"
"Sep 10, 2021","674.25","671.45","674.25","663.50","225.46K","3.19%"
"Sep 09, 2021","653.41","650.30","660.95","639.60","100.17K","0.73%"
"Sep 08, 2021","648.70","652.30","653.35","644.55","112.69K","-0.94%"
"Sep 07, 2021","654.86","652.65","658.06","651.60","134.30K","1.17%"
"Sep 06, 2021","647.28","648.70","650.05","639.20","135.56K","0.97%"
"Sep 03, 2021","641.08","641.85","642.61","633.30","172.19K","-0.91%"
"Sep 02, 2021","647.00","651.75","651.82","644.35","504.50K","0.29%"
"Sep 01, 2021","645.11","635.60","649.59","631.90","288.78K","3.20%"
"Aug 31, 2021","625.10","625.80","628.40","624.93","278.05K","-0.01%"
"Aug 30, 2021","625.19","625.25","629.65","624.07","72.30K","0.72%"
"Aug 27, 2021","620.70","618.55","624.05","617.20","83.88K","-0.14%"
"Aug 26, 2021","621.60","617.60","623.15","612.85","87.93K","-0.55%"
"Aug 25, 2021","625.01","621.55","627.64","621.20","132.62K","-0.68%"
"Aug 24, 2021","629.27","646.20","646.95","624.30","259.07K","-1.15%"
"Aug 23, 2021","636.60","629.20","641.09","626.60","252.24K","2.97%"
"Aug 20, 2021","618.21","615.65","624.35","611.10","258.76K","0.07%"
"Aug 19, 2021","617.75","632.90","633.70","612.63","282.48K","-7.60%"
"Aug 18, 2021","668.56","688.25","689.00","654.15","188.49K","-3.18%"
"Aug 17, 2021","690.50","692.60","693.99","686.58","100.08K","-2.07%"
"Aug 16, 2021","705.10","703.05","705.10","692.07","141.34K","-0.66%"
"Aug 13, 2021","709.80","712.85","714.40","708.55","39.21K","-0.31%"
"Aug 12, 2021","712.00","706.20","712.00","704.60","141.13K","1.02%"
"Aug 11, 2021","704.80","704.10","705.96","698.40","121.10K","0.33%"
"Aug 10, 2021","702.50","698.75","704.95","698.50","128.20K","0.66%"
"Aug 09, 2021","697.91","697.80","699.60","696.46","56.29K","0.07%"
"Aug 06, 2021","697.44","694.20","701.70","693.80","202.58K","0.07%"
"Aug 05, 2021","696.95","695.20","701.10","692.10","143.67K","0.39%"
"Aug 04, 2021","694.25","699.70","702.55","693.10","111.08K","-0.70%"
"Aug 03, 2021","699.16","689.40","700.05","686.98","82.45K","2.59%"
"Aug 02, 2021","681.53","678.90","687.03","678.75","211.27K","0.53%"
"Jul 30, 2021","677.93","672.60","682.05","672.60","110.52K","-1.12%"
"Jul 29, 2021","685.58","689.20","690.30","681.95","131.25K","1.06%"
"Jul 28, 2021","678.36","670.85","688.20","666.90","215.64K","-0.42%"
"Jul 27, 2021","681.22","681.00","688.25","669.15","299.42K","1.53%"
"Jul 26, 2021","670.94","672.76","676.50","668.80","81.08K","1.44%"
"Jul 23, 2021","661.40","659.60","674.20","659.40","63.81K","0.41%"
"Jul 22, 2021","658.70","657.65","663.25","655.30","64.75K","0.27%"
"Jul 21, 2021","656.92","651.77","659.44","649.50","75.61K","1.89%"
"Jul 20, 2021","644.75","644.41","650.35","641.30","133.41K","0.74%"
"Jul 19, 2021","639.99","645.40","647.90","637.20","114.77K","-1.94%"
"Jul 16, 2021","652.67","664.00","666.70","648.65","137.45K","-1.69%"
"Jul 15, 2021","663.90","675.01","676.90","662.35","88.46K","-0.73%"
"Jul 14, 2021","668.76","667.25","670.90","665.12","141.92K","0.41%"
"Jul 13, 2021","666.00","668.70","670.18","664.30","162.15K","1.19%"
"Jul 12, 2021","658.20","657.00","667.60","655.20","50.97K","0.16%"
"Jul 09, 2021","657.14","648.25","663.75","647.95","108.48K","2.67%"
"Jul 08, 2021","640.08","645.25","653.95","633.03","149.87K","-2.86%"
"Jul 07, 2021","658.90","664.00","665.80","655.00","422.57K","0.38%"
"Jul 06, 2021","656.38","655.85","662.05","653.00","122.39K","-0.76%"
"Jul 05, 2021","661.38","663.65","666.00","661.15","38.33K","-0.22%"
"Jul 02, 2021","662.84","663.55","664.10","661.05","58.42K","-0.23%"
"Jul 01, 2021","664.36","668.30","670.35","659.25","97.81K","-0.12%"
"Jun 30, 2021","665.18","675.30","676.00","661.35","161.03K","-1.31%"
"Jun 29, 2021","674.04","671.35","677.30","667.43","60.39K","0.78%"
"Jun 28, 2021","668.82","669.95","672.55","666.70","131.41K","-0.62%"
"Jun 25, 2021","672.99","676.90","677.10","671.12","73.41K","-0.26%"
"Jun 24, 2021","674.72","674.40","676.72","672.40","119.46K","0.29%"
"Jun 23, 2021","672.78","681.00","681.25","668.73","344.78K","-1.26%"
"Jun 22, 2021","681.35","679.55","684.15","675.75","126.21K","0.10%"
"Jun 21, 2021","680.66","680.65","684.20","674.85","234.13K","-1.19%"
"Jun 18, 2021","688.89","688.10","698.17","681.10","426.76K","1.24%"
"Jun 17, 2021","680.43","680.05","687.90","677.00","397.17K","0.25%"
"Jun 16, 2021","678.71","677.05","682.90","676.23","367.63K","0.15%"
"Jun 15, 2021","677.66","676.85","679.82","675.40","293.75K","0.68%"
"Jun 14, 2021","673.05","675.10","675.44","669.25","329.43K","0.81%"
"Jun 11, 2021","667.65","660.13","671.45","660.13","275.76K","1.44%"
"Jun 10, 2021","658.16","660.95","665.00","654.50","208.95K","-0.74%"
"Jun 09, 2021","663.10","666.21","667.00","661.05","193.17K","0.41%"
"Jun 08, 2021","660.39","654.95","664.25","653.40","153.22K","0.75%"
"Jun 07, 2021","655.50","649.65","656.35","647.60","203.19K","0.71%"
"Jun 04, 2021","650.87","651.55","653.68","649.95","165.15K","-0.89%"
"Jun 03, 2021","656.72","659.40","662.53","653.05","100.60K","-0.18%"
"Jun 02, 2021","657.93","655.45","661.35","653.43","55.90K","0.12%"
"Jun 01, 2021","657.17","653.98","659.28","653.19","50.23K","0.10%"
"May 31, 2021","656.53","659.70","660.10","652.98","31.56K","0.47%"
"May 28, 2021","653.46","650.45","655.67","648.74","37.51K","1.25%"
"May 27, 2021","645.38","637.50","651.71","637.50","621.28K","0.47%"
"May 26, 2021","642.34","641.64","643.85","639.15","684.99K","0.54%"
"May 25, 2021","638.91","637.70","642.44","637.15","105.28K","0.61%"
"May 24, 2021","635.06","633.75","636.35","633.50","25.86K","0.46%"
"May 21, 2021","632.18","630.99","633.90","630.14","191.28K","1.22%"
"May 20, 2021","624.56","623.15","628.80","621.80","155.72K","1.69%"
"May 19, 2021","614.19","616.25","620.75","610.40","110.99K","-1.50%"
"May 18, 2021","623.52","628.25","629.15","620.85","129.10K","-0.42%"
"May 17, 2021","626.16","629.61","630.36","622.10","569.23K","0.15%"
"May 14, 2021","625.24","623.50","627.08","622.55","95.04K","1.74%"
"May 13, 2021","614.56","606.90","618.10","600.62","168.86K","0.30%"
"May 12, 2021","612.75","617.05","617.90","609.15","182.99K","-0.17%"
"May 11, 2021","613.77","617.10","617.10","609.60","201.49K","-2.03%"
"May 10, 2021","626.46","628.90","629.74","622.60","64.56K","0.08%"
"May 07, 2021","625.99","626.50","630.75","622.15","122.37K","0.04%"
"May 06, 2021","625.75","628.85","629.65","623.95","377.01K","-0.57%"
"May 05, 2021","629.35","624.50","630.34","623.30","434.50K","0.83%"
"May 04, 2021","624.15","631.19","631.67","620.55","0.67K","-1.12%"
"May 03, 2021","631.20","630.90","633.08","628.70","810.82K","-0.17%"
"Apr 30, 2021","632.27","633.95","637.60","626.90","135.77K","-0.15%"
"Apr 29, 2021","633.22","635.70","639.65","632.45","437.11K","-0.28%"
"Apr 28, 2021","635.00","630.90","635.15","629.72","259.83K","0.86%"
"Apr 27, 2021","629.60","624.26","633.20","624.26","107.64K","0.58%"
"Apr 26, 2021","625.95","626.29","629.45","623.35","125.78K","-0.35%"
"Apr 23, 2021","628.15","630.20","631.87","623.91","506.00K","-1.00%"
"Apr 22, 2021","634.50","627.10","636.75","627.10","67.04K","3.26%"
"Apr 21, 2021","614.48","609.65","627.20","609.65","65.55K","0.35%"
"Apr 20, 2021","612.34","620.85","620.85","605.15","174.54K","-2.12%"
"Apr 19, 2021","625.59","629.71","631.58","622.77","112.57K","0.59%"
"Apr 16, 2021","621.89","616.74","629.14","615.37","255.54K","2.53%"
"Apr 15, 2021","606.56","609.15","615.80","606.00","318.59K","-0.72%"
"Apr 14, 2021","610.93","611.00","613.60","606.60","112.50K","2.68%"
"Apr 13, 2021","594.98","590.40","595.98","588.36","463.81K","1.61%"
"Apr 12, 2021","585.58","588.30","591.40","584.25","190.23K","-0.08%"
"Apr 09, 2021","586.04","586.70","591.46","584.10","507.24K","0.36%"
"Apr 08, 2021","583.93","586.05","586.85","576.70","252.62K","1.62%"
"Apr 07, 2021","574.63","576.60","577.05","571.90","114.85K","0.03%"
"Apr 06, 2021","574.47","577.85","580.00","573.21","102.01K","0.81%"
"Apr 01, 2021","569.83","570.92","571.72","566.20","29.89K","0.48%"
"Mar 31, 2021","567.12","569.61","573.00","564.80","333.24K","0.25%"
"Mar 30, 2021","565.69","558.93","573.20","558.82","155.81K","1.64%"
"Mar 29, 2021","556.55","556.95","559.06","555.50","65.44K","0.28%"
"Mar 26, 2021","554.97","556.05","558.05","553.20","71.35K","0.62%"
"Mar 25, 2021","551.55","550.55","556.17","548.20","48.13K","-0.16%"
"Mar 24, 2021","552.42","553.70","555.04","551.10","94.13K","-0.35%"
"Mar 23, 2021","554.37","552.95","556.10","551.70","39.98K","-1.01%"
"Mar 22, 2021","560.00","558.11","562.60","555.30","71.11K","0.21%"
"Mar 19, 2021","558.80","562.13","562.90","555.95","341.17K","-1.64%"
"Mar 18, 2021","568.10","569.10","570.30","565.06","274.41K","1.54%"
"Mar 17, 2021","559.50","561.65","569.20","559.50","176.81K","0.42%"
"Mar 16, 2021","557.14","558.45","561.90","555.52","434.65K","0.27%"
"Mar 15, 2021","555.65","562.85","565.40","553.75","348.80K","-1.34%"
"Mar 12, 2021","563.20","558.75","565.96","558.00","380.94K","0.98%"
"Mar 11, 2021","557.72","557.45","563.00","553.84","54.22K","1.09%"
"Mar 10, 2021","551.69","542.05","554.10","540.35","136.36K","3.69%"
"Mar 09, 2021","532.04","530.36","541.81","527.70","106.30K","0.60%"
"Mar 08, 2021","528.85","519.55","535.05","519.45","86.47K","0.82%"
"Mar 05, 2021","524.56","530.30","532.95","524.56","49.79K","-3.35%"
"Mar 04, 2021","542.76","543.45","546.25","531.30","128.69K","-0.16%"
"Mar 03, 2021","543.65","543.50","549.60","540.17","106.95K","0.58%"
"Mar 02, 2021","540.50","536.80","542.80","535.59","24.09K","1.30%"
"Mar 01, 2021","533.55","534.05","537.05","530.75","57.07K","1.32%"
"Feb 26, 2021","526.58","523.35","529.20","520.60","82.36K","-1.03%"
"Feb 25, 2021","532.08","533.75","535.75","529.25","164.09K","-0.59%"
"Feb 24, 2021","535.22","536.78","538.84","530.95","73.85K","-0.04%"
"Feb 23, 2021","535.42","540.20","540.66","532.45","30.76K","-0.73%"
"Feb 22, 2021","539.34","538.45","543.52","537.13","34.92K","-0.44%"
"Feb 19, 2021","541.71","541.00","543.40","538.57","189.76K","1.24%"
"Feb 18, 2021","535.08","531.74","536.14","531.18","110.91K","-0.28%"
"Feb 17, 2021","536.59","535.15","540.30","532.56","32.08K","0.51%"
"Feb 16, 2021","533.87","533.95","539.85","532.28","203.52K","0.57%"
"Feb 15, 2021","530.85","531.55","535.50","530.10","57.68K","0.47%"
"Feb 12, 2021","528.35","528.47","529.20","526.55","170.89K","-0.09%"
"Feb 11, 2021","528.85","529.90","531.79","527.24","91.63K","-0.45%"
"Feb 10, 2021","531.25","535.40","541.90","527.54","121.14K","-0.07%"
"Feb 09, 2021","531.60","529.70","540.95","528.33","107.18K","-0.25%"
"Feb 08, 2021","532.92","529.65","533.05","526.50","45.20K","1.16%"
"Feb 05, 2021","526.83","527.75","529.00","524.00","51.68K","0.94%"
"Feb 04, 2021","521.90","523.00","525.45","520.85","21.01K","-0.87%"
"Feb 03, 2021","526.47","526.20","527.10","520.61","135.66K","1.45%"
"Feb 02, 2021","518.97","511.40","524.40","511.40","103.35K","2.40%"
"Feb 01, 2021","506.83","506.70","509.20","503.39","42.83K","0.93%"
"Jan 29, 2021","502.18","509.49","510.25","498.30","131.27K","-1.79%"
"Jan 28, 2021","511.32","503.16","516.80","501.98","48.52K","1.84%"
"Jan 27, 2021","502.07","515.03","517.48","495.18","192.21K","-1.55%"
"Jan 26, 2021","509.95","503.50","513.35","501.50","90.12K","0.55%"
"Jan 25, 2021","507.16","514.05","514.15","503.25","152.19K","-0.19%"
"Jan 22, 2021","508.15","509.60","511.81","504.40","188.65K","-0.34%"
"Jan 21, 2021","509.87","509.20","511.95","507.60","138.23K","3.42%"
"Jan 20, 2021","493.00","499.88","506.80","492.95","218.55K","-0.15%"
"Jan 19, 2021","493.74","495.30","499.85","489.45","154.22K","-1.20%"
"Jan 18, 2021","499.76","499.07","501.10","498.40","102.67K","0.96%"
"Jan 15, 2021","495.00","507.99","507.99","493.30","177.25K","-3.26%"
"Jan 14, 2021","511.68","512.50","514.08","508.85","166.24K","0.03%"
"Jan 13, 2021","511.52","517.75","519.06","510.90","107.23K","-1.06%"
"Jan 12, 2021","516.99","522.00","522.00","513.70","159.47K","-0.76%"
"Jan 11, 2021","520.94","524.10","524.80","518.40","95.23K","-0.05%"
"Jan 08, 2021","521.22","520.20","524.84","517.10","56.27K","1.65%"
"Jan 07, 2021","512.74","502.30","517.60","502.30","115.02K","1.93%"
"Jan 06, 2021","503.04","511.60","511.60","500.20","85.19K","-1.00%"
"Jan 05, 2021","508.11","514.70","515.80","503.55","84.17K","-0.93%"
"Jan 04, 2021","512.88","515.30","517.72","510.30","80.17K","-0.66%"
