"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","416.95","419.55","421.50","416.95","81.19K","-0.68%"
"Dec 30, 2021","419.80","421.55","422.55","419.35","241.90K","0.23%"
"Dec 29, 2021","418.85","421.10","423.85","418.85","217.51K","-0.53%"
"Dec 28, 2021","421.10","420.00","422.10","416.90","181.16K","0.71%"
"Dec 27, 2021","418.15","422.00","422.00","416.65","156.49K","-0.99%"
"Dec 24, 2021","422.35","422.00","424.25","420.45","52.29K","-0.07%"
"Dec 23, 2021","422.65","420.15","424.00","417.70","198.28K","0.87%"
"Dec 22, 2021","419.00","415.00","419.00","412.10","258.74K","0.99%"
"Dec 21, 2021","414.90","415.00","415.00","408.75","270.66K","0.95%"
"Dec 20, 2021","411.00","404.25","412.20","400.00","314.83K","-0.50%"
"Dec 17, 2021","413.05","418.45","418.90","409.40","643.98K","-1.29%"
"Dec 16, 2021","418.45","423.75","424.85","412.65","439.20K","0.28%"
"Dec 15, 2021","417.30","415.70","419.20","413.65","295.55K","0.51%"
"Dec 14, 2021","415.20","419.85","421.95","414.25","227.14K","-0.67%"
"Dec 13, 2021","418.00","422.05","423.40","415.05","277.28K","-0.72%"
"Dec 10, 2021","421.05","416.25","422.45","415.55","253.74K","0.47%"
"Dec 09, 2021","419.10","424.00","427.55","417.95","291.42K","0.20%"
"Dec 08, 2021","418.25","429.50","433.65","416.60","401.77K","-1.54%"
"Dec 07, 2021","424.80","412.00","424.80","411.40","556.01K","3.96%"
"Dec 06, 2021","408.60","402.95","411.00","402.20","441.90K","1.92%"
"Dec 03, 2021","400.90","401.95","403.50","397.75","434.99K","0.69%"
"Dec 02, 2021","398.15","402.00","404.05","398.15","420.27K","-1.97%"
"Dec 01, 2021","406.15","399.95","406.15","395.55","413.45K","2.18%"
"Nov 30, 2021","397.50","398.20","401.35","392.75","976.53K","-1.07%"
"Nov 29, 2021","401.80","405.90","408.85","401.05","535.49K","-0.12%"
"Nov 26, 2021","402.30","403.05","409.15","400.50","690.28K","-3.18%"
"Nov 25, 2021","415.50","414.00","417.45","412.80","250.09K","0.72%"
"Nov 24, 2021","412.55","411.55","413.10","404.05","365.52K","0.21%"
"Nov 23, 2021","411.70","416.25","417.00","409.20","349.15K","-1.47%"
"Nov 22, 2021","417.85","424.50","425.50","417.75","354.49K","-1.80%"
"Nov 19, 2021","425.50","424.70","425.50","421.50","711.31K","0.61%"
"Nov 18, 2021","422.90","429.70","430.45","422.90","473.83K","-1.61%"
"Nov 17, 2021","429.80","422.20","429.80","421.30","353.02K","0.61%"
"Nov 16, 2021","427.20","423.50","427.25","422.50","262.71K","0.74%"
"Nov 15, 2021","424.05","422.00","424.20","420.30","268.22K","0.74%"
"Nov 12, 2021","420.95","416.00","422.95","415.70","255.71K","1.57%"
"Nov 11, 2021","414.45","413.95","415.90","412.20","211.36K","0.02%"
"Nov 10, 2021","414.35","414.15","414.90","411.80","294.23K","-0.05%"
"Nov 09, 2021","414.55","410.95","415.10","409.80","255.13K","0.56%"
"Nov 08, 2021","412.25","412.05","413.45","410.30","251.40K","-0.13%"
"Nov 05, 2021","412.80","408.80","415.60","408.10","470.44K","0.98%"
"Nov 04, 2021","408.80","405.75","408.80","402.45","317.92K","0.80%"
"Nov 03, 2021","405.55","397.45","405.55","397.05","301.10K","1.39%"
"Nov 02, 2021","400.00","398.00","400.15","396.55","260.34K","0.45%"
"Nov 01, 2021","398.20","396.15","400.60","396.10","281.39K","0.82%"
"Oct 29, 2021","394.95","389.85","394.95","386.80","374.27K","0.38%"
"Oct 28, 2021","393.45","388.95","393.45","387.60","373.46K","1.31%"
"Oct 27, 2021","388.35","386.75","391.60","386.10","281.62K","-0.54%"
"Oct 26, 2021","390.45","386.40","392.60","385.30","401.14K","1.72%"
"Oct 25, 2021","383.85","390.00","390.30","383.85","363.42K","-1.08%"
"Oct 22, 2021","388.05","392.00","394.50","386.80","669.13K","5.08%"
"Oct 21, 2021","369.30","366.25","371.75","365.50","446.77K","1.37%"
"Oct 20, 2021","364.30","361.15","366.15","360.30","318.91K","0.48%"
"Oct 19, 2021","362.55","367.15","367.65","360.45","311.69K","-0.92%"
"Oct 18, 2021","365.90","368.10","368.55","361.60","419.51K","-0.99%"
"Oct 15, 2021","369.55","371.95","373.50","366.75","400.06K","-0.11%"
"Oct 14, 2021","369.95","365.40","371.40","362.45","489.63K","2.08%"
"Oct 13, 2021","362.40","354.15","362.40","351.55","488.83K","1.97%"
"Oct 12, 2021","355.40","352.00","356.75","351.20","329.16K","-0.10%"
"Oct 11, 2021","355.75","357.15","357.65","353.80","268.12K","-0.52%"
"Oct 08, 2021","357.60","362.50","363.70","357.60","306.06K","-1.19%"
"Oct 07, 2021","361.90","360.00","363.95","358.80","412.00K","1.05%"
"Oct 06, 2021","358.15","359.45","360.10","356.15","413.75K","-1.55%"
"Oct 05, 2021","363.80","362.75","366.70","361.00","339.86K","0.64%"
"Oct 04, 2021","361.50","358.65","365.25","357.55","365.33K","-0.01%"
"Oct 01, 2021","361.55","354.80","364.65","351.00","528.01K","1.32%"
"Sep 30, 2021","356.85","365.35","366.00","356.85","636.19K","-1.78%"
"Sep 29, 2021","363.30","366.45","368.70","361.80","377.42K","0.17%"
"Sep 28, 2021","362.70","368.75","370.30","359.70","705.03K","-2.50%"
"Sep 27, 2021","372.00","380.20","380.45","370.60","363.18K","-1.68%"
"Sep 24, 2021","378.35","386.85","387.05","377.90","357.34K","-2.30%"
"Sep 23, 2021","387.25","386.85","389.50","385.25","307.67K","0.73%"
"Sep 22, 2021","384.45","385.10","387.25","383.70","335.29K","0.26%"
"Sep 21, 2021","383.45","372.70","383.50","372.70","475.29K","3.01%"
"Sep 20, 2021","372.25","378.00","379.85","370.80","547.96K","-2.71%"
"Sep 17, 2021","382.60","386.60","391.00","380.55","813.80K","-0.18%"
"Sep 16, 2021","383.30","394.20","396.20","383.30","545.68K","-2.47%"
"Sep 15, 2021","393.00","398.40","399.95","393.00","343.51K","-1.40%"
"Sep 14, 2021","398.60","395.85","399.05","392.80","210.77K","0.28%"
"Sep 13, 2021","397.50","399.15","402.65","397.40","210.46K","-0.21%"
"Sep 10, 2021","398.35","399.05","401.10","396.90","249.53K","0.16%"
"Sep 09, 2021","397.70","390.10","399.50","390.10","259.35K","0.93%"
"Sep 08, 2021","394.05","391.10","395.80","387.35","339.37K","0.25%"
"Sep 07, 2021","393.05","395.05","395.80","392.95","266.74K","-0.83%"
"Sep 06, 2021","396.35","395.50","397.25","395.50","182.43K","0.38%"
"Sep 03, 2021","394.85","400.10","400.95","392.00","296.37K","-1.32%"
"Sep 02, 2021","400.15","398.00","402.15","396.65","212.54K","0.16%"
"Sep 01, 2021","399.50","398.15","400.55","396.90","324.05K","0.81%"
"Aug 31, 2021","396.30","398.00","398.40","393.85","423.80K","-0.23%"
"Aug 30, 2021","397.20","393.20","398.30","392.80","181.25K","0.91%"
"Aug 27, 2021","393.60","394.85","395.40","392.05","170.40K","-0.13%"
"Aug 26, 2021","394.10","390.15","394.10","390.00","211.63K","0.27%"
"Aug 25, 2021","393.05","394.65","396.00","391.90","166.39K","-0.04%"
"Aug 24, 2021","393.20","396.00","396.45","391.10","268.39K","-0.48%"
"Aug 23, 2021","395.10","395.45","396.95","392.15","353.42K","0.66%"
"Aug 20, 2021","392.50","387.00","394.10","384.50","350.00K","0.95%"
"Aug 19, 2021","388.80","391.65","391.95","381.55","550.75K","-1.12%"
"Aug 18, 2021","393.20","400.10","400.90","392.75","377.92K","-1.72%"
"Aug 17, 2021","400.10","395.75","400.45","394.80","283.22K","0.38%"
"Aug 16, 2021","398.60","400.85","401.15","393.10","290.16K","-1.12%"
"Aug 13, 2021","403.10","404.65","405.00","402.80","277.97K","-0.19%"
"Aug 12, 2021","403.85","400.75","406.25","400.70","394.22K","0.89%"
"Aug 11, 2021","400.30","398.50","401.00","398.50","182.93K","0.54%"
"Aug 10, 2021","398.15","398.55","400.75","397.20","227.92K","-0.24%"
"Aug 09, 2021","399.10","399.30","402.70","397.00","194.00K","0.01%"
"Aug 06, 2021","399.05","397.50","400.75","397.00","361.42K","0.20%"
"Aug 05, 2021","398.25","395.60","399.95","395.50","242.63K","0.72%"
"Aug 04, 2021","395.40","395.60","397.45","393.75","256.81K","0.39%"
"Aug 03, 2021","393.85","393.85","396.15","391.40","231.06K","0.29%"
"Aug 02, 2021","392.70","387.55","394.95","386.90","335.52K","1.76%"
"Jul 30, 2021","385.90","383.40","388.75","379.80","453.27K","0.26%"
"Jul 29, 2021","384.90","384.95","386.55","383.20","276.69K","-0.25%"
"Jul 28, 2021","385.85","383.80","385.85","382.00","247.18K","0.60%"
"Jul 27, 2021","383.55","383.50","385.60","380.65","266.43K","0.01%"
"Jul 26, 2021","383.50","385.85","386.70","382.40","231.34K","-0.92%"
"Jul 23, 2021","387.05","380.00","387.40","378.65","339.21K","2.07%"
"Jul 22, 2021","379.20","379.10","379.70","376.05","238.52K","0.01%"
"Jul 21, 2021","379.15","378.65","380.35","377.65","288.46K","0.65%"
"Jul 20, 2021","376.70","375.10","380.90","374.25","361.08K","0.95%"
"Jul 19, 2021","373.15","373.30","376.85","371.30","561.30K","-0.39%"
"Jul 16, 2021","374.60","374.90","376.85","372.30","296.83K","0.27%"
"Jul 15, 2021","373.60","376.00","378.80","372.95","285.54K","-0.77%"
"Jul 14, 2021","376.50","375.15","377.00","373.80","247.29K","0.27%"
"Jul 13, 2021","375.50","375.90","376.00","372.95","305.78K","0.04%"
"Jul 12, 2021","375.35","370.60","376.50","370.30","310.88K","0.95%"
"Jul 09, 2021","371.80","365.90","371.80","365.50","424.35K","1.86%"
"Jul 08, 2021","365.00","375.30","375.50","360.45","663.80K","-3.05%"
"Jul 07, 2021","376.50","371.40","376.95","370.45","364.29K","1.62%"
"Jul 06, 2021","370.50","371.15","371.85","368.65","388.39K","-0.59%"
"Jul 05, 2021","372.70","372.20","373.45","370.55","299.36K","0.01%"
"Jul 02, 2021","372.65","374.40","376.90","371.50","374.88K","-0.72%"
"Jul 01, 2021","375.35","377.05","379.45","373.55","353.52K","-0.12%"
"Jun 30, 2021","375.80","383.00","384.10","374.80","601.09K","-1.94%"
"Jun 29, 2021","383.25","384.95","386.00","383.10","323.47K","-0.62%"
"Jun 28, 2021","385.65","385.60","387.00","384.70","271.87K","0.06%"
"Jun 25, 2021","385.40","388.35","388.75","383.70","416.61K","-1.22%"
"Jun 24, 2021","390.15","383.65","391.45","383.55","477.26K","2.28%"
"Jun 23, 2021","381.45","387.05","387.70","381.20","404.71K","-1.56%"
"Jun 22, 2021","387.50","388.40","389.85","386.10","387.08K","-0.45%"
"Jun 21, 2021","389.25","389.15","391.55","388.20","352.77K","-0.27%"
"Jun 18, 2021","390.30","392.00","395.95","389.60","646.11K","-0.28%"
"Jun 17, 2021","391.40","387.15","391.40","383.85","454.12K","0.57%"
"Jun 16, 2021","389.20","387.45","391.70","387.10","450.10K","0.45%"
"Jun 15, 2021","387.45","386.35","391.40","386.35","368.63K","0.75%"
"Jun 14, 2021","384.55","385.75","388.80","382.60","388.52K","0.13%"
"Jun 11, 2021","384.05","382.75","385.15","381.95","364.12K","0.54%"
"Jun 10, 2021","382.00","382.00","384.05","380.75","400.00K","0.00%"
"Jun 09, 2021","382.00","382.05","384.30","381.60","360.63K","0.32%"
"Jun 08, 2021","380.80","378.35","382.65","378.35","369.62K","0.54%"
"Jun 07, 2021","378.75","377.00","380.25","376.45","310.97K","0.62%"
"Jun 04, 2021","376.40","373.15","377.65","373.15","333.27K","0.95%"
"Jun 03, 2021","372.85","371.40","373.90","370.90","293.36K","0.34%"
"Jun 02, 2021","371.60","370.70","372.60","369.20","382.63K","0.43%"
"Jun 01, 2021","370.00","369.20","372.00","367.00","363.95K","0.46%"
"May 31, 2021","368.30","371.10","372.30","367.40","202.08K","-0.87%"
"May 28, 2021","371.55","365.30","372.40","364.80","302.37K","1.54%"
"May 27, 2021","365.90","366.75","368.85","365.30","510.67K","-0.15%"
"May 26, 2021","366.45","368.55","371.60","366.25","338.69K","-0.20%"
"May 25, 2021","367.20","366.10","369.05","365.85","394.42K","0.69%"
"May 24, 2021","364.70","362.45","364.90","362.30","183.53K","0.94%"
"May 21, 2021","361.30","359.15","362.65","359.15","423.94K","0.68%"
"May 20, 2021","358.85","350.25","359.05","349.65","336.40K","2.48%"
"May 19, 2021","350.15","347.10","352.05","346.55","372.21K","-0.51%"
"May 18, 2021","351.95","357.85","358.35","351.95","334.00K","-0.98%"
