"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2021","61.780","61.480","61.780","61.330","1.40M","0.50%"
"Dec 29, 2021","61.470","61.710","61.840","61.370","1.35M","-0.37%"
"Dec 28, 2021","61.700","61.300","61.930","61.260","1.58M","0.67%"
"Dec 27, 2021","61.290","60.650","61.500","60.500","1.41M","0.76%"
"Dec 23, 2021","60.830","60.180","60.940","60.180","1.89M","1.47%"
"Dec 22, 2021","59.950","59.710","59.950","59.230","1.83M","0.40%"
"Dec 21, 2021","59.710","59.680","59.940","59.200","1.92M","1.10%"
"Dec 20, 2021","59.060","59.060","59.260","58.010","3.10M","-1.88%"
"Dec 17, 2021","60.190","60.610","60.870","59.830","4.58M","-0.25%"
"Dec 16, 2021","60.340","60.180","60.870","60.060","3.25M","1.81%"
"Dec 15, 2021","59.270","59.620","59.710","59.060","1.98M","-0.50%"
"Dec 14, 2021","59.570","59.780","59.980","59.310","2.09M","0.00%"
"Dec 13, 2021","59.570","60.200","60.470","59.530","2.03M","-0.43%"
"Dec 10, 2021","59.830","59.610","60.350","59.450","1.88M","-0.10%"
"Dec 09, 2021","59.890","60.760","60.860","59.500","2.38M","-0.66%"
"Dec 08, 2021","60.290","60.550","60.800","59.660","3.66M","-1.50%"
"Dec 07, 2021","61.210","60.650","61.580","60.450","4.32M","2.72%"
"Dec 06, 2021","59.590","58.990","59.850","58.630","2.68M","2.04%"
"Dec 03, 2021","58.400","59.560","59.620","58.190","3.38M","-1.15%"
"Dec 02, 2021","59.080","58.710","59.450","58.430","3.13M","-0.30%"
"Dec 01, 2021","59.260","58.270","59.590","58.130","3.23M","2.38%"
"Nov 30, 2021","57.880","57.380","58.300","57.060","6.41M","-0.17%"
"Nov 29, 2021","57.980","58.790","58.930","57.630","4.15M","0.12%"
"Nov 26, 2021","57.910","60.070","60.120","57.760","9.35M","-6.01%"
"Nov 25, 2021","61.610","61.880","61.880","61.150","1.94M","-0.45%"
"Nov 24, 2021","61.890","62.950","62.960","61.610","2.89M","-1.68%"
"Nov 23, 2021","62.950","61.560","63.650","61.530","3.73M","1.65%"
"Nov 22, 2021","61.930","61.710","62.150","61.230","2.07M","0.52%"
"Nov 19, 2021","61.610","63.070","63.300","60.840","4.79M","-1.63%"
"Nov 18, 2021","62.630","62.810","63.100","62.520","1.95M","-0.08%"
"Nov 17, 2021","62.680","62.840","62.930","62.300","1.66M","-0.25%"
"Nov 16, 2021","62.840","62.350","63.340","62.040","2.27M","0.75%"
"Nov 15, 2021","62.370","62.770","62.850","62.020","1.74M","-0.45%"
"Nov 12, 2021","62.650","62.340","62.770","62.120","1.99M","0.58%"
"Nov 11, 2021","62.290","61.900","62.470","61.720","1.83M","0.55%"
"Nov 10, 2021","61.950","61.850","62.200","61.540","2.09M","0.39%"
"Nov 09, 2021","61.710","61.900","62.270","61.640","1.89M","-0.53%"
"Nov 08, 2021","62.040","62.200","62.310","61.640","1.97M","-0.06%"
"Nov 05, 2021","62.080","61.680","62.300","61.320","2.84M","0.93%"
"Nov 04, 2021","61.510","63.000","63.320","61.510","3.31M","-1.69%"
"Nov 03, 2021","62.570","62.490","62.930","61.880","2.09M","0.58%"
"Nov 02, 2021","62.210","62.500","62.620","61.500","3.96M","-0.92%"
"Nov 01, 2021","62.790","62.600","63.500","62.480","1.88M","0.82%"
"Oct 29, 2021","62.280","62.230","62.490","61.810","3.57M","-0.43%"
"Oct 28, 2021","62.550","63.300","63.580","62.300","3.30M","-1.42%"
"Oct 27, 2021","63.450","63.800","63.800","62.710","4.04M","-0.14%"
"Oct 26, 2021","63.540","63.320","63.960","62.970","2.40M","0.54%"
"Oct 25, 2021","63.200","63.020","63.490","62.480","2.00M","0.64%"
"Oct 22, 2021","62.800","62.810","63.300","62.650","1.82M","0.00%"
"Oct 21, 2021","62.800","62.840","63.180","62.610","1.90M","-1.07%"
"Oct 20, 2021","63.480","63.530","63.780","62.880","1.95M","-0.41%"
"Oct 19, 2021","63.740","64.220","64.260","63.610","2.02M","-0.50%"
"Oct 18, 2021","64.060","65.040","65.170","63.840","2.21M","-1.45%"
"Oct 15, 2021","65.000","64.900","65.270","64.460","2.48M","-0.14%"
"Oct 14, 2021","65.090","65.260","65.400","64.560","2.22M","0.29%"
"Oct 13, 2021","64.900","64.500","65.130","63.920","2.17M","0.54%"
"Oct 12, 2021","64.550","63.580","64.550","63.270","2.43M","0.56%"
"Oct 11, 2021","64.190","63.500","64.330","63.360","1.58M","0.80%"
"Oct 08, 2021","63.680","63.190","63.780","63.110","1.94M","0.54%"
"Oct 07, 2021","63.340","63.120","63.670","62.250","2.86M","2.31%"
"Oct 06, 2021","61.910","63.990","64.180","61.860","4.04M","-4.18%"
"Oct 05, 2021","64.610","64.350","64.730","63.780","2.40M","0.12%"
"Oct 04, 2021","64.530","64.300","65.330","64.070","1.76M","-0.11%"
"Oct 01, 2021","64.600","64.530","65.340","64.100","3.02M","-1.90%"
"Sep 30, 2021","65.850","66.320","66.480","65.390","3.21M","0.03%"
"Sep 29, 2021","65.830","65.350","66.090","64.810","2.52M","1.57%"
"Sep 28, 2021","64.810","64.560","65.940","64.560","3.53M","0.14%"
"Sep 27, 2021","64.720","64.460","65.140","64.390","2.59M","1.46%"
"Sep 24, 2021","63.790","63.580","64.000","63.170","1.69M","-0.23%"
"Sep 23, 2021","63.940","64.500","64.500","63.450","2.28M","0.68%"
"Sep 22, 2021","63.510","63.180","63.650","62.500","2.13M","1.80%"
"Sep 21, 2021","62.390","62.640","63.310","62.250","3.04M","1.00%"
"Sep 20, 2021","61.770","62.000","62.000","60.140","6.13M","-2.09%"
"Sep 17, 2021","63.090","65.450","65.450","63.070","7.74M","-3.07%"
"Sep 16, 2021","65.090","65.090","66.010","65.010","2.43M","0.43%"
"Sep 15, 2021","64.810","65.470","65.750","64.720","2.46M","-1.16%"
"Sep 14, 2021","65.570","65.720","66.280","65.400","1.94M","-0.06%"
"Sep 13, 2021","65.610","64.770","65.830","64.670","2.13M","1.63%"
"Sep 10, 2021","64.560","64.820","65.060","64.450","1.49M","-0.11%"
"Sep 09, 2021","64.630","64.610","64.920","63.760","2.62M","-0.43%"
"Sep 08, 2021","64.910","64.950","65.650","64.600","2.74M","-0.52%"
"Sep 07, 2021","65.250","65.200","65.760","64.900","1.45M","-0.08%"
"Sep 06, 2021","65.300","64.860","65.540","64.690","1.53M","0.76%"
"Sep 03, 2021","64.810","65.050","65.330","64.510","1.88M","-0.18%"
"Sep 02, 2021","64.930","64.690","65.230","64.620","1.69M","0.51%"
"Sep 01, 2021","64.600","65.960","66.160","64.440","3.73M","-1.40%"
"Aug 31, 2021","65.520","66.890","67.220","65.320","3.79M","-1.86%"
"Aug 30, 2021","66.760","66.860","67.300","66.750","1.26M","0.39%"
"Aug 27, 2021","66.500","65.890","66.660","65.630","1.22M","0.80%"
"Aug 26, 2021","65.970","66.030","66.300","65.650","1.40M","-0.68%"
"Aug 25, 2021","66.420","66.760","66.800","66.070","1.25M","-0.24%"
"Aug 24, 2021","66.580","65.600","66.780","65.340","2.51M","2.10%"
"Aug 23, 2021","65.210","65.500","65.600","64.820","1.91M","0.68%"
"Aug 20, 2021","64.770","65.500","65.710","64.140","4.24M","-1.14%"
"Aug 19, 2021","65.520","67.200","67.300","65.160","4.72M","-3.68%"
"Aug 18, 2021","68.020","67.750","68.110","67.510","1.38M","0.38%"
"Aug 17, 2021","67.760","67.990","68.100","67.640","1.46M","-0.73%"
"Aug 16, 2021","68.260","68.750","68.920","67.990","1.85M","-1.30%"
"Aug 13, 2021","69.160","68.760","69.520","68.600","1.70M","0.60%"
"Aug 12, 2021","68.750","68.250","69.140","68.100","2.09M","1.09%"
"Aug 11, 2021","68.010","67.600","68.150","67.510","1.81M","0.79%"
"Aug 10, 2021","67.480","67.220","67.580","66.960","1.30M","0.36%"
"Aug 09, 2021","67.240","67.100","67.540","66.920","1.10M","0.24%"
"Aug 06, 2021","67.080","66.830","67.450","66.760","1.29M","0.00%"
"Aug 05, 2021","67.080","66.270","67.090","66.190","1.94M","0.77%"
"Aug 04, 2021","66.570","66.740","67.000","66.300","1.65M","-0.16%"
"Aug 03, 2021","66.680","66.220","66.750","65.830","2.18M","0.91%"
"Aug 02, 2021","66.080","66.900","67.520","66.080","2.02M","-0.21%"
"Jul 30, 2021","66.220","66.500","66.700","65.970","2.68M","-0.81%"
"Jul 29, 2021","66.760","66.940","67.360","66.580","1.87M","0.53%"
