"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2021","47.00","46.67","47.19","46.60","1.56M","0.11%"
"Dec 29, 2021","46.95","47.10","47.24","46.88","1.34M","-0.42%"
"Dec 28, 2021","47.15","47.14","47.38","46.94","1.41M","0.13%"
"Dec 27, 2021","47.09","46.50","47.21","46.47","1.48M","1.00%"
"Dec 23, 2021","46.63","45.95","46.72","45.92","2.28M","1.96%"
"Dec 22, 2021","45.73","45.46","45.78","45.31","1.45M","0.27%"
"Dec 21, 2021","45.60","45.50","46.05","45.19","3.14M","0.55%"
"Dec 20, 2021","45.35","45.68","45.68","44.60","3.33M","-2.51%"
"Dec 17, 2021","46.53","46.56","46.92","46.36","5.03M","-0.39%"
"Dec 16, 2021","46.71","46.40","47.10","46.31","3.40M","1.65%"
"Dec 15, 2021","45.94","46.44","46.61","45.53","3.06M","-0.99%"
"Dec 14, 2021","46.40","46.80","47.17","46.26","2.69M","-0.37%"
"Dec 13, 2021","46.58","46.81","48.08","46.17","5.52M","-0.08%"
"Dec 10, 2021","46.61","46.67","47.15","46.31","3.62M","1.80%"
"Dec 09, 2021","45.78","45.85","46.15","45.50","2.20M","0.10%"
"Dec 08, 2021","45.74","45.89","46.30","45.60","2.63M","0.07%"
"Dec 07, 2021","45.71","45.00","45.83","44.65","4.10M","2.52%"
"Dec 06, 2021","44.58","44.58","44.77","43.90","4.17M","0.75%"
"Dec 03, 2021","44.26","45.06","45.19","44.01","4.17M","-1.51%"
"Dec 02, 2021","44.94","45.00","45.25","44.80","3.06M","-0.96%"
"Dec 01, 2021","45.37","44.58","45.53","44.49","3.43M","1.91%"
"Nov 30, 2021","44.52","45.00","45.13","44.22","5.82M","-1.77%"
"Nov 29, 2021","45.32","45.94","46.01","45.11","3.40M","-0.48%"
"Nov 26, 2021","45.54","46.85","46.85","45.45","5.04M","-3.97%"
"Nov 25, 2021","47.42","47.56","47.67","47.29","2.01M","-0.09%"
"Nov 24, 2021","47.47","48.62","48.74","47.31","3.46M","-2.50%"
"Nov 23, 2021","48.69","47.94","48.94","47.92","2.71M","1.01%"
"Nov 22, 2021","48.20","48.42","48.58","47.83","2.69M","0.14%"
"Nov 19, 2021","48.13","49.42","49.58","48.01","4.54M","-2.36%"
"Nov 18, 2021","49.30","49.76","49.83","49.27","2.29M","-1.19%"
"Nov 17, 2021","49.90","50.09","50.15","49.57","2.51M","-0.45%"
"Nov 16, 2021","50.12","50.26","50.58","50.12","1.97M","-0.50%"
"Nov 15, 2021","50.37","50.80","51.03","50.31","1.71M","-0.83%"
"Nov 12, 2021","50.79","51.00","51.46","50.75","2.25M","-0.14%"
"Nov 11, 2021","50.86","51.25","51.42","50.72","1.99M","-0.76%"
"Nov 10, 2021","51.25","51.01","51.67","50.36","3.20M","0.99%"
"Nov 09, 2021","50.75","51.11","51.84","50.75","3.70M","1.48%"
"Nov 08, 2021","50.01","49.83","50.29","49.74","1.92M","0.57%"
"Nov 05, 2021","49.72","49.94","50.18","49.50","2.28M","-0.45%"
"Nov 04, 2021","49.95","50.42","50.82","49.88","1.97M","-0.60%"
"Nov 03, 2021","50.25","50.00","50.35","49.63","2.33M","0.53%"
"Nov 02, 2021","49.99","49.52","50.06","49.51","2.87M","1.02%"
