"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2021","152.68","151.18","152.68","150.94","881.58K","0.59%"
"Dec 29, 2021","151.78","152.56","152.76","151.20","688.00K","-0.68%"
"Dec 28, 2021","152.82","151.14","153.06","150.40","581.09K","1.34%"
"Dec 27, 2021","150.80","149.24","151.06","149.24","482.42K","0.39%"
"Dec 23, 2021","150.22","148.40","150.22","148.16","795.34K","1.75%"
"Dec 22, 2021","147.64","146.80","147.78","145.84","612.21K","0.72%"
"Dec 21, 2021","146.58","145.90","146.68","144.16","795.53K","1.31%"
"Dec 20, 2021","144.68","144.90","145.70","141.18","1.44M","-2.18%"
"Dec 17, 2021","147.90","149.50","150.04","147.12","2.84M","-1.40%"
"Dec 16, 2021","150.00","151.40","152.22","149.66","1.58M","0.97%"
"Dec 15, 2021","148.56","148.52","149.30","147.96","886.77K","0.84%"
"Dec 14, 2021","147.32","151.08","152.48","147.18","1.11M","-2.15%"
"Dec 13, 2021","150.56","151.20","153.58","150.06","1.16M","-0.32%"
"Dec 10, 2021","151.04","149.70","151.56","149.60","955.83K","0.01%"
"Dec 09, 2021","151.02","152.18","152.88","150.20","800.58K","-0.38%"
"Dec 08, 2021","151.60","153.34","154.70","151.52","1.23M","-0.98%"
"Dec 07, 2021","153.10","149.84","153.40","149.84","1.66M","2.52%"
"Dec 06, 2021","149.34","147.90","149.66","145.78","1.34M","1.91%"
"Dec 03, 2021","146.54","149.90","150.20","146.00","1.78M","-0.85%"
"Dec 02, 2021","147.80","145.76","148.12","145.18","1.74M","-0.15%"
"Dec 01, 2021","148.02","142.70","148.34","142.40","1.55M","4.77%"
"Nov 30, 2021","141.28","142.88","143.84","140.24","4.68M","-2.27%"
"Nov 29, 2021","144.56","147.22","148.14","143.62","1.62M","-0.47%"
"Nov 26, 2021","145.24","148.86","149.54","145.24","2.71M","-5.43%"
"Nov 25, 2021","153.58","153.00","154.00","152.48","799.41K","1.08%"
"Nov 24, 2021","151.94","153.44","154.76","151.12","1.20M","-0.91%"
"Nov 23, 2021","153.34","154.90","155.58","152.84","1.27M","-1.65%"
"Nov 22, 2021","155.92","154.88","156.98","154.54","1.15M","0.46%"
"Nov 19, 2021","155.20","155.28","156.64","154.06","2.54M","0.23%"
"Nov 18, 2021","154.84","155.06","156.14","154.80","1.19M","0.06%"
"Nov 17, 2021","154.74","154.02","156.56","153.24","1.39M","0.74%"
"Nov 16, 2021","153.60","150.40","153.64","149.80","1.35M","2.36%"
"Nov 15, 2021","150.06","146.48","150.16","145.20","1.35M","1.12%"
"Nov 12, 2021","148.40","151.06","151.30","147.20","1.99M","-1.83%"
"Nov 11, 2021","151.16","147.74","152.42","145.70","2.61M","2.86%"
"Nov 10, 2021","146.96","145.80","147.10","145.52","936.38K","0.86%"
"Nov 09, 2021","145.70","145.58","147.40","145.44","954.12K","-0.31%"
"Nov 08, 2021","146.16","144.58","146.74","144.50","991.56K","0.40%"
"Nov 05, 2021","145.58","145.00","145.82","143.12","1.35M","-0.25%"
"Nov 04, 2021","145.94","144.00","146.56","143.56","1.19M","1.22%"
"Nov 03, 2021","144.18","144.82","145.28","143.58","1.04M","-0.57%"
"Nov 02, 2021","145.00","140.78","145.40","140.50","1.44M","3.03%"
"Nov 01, 2021","140.74","140.92","141.76","140.16","790.98K","0.33%"
"Oct 29, 2021","140.28","138.52","140.38","135.96","1.79M","0.31%"
"Oct 28, 2021","139.84","139.90","140.42","138.94","1.04M","-0.61%"
"Oct 27, 2021","140.70","140.70","143.44","140.24","1.01M","-0.47%"
"Oct 26, 2021","141.36","139.36","141.88","139.16","924.30K","1.68%"
