"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","2,893.59","2,910.88","2,927.30","2,893.59","864.89K","-0.91%"
"Dec 30, 2021","2,920.05","2,929.00","2,941.25","2,915.17","640.89K","-0.34%"
"Dec 29, 2021","2,930.09","2,928.59","2,943.68","2,910.09","839.10K","0.04%"
"Dec 28, 2021","2,928.96","2,967.49","2,967.49","2,918.71","912.40K","-1.09%"
"Dec 27, 2021","2,961.28","2,949.27","2,968.53","2,945.00","660.69K","0.63%"
"Dec 23, 2021","2,942.85","2,941.79","2,971.45","2,939.02","690.93K","0.13%"
"Dec 22, 2021","2,938.98","2,882.00","2,946.06","2,879.26","917.23K","1.89%"
"Dec 21, 2021","2,884.41","2,863.00","2,893.84","2,834.70","958.74K","1.28%"
"Dec 20, 2021","2,848.03","2,813.59","2,852.21","2,805.00","996.94K","-0.28%"
"Dec 17, 2021","2,856.06","2,854.29","2,889.20","2,835.76","2.17M","-1.41%"
"Dec 16, 2021","2,896.77","2,961.54","2,971.03","2,881.85","1.37M","-1.72%"
"Dec 15, 2021","2,947.37","2,887.32","2,950.34","2,854.11","1.35M","1.65%"
"Dec 14, 2021","2,899.41","2,895.40","2,908.84","2,844.85","1.20M","-1.18%"
"Dec 13, 2021","2,934.09","2,968.88","2,971.25","2,927.20","1.13M","-1.33%"
"Dec 10, 2021","2,973.50","2,982.00","2,988.00","2,947.15","1.08M","0.38%"
"Dec 09, 2021","2,962.12","2,963.52","2,992.10","2,950.58","920.42K","-0.41%"
"Dec 08, 2021","2,974.41","2,966.63","2,983.13","2,944.00","937.74K","0.46%"
"Dec 07, 2021","2,960.73","2,919.00","2,966.00","2,914.05","1.16M","2.95%"
"Dec 06, 2021","2,875.93","2,871.48","2,887.03","2,812.94","1.09M","0.90%"
"Dec 03, 2021","2,850.41","2,889.91","2,904.26","2,823.00","1.33M","-0.87%"
"Dec 02, 2021","2,875.53","2,836.48","2,893.50","2,819.64","1.06M","1.52%"
"Dec 01, 2021","2,832.36","2,884.25","2,929.98","2,830.00","1.43M","-0.59%"
"Nov 30, 2021","2,849.04","2,909.00","2,932.57","2,841.32","2.07M","-2.51%"
"Nov 29, 2021","2,922.28","2,885.97","2,937.24","2,885.97","1.31M","2.32%"
"Nov 26, 2021","2,856.12","2,900.31","2,905.94","2,849.71","849.51K","-2.67%"
"Nov 24, 2021","2,934.35","2,927.00","2,940.00","2,903.98","823.20K","-0.03%"
"Nov 23, 2021","2,935.14","2,942.26","2,953.88","2,897.79","905.15K","-0.22%"
"Nov 22, 2021","2,941.57","3,002.84","3,014.89","2,940.11","1.20M","-1.92%"
"Nov 19, 2021","2,999.05","3,020.00","3,037.00","2,997.75","989.15K","-0.50%"
"Nov 18, 2021","3,014.18","2,982.92","3,032.20","2,979.97","1.33M","1.10%"
"Nov 17, 2021","2,981.24","2,984.58","2,992.52","2,971.26","758.40K","-0.01%"
"Nov 16, 2021","2,981.52","2,983.41","2,996.65","2,967.00","850.37K","-0.21%"
"Nov 15, 2021","2,987.76","3,000.00","3,009.54","2,973.05","812.37K","-0.17%"
"Nov 12, 2021","2,992.91","2,956.63","2,997.19","2,929.08","852.38K","1.97%"
"Nov 11, 2021","2,934.96","2,942.14","2,970.04","2,933.89","611.98K","0.08%"
"Nov 10, 2021","2,932.52","2,960.20","2,974.00","2,906.50","1.13M","-1.76%"
"Nov 09, 2021","2,984.97","2,994.92","3,007.57","2,950.14","842.21K","-0.07%"
"Nov 08, 2021","2,987.03","3,000.00","3,020.69","2,982.40","917.92K","0.07%"
"Nov 05, 2021","2,984.82","2,987.07","3,011.41","2,973.04","1.02M","0.38%"
"Nov 04, 2021","2,973.66","2,944.00","2,999.00","2,932.70","1.23M","1.29%"
"Nov 03, 2021","2,935.80","2,925.50","2,938.21","2,901.07","891.10K","0.64%"
"Nov 02, 2021","2,917.26","2,896.19","2,938.41","2,892.82","1.06M","1.45%"
"Nov 01, 2021","2,875.48","2,963.30","2,967.99","2,871.59","1.58M","-3.03%"
"Oct 29, 2021","2,965.41","2,910.40","2,972.26","2,903.33","1.45M","1.47%"
"Oct 28, 2021","2,922.58","2,945.98","2,948.49","2,895.27","1.60M","-0.20%"
"Oct 27, 2021","2,928.55","2,798.05","2,982.36","2,798.05","2.58M","4.84%"
"Oct 26, 2021","2,793.44","2,812.12","2,816.79","2,780.11","1.34M","0.65%"
"Oct 25, 2021","2,775.46","2,776.21","2,784.12","2,734.97","1.04M","0.11%"
"Oct 22, 2021","2,772.50","2,807.02","2,831.17","2,743.41","1.51M","-2.91%"
"Oct 21, 2021","2,855.61","2,843.84","2,856.99","2,832.74","713.53K","0.26%"
"Oct 20, 2021","2,848.30","2,884.45","2,884.96","2,838.24","886.53K","-0.98%"
"Oct 19, 2021","2,876.44","2,865.83","2,882.14","2,861.92","765.79K","0.60%"
"Oct 18, 2021","2,859.21","2,824.27","2,859.98","2,824.27","809.55K","0.91%"
"Oct 15, 2021","2,833.50","2,844.00","2,844.00","2,821.29","1.06M","0.19%"
"Oct 14, 2021","2,828.24","2,799.04","2,833.03","2,786.78","1.07M","2.55%"
"Oct 13, 2021","2,758.00","2,755.00","2,771.00","2,739.53","808.11K","0.87%"
"Oct 12, 2021","2,734.26","2,792.75","2,793.90","2,725.00","1.13M","-1.54%"
"Oct 11, 2021","2,776.95","2,796.00","2,815.27","2,776.13","826.70K","-0.86%"
"Oct 08, 2021","2,801.12","2,798.12","2,806.34","2,788.59","946.42K","0.63%"
"Oct 07, 2021","2,783.71","2,777.26","2,803.09","2,771.26","904.14K","1.33%"
"Oct 06, 2021","2,747.08","2,692.51","2,757.04","2,689.73","985.10K","0.86%"
"Oct 05, 2021","2,723.54","2,680.00","2,747.24","2,680.00","1.20M","1.80%"
"Oct 04, 2021","2,675.30","2,713.99","2,714.00","2,623.33","1.57M","-1.98%"
"Oct 01, 2021","2,729.25","2,671.09","2,741.42","2,667.55","1.42M","2.40%"
"Sep 30, 2021","2,665.31","2,686.50","2,711.80","2,660.00","1.76M","-0.93%"
"Sep 29, 2021","2,690.42","2,742.19","2,747.97","2,685.00","1.31M","-1.22%"
"Sep 28, 2021","2,723.68","2,781.77","2,792.13","2,714.00","2.10M","-3.76%"
"Sep 27, 2021","2,830.02","2,831.71","2,850.00","2,810.00","939.79K","-0.79%"
"Sep 24, 2021","2,852.66","2,818.92","2,858.07","2,817.01","747.47K","0.57%"
"Sep 23, 2021","2,836.53","2,832.19","2,845.05","2,821.93","863.10K","0.63%"
"Sep 22, 2021","2,818.77","2,801.01","2,831.67","2,789.44","1.10M","0.93%"
"Sep 21, 2021","2,792.93","2,802.34","2,816.23","2,778.11","905.07K","0.45%"
"Sep 20, 2021","2,780.34","2,780.00","2,787.25","2,741.06","1.74M","-1.73%"
"Sep 17, 2021","2,829.27","2,875.97","2,884.99","2,821.23","3.00M","-2.02%"
"Sep 16, 2021","2,887.47","2,902.42","2,904.00","2,868.33","991.67K","-0.57%"
"Sep 15, 2021","2,904.12","2,875.18","2,911.63","2,845.12","1.02M","1.26%"
"Sep 14, 2021","2,868.12","2,883.22","2,894.55","2,858.11","936.07K","-0.04%"
"Sep 13, 2021","2,869.30","2,864.02","2,883.82","2,845.65","997.43K","1.09%"
"Sep 10, 2021","2,838.42","2,908.87","2,920.38","2,834.83","1.64M","-2.07%"
"Sep 09, 2021","2,898.27","2,897.67","2,913.39","2,888.68","696.54K","0.02%"
"Sep 08, 2021","2,897.67","2,907.87","2,911.02","2,884.00","771.29K","-0.44%"
"Sep 07, 2021","2,910.38","2,894.99","2,916.48","2,890.82","747.51K","0.51%"
"Sep 03, 2021","2,895.50","2,882.92","2,907.54","2,870.10","955.52K","0.39%"
"Sep 02, 2021","2,884.38","2,918.99","2,926.50","2,882.13","1.09M","-1.11%"
"Sep 01, 2021","2,916.84","2,913.00","2,936.41","2,912.29","791.23K","0.26%"
"Aug 31, 2021","2,909.24","2,917.69","2,922.24","2,900.00","1.33M","-0.01%"
"Aug 30, 2021","2,909.39","2,894.09","2,929.79","2,892.00","838.69K","0.64%"
"Aug 27, 2021","2,891.01","2,842.25","2,900.22","2,840.40","1.23M","1.71%"
"Aug 26, 2021","2,842.46","2,852.37","2,862.70","2,841.83","741.65K","-0.58%"
"Aug 25, 2021","2,859.00","2,857.66","2,866.26","2,848.79","628.84K","0.39%"
"Aug 24, 2021","2,847.97","2,830.87","2,860.15","2,827.07","717.78K","0.92%"
"Aug 23, 2021","2,821.99","2,779.97","2,843.54","2,774.96","1.03M","1.92%"
"Aug 20, 2021","2,768.74","2,741.66","2,772.29","2,729.34","778.34K","1.11%"
"Aug 19, 2021","2,738.27","2,709.35","2,749.04","2,707.12","905.97K","0.25%"
"Aug 18, 2021","2,731.40","2,742.31","2,765.88","2,728.42","742.72K","-0.53%"
"Aug 17, 2021","2,746.01","2,763.82","2,774.37","2,735.75","1.05M","-1.16%"
"Aug 16, 2021","2,778.32","2,760.00","2,779.81","2,723.31","847.07K","0.37%"
"Aug 13, 2021","2,768.12","2,767.15","2,773.48","2,760.10","629.03K","0.01%"
"Aug 12, 2021","2,767.79","2,754.26","2,768.36","2,735.58","731.70K","0.51%"
"Aug 11, 2021","2,753.79","2,765.66","2,776.96","2,747.00","749.97K","-0.29%"
"Aug 10, 2021","2,761.90","2,762.90","2,770.00","2,745.50","801.95K","0.07%"
"Aug 09, 2021","2,760.00","2,741.00","2,766.40","2,728.60","618.98K","0.70%"
"Aug 06, 2021","2,740.72","2,725.90","2,741.60","2,720.93","678.25K","0.07%"
"Aug 05, 2021","2,738.80","2,721.20","2,738.80","2,713.40","593.59K","0.67%"
"Aug 04, 2021","2,720.60","2,715.80","2,729.90","2,708.30","826.36K","-0.18%"
"Aug 03, 2021","2,725.60","2,721.20","2,726.20","2,685.30","953.20K","0.21%"
"Aug 02, 2021","2,719.80","2,711.70","2,719.80","2,693.50","1.01M","0.57%"
"Jul 30, 2021","2,704.42","2,710.22","2,715.43","2,696.28","1.20M","-0.97%"
"Jul 29, 2021","2,730.80","2,727.70","2,742.80","2,724.30","964.17K","0.12%"
"Jul 28, 2021","2,727.60","2,774.40","2,793.20","2,727.60","2.73M","-0.30%"
"Jul 27, 2021","2,735.90","2,799.60","2,799.60","2,702.00","2.11M","-2.04%"
"Jul 26, 2021","2,792.90","2,765.90","2,794.10","2,753.80","1.15M","1.33%"
"Jul 23, 2021","2,756.30","2,705.20","2,776.20","2,694.00","1.32M","3.36%"
"Jul 22, 2021","2,666.60","2,653.00","2,670.10","2,648.00","680.41K","0.55%"
"Jul 21, 2021","2,652.00","2,615.70","2,652.30","2,612.00","737.08K","1.14%"
"Jul 20, 2021","2,622.00","2,600.10","2,640.00","2,583.80","954.16K","1.43%"
"Jul 19, 2021","2,585.10","2,623.10","2,624.90","2,570.70","1.29M","-1.96%"
"Jul 16, 2021","2,636.91","2,632.82","2,643.66","2,616.43","743.06K","0.44%"
"Jul 15, 2021","2,625.30","2,647.50","2,651.00","2,613.10","829.32K","-0.62%"
