"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","2,897.04","2,921.00","2,933.97","2,897.04","879.72K","-0.92%"
"Dec 30, 2021","2,924.01","2,933.88","2,946.00","2,919.89","743.71K","-0.31%"
"Dec 29, 2021","2,933.10","2,932.89","2,948.34","2,912.95","886.41K","-0.02%"
"Dec 28, 2021","2,933.74","2,964.72","2,965.98","2,921.09","868.00K","-0.82%"
"Dec 27, 2021","2,958.13","2,945.12","2,966.88","2,943.39","787.41K","0.67%"
"Dec 23, 2021","2,938.33","2,930.00","2,964.87","2,929.04","1.32M","0.34%"
"Dec 22, 2021","2,928.30","2,861.35","2,930.00","2,861.35","1.23M","2.05%"
"Dec 21, 2021","2,869.45","2,841.07","2,877.38","2,810.05","1.32M","1.32%"
"Dec 20, 2021","2,832.14","2,800.00","2,835.49","2,786.42","1.34M","-0.08%"
"Dec 17, 2021","2,834.50","2,850.00","2,876.69","2,826.00","2.55M","-1.88%"
"Dec 16, 2021","2,888.90","2,943.41","2,953.53","2,872.14","1.64M","-1.36%"
"Dec 15, 2021","2,928.82","2,868.18","2,934.42","2,833.56","1.77M","1.76%"
"Dec 14, 2021","2,878.14","2,879.36","2,889.60","2,824.29","1.88M","-1.32%"
"Dec 13, 2021","2,916.53","2,955.63","2,959.40","2,910.35","1.10M","-1.47%"
"Dec 10, 2021","2,960.03","2,974.00","2,979.55","2,934.07","1.22M","0.25%"
"Dec 09, 2021","2,952.77","2,951.82","2,982.00","2,942.30","1.14M","-0.37%"
"Dec 08, 2021","2,963.73","2,951.93","2,967.86","2,928.12","1.20M","0.62%"
"Dec 07, 2021","2,945.39","2,911.93","2,950.62","2,904.55","1.59M","2.87%"
"Dec 06, 2021","2,863.10","2,860.81","2,877.05","2,803.00","1.48M","0.81%"
"Dec 03, 2021","2,840.03","2,873.62","2,888.00","2,806.02","2.06M","-0.67%"
"Dec 02, 2021","2,859.32","2,825.00","2,877.29","2,804.29","1.45M","1.36%"
"Dec 01, 2021","2,821.03","2,880.00","2,919.00","2,818.24","1.70M","-0.60%"
"Nov 30, 2021","2,837.95","2,900.17","2,920.00","2,832.03","2.09M","-2.50%"
"Nov 29, 2021","2,910.61","2,880.00","2,925.95","2,877.87","1.62M","2.35%"
"Nov 26, 2021","2,843.66","2,886.97","2,891.15","2,836.85","1.52M","-2.69%"
"Nov 24, 2021","2,922.40","2,909.47","2,924.99","2,887.46","902.01K","0.23%"
"Nov 23, 2021","2,915.64","2,923.06","2,933.20","2,882.30","1.36M","-0.36%"
"Nov 22, 2021","2,926.04","2,986.65","2,996.59","2,922.95","1.52M","-1.76%"
"Nov 19, 2021","2,978.53","2,999.51","3,019.33","2,977.98","1.68M","-0.61%"
"Nov 18, 2021","2,996.77","2,964.83","3,011.61","2,957.69","1.78M","1.21%"
"Nov 17, 2021","2,960.94","2,960.55","2,971.19","2,944.80","973.82K","0.12%"
"Nov 16, 2021","2,957.52","2,962.99","2,975.25","2,946.25","922.89K","-0.39%"
"Nov 15, 2021","2,969.04","2,978.01","2,990.99","2,951.50","1.18M","-0.15%"
"Nov 12, 2021","2,973.56","2,932.31","2,977.00","2,908.22","1.12M","2.00%"
"Nov 11, 2021","2,915.33","2,929.79","2,950.71","2,912.01","812.42K","-0.09%"
"Nov 10, 2021","2,917.87","2,950.00","2,961.40","2,890.75","1.48M","-2.03%"
"Nov 09, 2021","2,978.37","2,984.66","2,996.69","2,944.90","972.09K","-0.08%"
"Nov 08, 2021","2,980.62","2,996.50","3,012.29","2,968.61","1.15M","0.12%"
"Nov 05, 2021","2,977.04","2,983.39","3,006.55","2,963.94","1.92M","0.39%"
"Nov 04, 2021","2,965.35","2,942.49","2,994.67","2,926.16","1.90M","1.14%"
"Nov 03, 2021","2,931.96","2,918.01","2,933.38","2,891.82","1.36M","0.80%"
"Nov 02, 2021","2,908.65","2,891.59","2,932.18","2,886.71","1.60M","1.35%"
"Nov 01, 2021","2,869.94","2,960.92","2,960.92","2,864.51","2.31M","-3.07%"
"Oct 29, 2021","2,960.92","2,901.56","2,964.84","2,892.99","2.17M","1.51%"
"Oct 28, 2021","2,916.98","2,942.69","2,943.16","2,892.53","1.78M","-0.25%"
"Oct 27, 2021","2,924.35","2,788.10","2,973.00","2,788.10","4.22M","4.96%"
"Oct 26, 2021","2,786.17","2,785.27","2,801.66","2,766.09","2.29M","1.35%"
"Oct 25, 2021","2,748.94","2,751.00","2,760.00","2,708.48","1.70M","-0.09%"
"Oct 22, 2021","2,751.33","2,783.00","2,811.66","2,721.12","2.53M","-3.04%"
"Oct 21, 2021","2,837.72","2,835.38","2,843.12","2,810.00","1.19M","0.08%"
"Oct 20, 2021","2,835.38","2,866.76","2,870.92","2,827.53","1.14M","-1.02%"
"Oct 19, 2021","2,864.74","2,867.75","2,873.25","2,852.00","1.01M","0.32%"
"Oct 18, 2021","2,855.56","2,821.53","2,855.92","2,821.39","983.74K","1.00%"
