"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","8,678.0","8,689.0","8,704.0","8,588.0","450.93K","0.06%"
"Dec 30, 2021","8,673.0","8,649.0","8,711.0","8,630.0","598.48K","0.20%"
"Dec 29, 2021","8,656.0","8,657.0","8,720.0","8,651.5","1.35M","0.52%"
"Dec 24, 2021","8,611.0","8,613.0","8,676.0","8,608.5","219.46K","0.17%"
"Dec 23, 2021","8,596.0","8,633.0","8,653.0","8,556.0","1.48M","-0.22%"
"Dec 22, 2021","8,615.0","8,610.0","8,628.0","8,520.0","1.28M","0.08%"
"Dec 21, 2021","8,608.0","8,535.0","8,608.0","8,504.0","1.64M","1.38%"
"Dec 20, 2021","8,491.0","8,453.0","8,548.0","8,349.0","2.07M","-0.26%"
"Dec 17, 2021","8,513.0","8,560.0","8,576.0","8,482.0","3.45M","0.53%"
"Dec 16, 2021","8,468.0","8,426.0","8,512.0","8,288.0","3.55M","2.17%"
"Dec 15, 2021","8,288.0","8,237.0","8,314.0","8,228.0","2.42M","0.73%"
"Dec 14, 2021","8,228.0","8,261.0","8,362.0","8,198.0","1.32M","-0.24%"
"Dec 13, 2021","8,248.0","8,151.0","8,260.8","8,108.3","1.32M","0.67%"
"Dec 10, 2021","8,193.0","8,280.0","8,332.0","8,122.0","1.68M","-2.02%"
"Dec 09, 2021","8,362.0","8,386.0","8,411.0","8,306.0","1.60M","0.94%"
"Dec 08, 2021","8,284.0","8,300.0","8,364.0","8,229.0","1.87M","0.74%"
"Dec 07, 2021","8,223.0","8,277.0","8,320.0","8,090.3","2.27M","-1.67%"
"Dec 06, 2021","8,363.0","8,212.0","8,431.0","8,201.9","1.32M","2.10%"
"Dec 03, 2021","8,191.0","8,250.0","8,269.6","8,098.0","1.63M","-0.49%"
"Dec 02, 2021","8,231.0","8,306.0","8,347.0","8,213.0","1.82M","-1.00%"
"Dec 01, 2021","8,314.0","8,303.0","8,374.0","8,232.0","1.93M","0.46%"
"Nov 30, 2021","8,276.0","8,262.0","8,334.0","8,151.0","3.72M","-1.09%"
"Nov 29, 2021","8,367.0","8,386.0","8,437.0","8,280.0","2.31M","-0.52%"
"Nov 26, 2021","8,411.0","8,383.0","8,560.0","8,344.0","1.75M","-1.14%"
"Nov 25, 2021","8,508.0","8,495.0","8,572.0","8,486.8","1.34M","0.44%"
"Nov 24, 2021","8,471.0","8,489.0","8,518.0","8,404.0","1.23M","-0.11%"
"Nov 23, 2021","8,480.0","8,403.0","8,517.0","8,351.0","1.51M","0.44%"
"Nov 22, 2021","8,443.0","8,483.0","8,552.0","8,393.7","1.97M","-0.42%"
"Nov 19, 2021","8,479.0","8,411.0","8,544.0","8,381.0","3.85M","1.17%"
"Nov 18, 2021","8,381.0","8,585.0","8,627.0","8,329.0","2.06M","-2.43%"
"Nov 17, 2021","8,590.0","8,568.0","8,748.0","8,539.1","2.87M","-0.14%"
"Nov 16, 2021","8,602.0","8,926.0","8,929.0","8,486.0","3.35M","-4.08%"
"Nov 15, 2021","8,968.0","8,958.0","9,036.0","8,827.0","1.99M","1.90%"
"Nov 12, 2021","8,801.0","8,923.0","9,236.7","8,759.0","4.13M","-6.81%"
"Nov 11, 2021","9,444.0","9,425.0","9,458.0","9,369.0","1.17M","0.64%"
"Nov 10, 2021","9,384.0","9,276.0","9,408.3","9,267.0","1.67M","1.02%"
"Nov 09, 2021","9,289.0","9,310.0","9,361.0","9,233.0","1.65M","-0.45%"
"Nov 08, 2021","9,331.0","9,331.0","9,441.0","9,313.0","965.21K","0.24%"
"Nov 05, 2021","9,309.0","9,444.0","9,523.0","9,249.0","1.39M","-1.42%"
"Nov 04, 2021","9,443.0","9,333.0","9,475.0","9,325.2","1.91M","1.10%"
"Nov 03, 2021","9,340.0","9,393.0","9,444.0","9,300.0","1.55M","-0.92%"
"Nov 02, 2021","9,427.0","9,190.0","9,427.0","9,157.8","1.66M","3.16%"
"Nov 01, 2021","9,138.0","9,177.0","9,189.0","9,073.0","1.03M","0.48%"
"Oct 29, 2021","9,094.0","8,979.0","9,109.0","8,969.0","1.51M","0.38%"
"Oct 28, 2021","9,060.0","8,979.0","9,144.0","8,910.0","1.13M","0.73%"
"Oct 27, 2021","8,994.0","9,060.0","9,149.0","8,987.0","1.37M","-0.10%"
"Oct 26, 2021","9,003.0","8,953.0","9,036.0","8,945.0","919.88K","0.68%"
"Oct 25, 2021","8,942.0","9,011.0","9,065.0","8,920.0","978.83K","-0.60%"
"Oct 22, 2021","8,996.0","8,892.0","9,029.0","8,873.0","1.22M","1.50%"
"Oct 21, 2021","8,863.0","8,744.0","8,867.0","8,743.0","951.00K","1.08%"
"Oct 20, 2021","8,768.0","8,791.0","8,817.0","8,732.0","939.08K","0.33%"
"Oct 19, 2021","8,739.0","8,646.0","8,762.0","8,607.0","1.25M","0.46%"
"Oct 18, 2021","8,699.0","8,707.0","8,768.6","8,667.0","1.05M","-1.09%"
"Oct 15, 2021","8,795.0","8,840.0","8,848.0","8,750.0","1.42M","-0.22%"
"Oct 14, 2021","8,814.0","8,841.0","8,879.0","8,781.0","1.69M","-0.46%"
"Oct 13, 2021","8,855.0","8,882.0","8,891.0","8,685.0","1.61M","-0.46%"
"Oct 12, 2021","8,896.0","8,921.0","9,081.0","8,864.0","1.33M","-1.19%"
"Oct 11, 2021","9,003.0","8,924.2","9,008.0","8,818.0","1.32M","1.28%"
"Oct 08, 2021","8,889.0","8,877.0","8,972.0","8,837.6","1.05M","0.14%"
"Oct 07, 2021","8,877.0","8,815.0","8,893.0","8,767.0","1.38M","1.13%"
"Oct 06, 2021","8,778.0","8,739.0","8,833.3","8,616.0","1.49M","-0.88%"
"Oct 05, 2021","8,856.0","8,848.0","8,916.0","8,823.0","1.62M","0.34%"
"Oct 04, 2021","8,826.0","8,748.0","8,887.0","8,723.0","1.61M","0.60%"
"Oct 01, 2021","8,773.0","8,881.0","8,914.0","8,663.0","1.96M","-2.07%"
"Sep 30, 2021","8,958.0","8,907.0","8,998.0","8,890.0","3.78M","1.42%"
"Sep 29, 2021","8,833.0","8,608.0","8,850.0","8,559.0","3.98M","4.24%"
"Sep 28, 2021","8,474.0","8,524.0","8,675.0","8,445.0","2.22M","-1.09%"
"Sep 27, 2021","8,567.0","8,869.0","8,899.0","8,556.0","1.83M","-3.14%"
"Sep 24, 2021","8,845.0","8,900.0","8,982.0","8,825.9","4.35M","2.04%"
"Sep 23, 2021","8,668.0","8,654.0","8,735.2","8,593.0","1.49M","0.59%"
"Sep 22, 2021","8,617.0","8,690.0","8,720.0","8,553.0","1.33M","-1.07%"
"Sep 21, 2021","8,710.0","8,560.0","8,710.0","8,507.0","3.29M","1.76%"
"Sep 20, 2021","8,559.0","8,218.0","8,559.0","8,150.0","4.03M","6.15%"
"Sep 17, 2021","8,063.0","8,222.0","8,265.0","8,029.0","3.63M","-0.96%"
"Sep 16, 2021","8,141.0","8,159.0","8,262.0","8,141.0","1.64M","0.20%"
"Sep 15, 2021","8,125.0","8,143.0","8,187.0","8,099.0","1.51M","-0.06%"
"Sep 14, 2021","8,130.0","8,097.0","8,149.0","8,073.0","1.12M","0.40%"
"Sep 13, 2021","8,098.0","8,195.0","8,227.0","8,073.0","1.12M","-0.92%"
"Sep 10, 2021","8,173.0","8,171.0","8,208.0","8,135.0","1.33M","-0.38%"
"Sep 09, 2021","8,204.0","8,300.0","8,350.0","8,177.0","2.45M","-1.32%"
"Sep 08, 2021","8,314.0","8,471.0","8,498.0","8,300.7","1.66M","-1.84%"
"Sep 07, 2021","8,470.0","8,642.0","8,642.0","8,457.0","1.34M","-2.02%"
"Sep 06, 2021","8,645.0","8,552.0","8,666.0","8,520.0","772.14K","1.60%"
"Sep 03, 2021","8,509.0","8,620.0","8,669.0","8,475.0","1.24M","-1.22%"
"Sep 02, 2021","8,614.0","8,544.0","8,624.0","8,516.0","1.02M","1.15%"
"Sep 01, 2021","8,516.0","8,535.0","8,565.0","8,477.0","1.46M","0.02%"
"Aug 31, 2021","8,514.0","8,526.0","8,582.0","8,482.0","2.18M","-0.60%"
"Aug 27, 2021","8,565.0","8,577.0","8,618.0","8,563.0","749.88K","-0.17%"
"Aug 26, 2021","8,580.0","8,538.0","8,640.0","8,525.0","1.11M","0.32%"
