"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","1,622.4","1,610.2","1,629.2","1,609.9","496.45K","-0.33%"
"Dec 30, 2021","1,627.8","1,622.2","1,632.0","1,616.6","549.41K","-1.12%"
"Dec 29, 2021","1,646.2","1,645.0","1,668.0","1,623.6","812.02K","-0.01%"
"Dec 24, 2021","1,646.3","1,640.0","1,656.8","1,637.5","200.22K","0.37%"
"Dec 23, 2021","1,640.3","1,633.2","1,658.2","1,626.8","506.25K","1.32%"
"Dec 22, 2021","1,618.9","1,614.2","1,628.0","1,605.4","733.13K","0.71%"
"Dec 21, 2021","1,607.5","1,592.6","1,619.2","1,584.2","902.12K","2.68%"
"Dec 20, 2021","1,565.6","1,546.4","1,579.0","1,541.9","854.81K","-2.67%"
"Dec 17, 2021","1,608.6","1,608.4","1,619.6","1,584.6","2.78M","-0.84%"
"Dec 16, 2021","1,622.2","1,621.4","1,631.4","1,607.2","3.53M","2.11%"
"Dec 15, 2021","1,588.7","1,607.6","1,611.8","1,587.7","1.12M","-1.71%"
"Dec 14, 2021","1,616.4","1,618.6","1,633.4","1,607.0","2.59M","-2.44%"
"Dec 13, 2021","1,656.9","1,659.8","1,664.8","1,613.0","2.81M","-0.25%"
"Dec 10, 2021","1,661.0","1,656.6","1,682.1","1,652.8","2.07M","-0.41%"
"Dec 09, 2021","1,667.8","1,688.8","1,694.8","1,655.2","1.78M","-0.56%"
"Dec 08, 2021","1,677.2","1,686.6","1,705.2","1,671.4","832.67K","-0.50%"
"Dec 07, 2021","1,685.7","1,693.2","1,706.4","1,681.0","2.33M","0.30%"
"Dec 06, 2021","1,680.6","1,661.8","1,693.0","1,661.8","921.95K","0.96%"
"Dec 03, 2021","1,664.7","1,661.0","1,671.2","1,645.7","1.32M","2.37%"
"Dec 02, 2021","1,626.2","1,585.0","1,640.6","1,584.8","2.53M","0.92%"
"Dec 01, 2021","1,611.3","1,605.7","1,627.8","1,600.4","948.16K","2.75%"
"Nov 30, 2021","1,568.2","1,564.2","1,589.4","1,544.6","2.47M","-1.31%"
"Nov 29, 2021","1,589.0","1,588.0","1,628.2","1,575.6","1.62M","2.63%"
"Nov 26, 2021","1,548.3","1,548.6","1,581.2","1,534.2","2.67M","-5.92%"
