"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 17, 2022","3,409.0","3,410.3","3,425.0","3,383.0","1.65M","-0.07%"
"Mar 16, 2022","3,411.5","3,429.5","3,432.5","3,381.5","4.41M","0.89%"
"Mar 15, 2022","3,381.5","3,393.0","3,442.0","3,366.0","4.14M","-1.21%"
"Mar 14, 2022","3,423.0","3,391.5","3,427.0","3,364.9","8.46M","0.93%"
"Mar 11, 2022","3,391.5","3,385.0","3,407.0","3,306.0","3.50M","0.80%"
"Mar 10, 2022","3,364.5","3,420.0","3,435.6","3,351.0","11.88M","-2.02%"
"Mar 09, 2022","3,434.0","3,379.0","3,434.0","3,336.0","4.85M","2.92%"
"Mar 08, 2022","3,336.5","3,325.0","3,410.5","3,267.5","7.98M","0.26%"
"Mar 07, 2022","3,328.0","3,366.5","3,410.5","3,280.5","8.59M","-2.42%"
"Mar 04, 2022","3,410.5","3,540.0","3,551.0","3,403.0","5.02M","-4.29%"
"Mar 03, 2022","3,563.5","3,618.0","3,643.0","3,551.5","4.85M","-2.28%"
"Mar 02, 2022","3,646.5","3,711.4","3,711.4","3,599.7","2.92M","-1.04%"
"Mar 01, 2022","3,685.0","3,750.0","3,770.5","3,670.0","3.33M","-1.64%"
"Feb 28, 2022","3,746.5","3,726.5","3,753.0","3,701.1","6.23M","0.20%"
"Feb 25, 2022","3,739.0","3,633.0","3,751.5","3,607.0","3.65M","2.89%"
"Feb 24, 2022","3,634.0","3,735.0","3,749.0","3,633.5","5.24M","-5.46%"
"Feb 23, 2022","3,844.0","3,772.5","3,857.0","3,772.5","2.88M","1.34%"
"Feb 22, 2022","3,793.0","3,821.0","3,870.5","3,774.5","6.12M","-1.48%"
"Feb 21, 2022","3,850.0","3,868.0","3,875.0","3,836.5","4.25M","-0.19%"
"Feb 18, 2022","3,857.5","3,810.0","3,863.0","3,808.5","5.84M","1.53%"
"Feb 17, 2022","3,799.5","3,810.0","3,829.5","3,757.0","3.67M","-0.48%"
"Feb 16, 2022","3,818.0","3,817.5","3,844.0","3,802.0","4.60M","-0.44%"
"Feb 15, 2022","3,835.0","3,848.0","3,866.3","3,802.5","3.28M","0.66%"
"Feb 14, 2022","3,810.0","3,893.5","3,897.5","3,786.0","4.99M","-2.67%"
"Feb 11, 2022","3,914.5","3,762.5","3,935.5","3,762.5","9.77M","3.59%"
"Feb 10, 2022","3,779.0","3,708.0","3,813.0","3,667.5","8.01M","-1.29%"
"Feb 09, 2022","3,828.5","3,886.5","3,903.5","3,814.5","2.93M","-1.24%"
"Feb 08, 2022","3,876.5","3,862.5","3,885.5","3,854.0","2.40M","0.47%"
"Feb 07, 2022","3,858.5","3,801.5","3,874.5","3,797.0","11.03M","1.14%"
"Feb 04, 2022","3,815.0","3,801.5","3,828.5","3,794.5","4.46M","0.30%"
"Feb 03, 2022","3,803.5","3,786.5","3,819.5","3,772.5","3.23M","0.56%"
"Feb 02, 2022","3,782.5","3,768.5","3,802.5","3,724.5","2.90M","0.89%"
