"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","382.55","385.00","387.00","380.83","1.59M","-0.77%"
"Dec 30, 2021","385.52","387.75","389.78","385.20","1.15M","-0.18%"
"Dec 29, 2021","386.20","387.97","389.46","384.42","1.31M","-0.36%"
"Dec 28, 2021","387.61","388.93","391.33","386.23","1.45M","-0.11%"
"Dec 27, 2021","388.04","386.99","389.11","385.00","1.41M","0.78%"
"Dec 23, 2021","385.04","383.79","387.61","383.57","1.62M","0.71%"
"Dec 22, 2021","382.33","380.42","384.01","379.27","1.47M","0.53%"
"Dec 21, 2021","380.32","376.43","382.08","374.76","2.82M","2.34%"
"Dec 20, 2021","371.61","375.52","375.63","366.65","3.66M","-2.67%"
"Dec 17, 2021","381.80","389.21","393.67","380.63","7.07M","-3.92%"
"Dec 16, 2021","397.37","395.13","399.84","391.80","3.36M","1.91%"
"Dec 15, 2021","389.91","389.50","391.40","380.60","2.75M","0.28%"
"Dec 14, 2021","388.82","383.56","392.50","383.26","2.73M","1.09%"
"Dec 13, 2021","384.64","391.19","391.19","382.66","2.30M","-1.64%"
"Dec 10, 2021","391.06","398.00","398.86","388.66","1.89M","-1.37%"
"Dec 09, 2021","396.49","395.70","400.19","393.00","1.97M","-0.21%"
"Dec 08, 2021","397.32","401.23","401.71","395.14","1.57M","-0.70%"
"Dec 07, 2021","400.11","393.58","401.75","393.06","2.39M","2.78%"
"Dec 06, 2021","389.30","388.67","393.60","383.49","1.98M","1.72%"
"Dec 03, 2021","382.73","389.88","389.88","379.03","2.81M","-1.24%"
"Dec 02, 2021","387.54","378.00","389.09","376.03","3.30M","2.94%"
"Dec 01, 2021","376.48","383.82","390.16","376.21","2.48M","-1.18%"
"Nov 30, 2021","380.99","383.53","386.83","377.26","4.22M","-1.44%"
"Nov 29, 2021","386.54","394.00","396.37","382.45","2.88M","-0.73%"
"Nov 26, 2021","389.39","384.48","391.71","382.71","2.69M","-2.45%"
"Nov 24, 2021","399.19","405.00","407.48","398.30","2.19M","-1.76%"
"Nov 23, 2021","406.34","400.25","406.96","397.51","2.36M","2.57%"
"Nov 22, 2021","396.16","393.16","402.49","390.18","3.00M","2.26%"
"Nov 19, 2021","387.39","382.38","390.24","381.04","2.61M","-1.02%"
"Nov 18, 2021","391.37","392.30","393.92","385.68","1.85M","-0.05%"
"Nov 17, 2021","391.55","401.85","402.65","391.47","2.88M","-2.86%"
"Nov 16, 2021","403.09","403.91","405.84","399.00","1.28M","-0.42%"
"Nov 15, 2021","404.81","406.00","407.34","403.91","1.44M","-0.02%"
"Nov 12, 2021","404.91","403.00","405.10","399.20","1.36M","0.64%"
"Nov 11, 2021","402.34","400.14","403.76","398.51","1.24M","0.81%"
"Nov 10, 2021","399.12","402.33","405.55","397.24","2.19M","-1.54%"
"Nov 09, 2021","405.35","406.11","407.58","400.06","2.09M","-0.73%"
"Nov 08, 2021","408.34","409.89","413.65","407.96","1.64M","0.31%"
"Nov 05, 2021","407.08","411.40","414.45","406.10","2.11M","-0.24%"
"Nov 04, 2021","408.07","414.65","415.99","403.03","3.79M","-2.35%"
"Nov 03, 2021","417.90","423.11","424.00","412.56","3.43M","-1.40%"
"Nov 02, 2021","423.85","415.10","426.16","412.79","2.89M","1.72%"
"Nov 01, 2021","416.70","417.07","418.73","413.25","1.73M","0.81%"
"Oct 29, 2021","413.35","414.02","415.96","411.18","2.06M","-0.35%"
"Oct 28, 2021","414.82","412.00","414.92","409.06","1.43M","0.93%"
"Oct 27, 2021","410.99","416.55","418.06","410.55","1.99M","-1.59%"
"Oct 26, 2021","417.61","416.37","419.81","413.76","1.80M","0.69%"
"Oct 25, 2021","414.75","416.21","419.49","413.27","1.82M","0.10%"
"Oct 22, 2021","414.32","409.99","415.36","409.10","2.41M","1.65%"
"Oct 21, 2021","407.59","406.80","412.66","404.61","2.14M","-0.07%"
"Oct 20, 2021","407.89","411.00","414.33","406.20","2.42M","-1.04%"
"Oct 19, 2021","412.16","415.18","415.85","409.69","2.57M","-0.37%"
"Oct 18, 2021","413.69","408.01","415.94","407.60","3.81M","1.88%"
"Oct 15, 2021","406.07","402.31","407.27","396.34","6.45M","3.80%"
"Oct 14, 2021","391.20","392.00","393.66","382.20","3.33M","1.27%"
"Oct 13, 2021","386.31","388.00","388.38","378.63","2.38M","-0.06%"
"Oct 12, 2021","386.53","386.22","388.59","381.02","2.09M","0.33%"
"Oct 11, 2021","385.24","392.90","396.95","385.02","1.78M","-1.93%"
"Oct 08, 2021","392.81","390.83","394.31","388.18","1.45M","0.56%"
"Oct 07, 2021","390.62","392.91","397.85","389.76","2.25M","0.66%"
"Oct 06, 2021","388.05","382.38","389.55","378.66","2.08M","0.58%"
"Oct 05, 2021","385.81","378.10","388.22","375.50","2.50M","3.12%"
"Oct 04, 2021","374.15","380.21","386.87","372.82","2.84M","-1.54%"
"Oct 01, 2021","380.00","379.44","382.72","375.85","2.38M","0.52%"
"Sep 30, 2021","378.03","388.00","388.02","376.62","2.64M","-1.78%"
"Sep 29, 2021","384.89","390.68","392.39","384.30","1.95M","-1.18%"
"Sep 28, 2021","389.50","400.45","404.21","388.39","2.58M","-2.58%"
"Sep 27, 2021","399.81","396.58","401.00","395.18","2.78M","2.29%"
"Sep 24, 2021","390.85","390.47","392.49","388.60","1.79M","-0.26%"
"Sep 23, 2021","391.86","390.39","393.74","388.18","2.51M","1.66%"
"Sep 22, 2021","385.47","380.80","389.29","379.71","2.99M","2.56%"
"Sep 21, 2021","375.84","380.85","381.50","374.08","2.37M","-0.61%"
"Sep 20, 2021","378.13","377.82","380.86","372.50","3.66M","-3.41%"
"Sep 17, 2021","391.46","396.32","399.16","388.83","3.85M","-1.32%"
