"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","336.32","338.51","339.36","335.85","17.77M","-0.88%"
"Dec 30, 2021","339.32","341.91","343.13","338.82","15.77M","-0.77%"
"Dec 29, 2021","341.95","341.30","344.30","339.68","14.98M","0.21%"
"Dec 28, 2021","341.25","343.15","343.81","340.32","15.27M","-0.35%"
"Dec 27, 2021","342.45","335.46","342.48","335.43","19.86M","2.32%"
"Dec 23, 2021","334.69","332.75","336.39","332.73","19.62M","0.45%"
"Dec 22, 2021","333.20","328.30","333.61","325.75","24.51M","1.81%"
"Dec 21, 2021","327.29","323.29","327.73","319.80","24.29M","2.31%"
"Dec 20, 2021","319.91","320.05","322.80","317.57","28.12M","-1.20%"
"Dec 17, 2021","323.80","320.88","324.92","317.25","47.98M","-0.34%"
"Dec 16, 2021","324.90","335.71","336.76","323.02","34.48M","-2.91%"
"Dec 15, 2021","334.65","328.61","335.19","324.50","34.84M","1.92%"
"Dec 14, 2021","328.34","333.22","334.64","324.11","43.50M","-3.26%"
"Dec 13, 2021","339.40","340.68","343.79","339.08","28.08M","-0.92%"
"Dec 10, 2021","342.54","334.98","343.00","334.79","38.10M","2.83%"
"Dec 09, 2021","333.10","334.41","336.49","332.12","21.78M","-0.56%"
"Dec 08, 2021","334.97","335.31","335.50","330.80","24.70M","0.01%"
"Dec 07, 2021","334.92","331.64","335.80","330.10","30.70M","2.68%"
"Dec 06, 2021","326.19","323.95","327.45","319.23","29.91M","0.98%"
"Dec 03, 2021","323.01","331.99","332.70","318.03","41.78M","-1.97%"
"Dec 02, 2021","329.49","330.30","333.49","327.80","29.57M","-0.18%"
"Dec 01, 2021","330.08","335.13","339.28","329.39","33.40M","-0.15%"
"Nov 30, 2021","330.59","335.32","337.78","328.99","42.46M","-1.79%"
"Nov 29, 2021","336.63","334.94","339.03","334.74","27.53M","2.11%"
"Nov 26, 2021","329.68","334.35","337.93","328.12","23.84M","-2.44%"
"Nov 24, 2021","337.91","336.28","338.16","333.91","21.66M","0.07%"
"Nov 23, 2021","337.68","337.05","339.45","333.56","29.65M","-0.63%"
"Nov 22, 2021","339.83","344.62","349.67","339.55","30.45M","-0.96%"
"Nov 19, 2021","343.11","342.64","345.10","342.20","21.96M","0.54%"
"Nov 18, 2021","341.27","338.18","342.45","337.12","22.46M","0.63%"
"Nov 17, 2021","339.12","338.94","342.19","338.00","18.21M","-0.11%"
"Nov 16, 2021","339.51","335.68","340.67","335.51","20.25M","1.02%"
"Nov 15, 2021","336.07","337.54","337.88","334.03","16.72M","-0.19%"
"Nov 12, 2021","336.72","333.92","337.23","333.79","23.83M","1.29%"
"Nov 11, 2021","332.43","331.25","333.77","330.51","14.62M","0.49%"
"Nov 10, 2021","330.80","334.57","334.63","329.92","25.41M","-1.53%"
"Nov 09, 2021","335.95","337.11","338.72","334.53","20.02M","-0.31%"
"Nov 08, 2021","336.99","337.30","337.65","334.44","20.37M","0.28%"
"Nov 05, 2021","336.06","338.51","338.79","334.42","22.57M","-0.11%"
"Nov 04, 2021","336.44","332.89","336.54","329.51","23.97M","0.73%"
"Nov 03, 2021","334.00","333.90","334.90","330.65","21.22M","0.26%"
"Nov 02, 2021","333.13","330.31","333.45","330.00","25.84M","1.14%"
"Nov 01, 2021","329.37","331.36","331.49","326.37","26.84M","-0.68%"
"Oct 29, 2021","331.62","324.13","332.00","323.90","34.77M","2.24%"
"Oct 28, 2021","324.35","324.33","324.87","321.36","25.76M","0.37%"
"Oct 27, 2021","323.17","316.00","326.10","316.00","52.39M","4.21%"
"Oct 26, 2021","310.11","311.00","312.39","308.60","26.32M","0.64%"
"Oct 25, 2021","308.13","309.36","309.40","306.46","16.98M","-0.33%"
"Oct 22, 2021","309.16","310.40","311.09","307.80","17.45M","-0.51%"
"Oct 21, 2021","310.76","307.17","311.02","306.36","16.64M","1.09%"
"Oct 20, 2021","307.41","309.21","309.70","306.11","16.44M","-0.27%"
"Oct 19, 2021","308.23","308.35","309.30","307.22","17.68M","0.31%"
"Oct 18, 2021","307.29","303.57","308.21","302.69","22.50M","1.01%"
"Oct 15, 2021","304.21","302.34","304.45","300.52","25.38M","0.48%"
"Oct 14, 2021","302.75","299.21","303.27","297.83","27.12M","2.17%"
"Oct 13, 2021","296.31","294.91","297.28","293.49","23.03M","1.17%"
"Oct 12, 2021","292.88","295.34","295.44","292.35","17.97M","-0.46%"
"Oct 11, 2021","294.23","292.92","297.97","292.74","19.27M","-0.21%"
"Oct 08, 2021","294.85","296.22","296.64","293.76","17.69M","0.00%"
"Oct 07, 2021","294.85","295.17","296.64","293.92","20.28M","0.59%"
"Oct 06, 2021","293.11","285.78","293.63","285.51","27.69M","1.51%"
"Oct 05, 2021","288.76","284.05","290.40","284.05","24.57M","2.00%"
"Oct 04, 2021","283.11","287.40","287.75","280.25","30.85M","-2.07%"
"Oct 01, 2021","289.10","282.12","289.98","281.29","30.09M","2.55%"
"Sep 30, 2021","281.92","285.71","287.83","281.62","32.21M","-0.73%"
"Sep 29, 2021","284.00","285.10","286.77","283.01","26.24M","0.17%"
"Sep 28, 2021","283.52","289.80","290.78","282.75","42.38M","-3.62%"
"Sep 27, 2021","294.17","296.14","296.47","292.94","23.38M","-1.73%"
"Sep 24, 2021","299.35","298.23","299.80","296.93","15.00M","-0.07%"
"Sep 23, 2021","299.56","298.85","300.90","297.53","18.17M","0.33%"
"Sep 22, 2021","298.58","296.73","300.22","294.51","26.63M","1.28%"
"Sep 21, 2021","294.80","295.69","297.54","294.07","21.53M","0.17%"
"Sep 20, 2021","294.30","296.33","298.72","289.52","37.75M","-1.86%"
"Sep 17, 2021","299.87","304.17","304.50","299.53","41.37M","-1.75%"
"Sep 16, 2021","305.22","303.76","305.31","300.76","19.04M","0.13%"
"Sep 15, 2021","304.82","303.26","305.32","301.82","27.69M","1.68%"
"Sep 14, 2021","299.79","299.56","301.39","298.10","21.36M","0.94%"
"Sep 13, 2021","296.99","297.55","298.54","294.08","22.41M","0.43%"
"Sep 10, 2021","295.71","298.42","299.92","295.38","19.63M","-0.52%"
"Sep 09, 2021","297.25","300.82","302.14","297.00","19.88M","-0.99%"
"Sep 08, 2021","300.21","299.78","300.61","297.47","14.96M","0.01%"
"Sep 07, 2021","300.18","301.01","301.09","298.20","16.89M","-0.32%"
"Sep 03, 2021","301.14","300.99","302.60","300.26","14.75M","-0.00%"
"Sep 02, 2021","301.15","302.20","303.36","300.18","16.26M","-0.23%"
"Sep 01, 2021","301.83","302.86","305.19","301.49","18.98M","-0.02%"
