"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","502.14","504.14","506.87","502.04","1.64M","-0.45%"
"Dec 30, 2021","504.43","507.93","509.23","503.65","1.27M","-0.23%"
"Dec 29, 2021","505.58","504.78","507.22","502.00","1.55M","0.52%"
"Dec 28, 2021","502.94","502.00","505.32","500.40","1.45M","0.69%"
"Dec 27, 2021","499.50","498.68","500.30","496.64","1.30M","0.83%"
"Dec 23, 2021","495.38","495.00","498.15","492.81","1.71M","0.25%"
"Dec 22, 2021","494.13","487.15","495.45","485.90","1.46M","1.42%"
"Dec 21, 2021","487.21","487.02","489.00","482.20","2.46M","0.72%"
"Dec 20, 2021","483.73","482.00","485.01","475.26","3.04M","-0.70%"
"Dec 17, 2021","487.12","491.42","493.13","486.38","5.72M","-1.16%"
"Dec 16, 2021","492.86","494.01","496.96","490.11","4.03M","-0.31%"
"Dec 15, 2021","494.38","480.60","495.40","480.14","4.07M","3.11%"
"Dec 14, 2021","479.46","479.75","483.04","477.18","2.78M","0.28%"
"Dec 13, 2021","478.14","477.02","480.26","474.01","2.50M","-0.02%"
"Dec 10, 2021","478.23","472.00","478.48","471.01","2.57M","1.04%"
"Dec 09, 2021","473.32","468.53","474.48","467.36","2.71M","0.95%"
"Dec 08, 2021","468.86","466.09","470.17","462.49","3.21M","0.89%"
"Dec 07, 2021","464.73","462.74","465.75","460.23","2.92M","1.00%"
"Dec 06, 2021","460.11","452.15","461.78","451.52","4.72M","2.40%"
"Dec 03, 2021","449.32","447.77","454.44","445.17","3.04M","0.74%"
"Dec 02, 2021","446.02","443.15","447.89","439.22","4.74M","0.38%"
"Dec 01, 2021","444.34","452.89","455.92","444.14","4.33M","0.03%"
"Nov 30, 2021","444.22","447.06","451.35","441.25","7.41M","-1.72%"
"Nov 29, 2021","452.00","443.56","453.08","440.55","3.93M","2.75%"
"Nov 26, 2021","439.91","444.92","448.18","438.21","2.48M","-2.28%"
"Nov 24, 2021","450.16","446.64","450.98","445.64","2.25M","0.68%"
"Nov 23, 2021","447.13","436.01","447.52","436.00","2.85M","2.19%"
"Nov 22, 2021","437.54","442.82","443.75","437.39","2.59M","-0.56%"
"Nov 19, 2021","440.00","448.13","449.45","439.50","3.54M","-2.11%"
"Nov 18, 2021","449.47","448.73","452.81","447.11","2.07M","0.12%"
"Nov 17, 2021","448.95","450.39","453.96","448.73","2.27M","-0.15%"
"Nov 16, 2021","449.62","452.99","458.35","449.37","3.26M","-0.26%"
"Nov 15, 2021","450.80","458.00","458.20","450.50","2.85M","-1.78%"
"Nov 12, 2021","458.99","460.67","461.00","457.08","2.61M","0.35%"
"Nov 11, 2021","457.39","460.00","460.85","455.44","2.24M","-0.55%"
"Nov 10, 2021","459.90","465.39","466.00","456.63","2.80M","-0.96%"
"Nov 09, 2021","464.35","462.62","464.47","460.29","2.65M","0.37%"
"Nov 08, 2021","462.62","456.85","464.19","454.31","2.11M","1.49%"
"Nov 05, 2021","455.81","457.83","461.52","454.58","2.90M","-0.21%"
"Nov 04, 2021","456.76","457.60","458.51","452.16","2.25M","-0.12%"
"Nov 03, 2021","457.33","450.42","457.52","447.04","2.42M","1.17%"
"Nov 02, 2021","452.04","456.26","456.44","450.38","2.60M","-0.46%"
"Nov 01, 2021","454.11","461.82","465.76","451.18","2.19M","-1.38%"
"Oct 29, 2021","460.47","454.41","461.39","453.06","2.50M","1.10%"
"Oct 28, 2021","455.44","453.00","457.90","452.52","1.67M","0.43%"
"Oct 27, 2021","453.48","454.64","460.44","453.48","3.51M","-0.26%"
"Oct 26, 2021","454.64","450.49","457.71","447.59","3.10M","1.15%"
"Oct 25, 2021","449.49","450.00","452.64","446.44","3.55M","0.07%"
"Oct 22, 2021","449.16","440.84","449.29","440.46","2.74M","1.56%"
"Oct 21, 2021","442.28","435.50","442.50","435.08","2.45M","1.65%"
"Oct 20, 2021","435.09","427.00","435.53","426.84","2.76M","2.52%"
"Oct 19, 2021","424.38","426.83","427.82","423.40","1.62M","-0.06%"
"Oct 18, 2021","424.62","428.00","428.00","423.84","2.23M","-0.81%"
"Oct 15, 2021","428.07","422.05","430.49","421.50","3.31M","1.83%"
"Oct 14, 2021","420.36","425.66","433.50","417.80","6.02M","4.17%"
"Oct 13, 2021","403.55","403.34","405.31","398.11","3.01M","0.08%"
"Oct 12, 2021","403.24","405.11","408.38","402.31","2.42M","-0.43%"
"Oct 11, 2021","404.99","408.00","411.21","404.21","2.16M","-0.85%"
"Oct 08, 2021","408.46","406.41","409.12","402.64","2.01M","0.93%"
"Oct 07, 2021","404.70","396.76","408.17","396.71","2.79M","2.65%"
"Oct 06, 2021","394.25","390.75","394.77","385.84","2.59M","0.21%"
"Oct 05, 2021","393.43","389.34","396.01","389.24","3.26M","1.66%"
"Oct 04, 2021","387.01","391.62","395.15","384.76","3.07M","-1.38%"
"Oct 01, 2021","392.43","391.60","393.69","383.12","3.15M","0.43%"
"Sep 30, 2021","390.74","401.49","403.49","390.46","3.75M","-2.42%"
