"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","7,143.0","7,134.5","7,163.0","7,128.5","11.53K","-0.30%"
"Dec 30, 2021","7,164.5","7,158.5","7,182.0","7,140.5","28.16K","0.17%"
"Dec 29, 2021","7,152.0","7,161.0","7,194.0","7,127.0","30.62K","-0.28%"
"Dec 28, 2021","7,172.0","7,147.5","7,178.5","7,128.0","24.56K","0.59%"
"Dec 27, 2021","7,130.0","7,075.0","7,157.0","7,049.0","26.38K","0.75%"
"Dec 24, 2021","7,077.0","7,090.0","7,108.0","7,075.5","4.71K","-0.26%"
"Dec 23, 2021","7,095.5","7,064.5","7,111.0","7,038.5","35.95K","0.77%"
"Dec 22, 2021","7,041.0","6,976.0","7,066.0","6,951.0","35.89K","1.25%"
"Dec 21, 2021","6,954.0","6,960.0","6,992.5","6,876.0","44.03K","1.39%"
"Dec 20, 2021","6,859.0","6,768.5","6,912.0","6,720.0","66.09K","-0.81%"
"Dec 17, 2021","6,915.3","6,956.0","7,011.0","6,898.0","3.25K","-1.27%"
"Dec 16, 2021","7,004.5","7,053.0","7,059.5","6,956.5","69.68K","1.12%"
"Dec 15, 2021","6,927.0","6,906.0","7,021.5","6,888.5","103.45K","0.47%"
"Dec 14, 2021","6,894.5","6,951.0","6,994.5","6,879.0","197.96K","-0.68%"
"Dec 13, 2021","6,942.0","7,020.5","7,028.5","6,925.0","134.53K","-0.65%"
"Dec 10, 2021","6,987.5","6,972.0","7,023.5","6,956.5","54.58K","-0.24%"
"Dec 09, 2021","7,004.5","7,025.0","7,042.5","6,979.0","62.56K","-0.09%"
"Dec 08, 2021","7,010.5","7,055.0","7,101.0","7,007.5","58.71K","-0.72%"
"Dec 07, 2021","7,061.0","6,911.0","7,075.5","6,911.0","64.35K","2.91%"
"Dec 06, 2021","6,861.5","6,809.0","6,885.5","6,771.5","69.48K","1.49%"
"Dec 03, 2021","6,761.0","6,843.5","6,869.0","6,721.5","64.90K","-0.43%"
"Dec 02, 2021","6,790.5","6,818.5","6,846.0","6,757.0","88.44K","-1.25%"
"Dec 01, 2021","6,876.5","6,789.5","6,898.0","6,720.0","89.02K","2.39%"
"Nov 30, 2021","6,716.0","6,652.0","6,778.0","6,640.5","114.02K","-0.76%"
"Nov 29, 2021","6,767.5","6,839.5","6,854.0","6,751.0","103.20K","0.54%"
"Nov 26, 2021","6,731.0","6,936.0","6,936.5","6,650.5","125.15K","-4.76%"
"Nov 25, 2021","7,067.5","7,073.0","7,083.0","7,038.5","27.63K","0.47%"
"Nov 24, 2021","7,034.5","7,070.0","7,081.5","6,975.0","66.31K","-0.02%"
"Nov 23, 2021","7,036.0","7,071.0","7,104.5","6,993.0","70.96K","-0.85%"
"Nov 22, 2021","7,096.5","7,112.0","7,134.0","7,073.5","54.88K","-0.23%"
"Nov 19, 2021","7,113.2","7,166.0","7,184.0","7,069.0","14.47K","-0.40%"
"Nov 18, 2021","7,142.0","7,161.5","7,182.0","7,135.5","71.28K","-0.20%"
"Nov 17, 2021","7,156.5","7,149.0","7,168.5","7,137.5","140.27K","0.06%"
"Nov 16, 2021","7,152.5","7,129.5","7,167.0","7,120.0","139.23K","0.36%"
"Nov 15, 2021","7,126.5","7,086.0","7,135.0","7,083.5","139.40K","0.52%"
"Nov 12, 2021","7,089.5","7,064.5","7,096.0","7,050.5","59.06K","0.45%"
"Nov 11, 2021","7,057.5","7,026.0","7,071.5","7,017.5","37.91K","0.20%"
"Nov 10, 2021","7,043.5","7,040.0","7,059.0","6,999.0","52.21K","0.04%"
"Nov 09, 2021","7,041.0","7,031.5","7,077.5","7,012.0","46.54K","-0.06%"
"Nov 08, 2021","7,045.0","7,032.0","7,065.0","7,029.5","36.47K","0.10%"
"Nov 05, 2021","7,038.0","6,985.5","7,061.0","6,974.0","50.96K","0.77%"
"Nov 04, 2021","6,984.5","6,986.0","6,997.0","6,958.5","49.70K","0.53%"
"Nov 03, 2021","6,947.5","6,920.0","6,983.0","6,911.0","51.43K","0.35%"
"Nov 02, 2021","6,923.0","6,885.0","6,929.5","6,875.0","41.04K","0.49%"
"Nov 01, 2021","6,889.5","6,857.5","6,906.5","6,855.5","44.92K","0.92%"
"Oct 29, 2021","6,826.5","6,776.0","6,857.5","6,744.0","64.39K","0.39%"
"Oct 28, 2021","6,800.0","6,753.0","6,801.5","6,739.5","49.89K","0.76%"
"Oct 27, 2021","6,748.5","6,761.0","6,767.0","6,726.0","39.14K","-0.20%"
"Oct 26, 2021","6,762.0","6,721.0","6,772.5","6,706.0","41.27K","0.80%"
"Oct 25, 2021","6,708.5","6,754.0","6,754.5","6,701.5","37.94K","-0.31%"
"Oct 22, 2021","6,729.5","6,722.0","6,762.0","6,711.0","48.19K","0.72%"
"Oct 21, 2021","6,681.5","6,681.0","6,713.0","6,653.0","38.69K","-0.28%"
"Oct 20, 2021","6,700.5","6,656.0","6,711.5","6,631.5","38.00K","0.53%"
"Oct 19, 2021","6,665.0","6,681.0","6,692.5","6,645.0","49.96K","-0.04%"
"Oct 18, 2021","6,668.0","6,723.0","6,723.5","6,636.0","52.56K","-1.04%"
"Oct 15, 2021","6,738.3","6,714.5","6,741.0","6,702.5","12.19K","0.80%"
"Oct 14, 2021","6,685.0","6,631.5","6,700.0","6,617.5","67.60K","1.34%"
"Oct 13, 2021","6,596.5","6,546.0","6,626.0","6,508.5","129.78K","0.75%"
"Oct 12, 2021","6,547.5","6,515.0","6,565.0","6,483.0","173.34K","-0.34%"
"Oct 11, 2021","6,570.0","6,571.0","6,583.0","6,521.0","129.60K","0.17%"
"Oct 08, 2021","6,559.0","6,580.0","6,616.5","6,544.5","65.48K","-0.61%"
"Oct 07, 2021","6,599.0","6,564.5","6,616.0","6,543.5","65.93K","1.66%"
"Oct 06, 2021","6,491.5","6,523.5","6,541.0","6,419.0","104.19K","-1.27%"
"Oct 05, 2021","6,575.0","6,489.0","6,580.0","6,473.0","53.69K","1.54%"
"Oct 04, 2021","6,475.5","6,506.0","6,540.0","6,449.5","66.79K","-0.62%"
"Oct 01, 2021","6,516.0","6,456.0","6,564.5","6,406.0","81.12K","-0.03%"
"Sep 30, 2021","6,518.0","6,597.0","6,621.0","6,488.0","81.04K","-0.63%"
"Sep 29, 2021","6,559.0","6,534.5","6,590.0","6,527.0","65.97K","0.85%"
"Sep 28, 2021","6,504.0","6,660.5","6,670.0","6,486.0","89.74K","-2.09%"
"Sep 27, 2021","6,642.5","6,679.0","6,691.5","6,631.0","46.04K","0.20%"
"Sep 24, 2021","6,629.0","6,686.0","6,696.5","6,614.5","54.59K","-0.95%"
"Sep 23, 2021","6,692.5","6,668.5","6,709.5","6,655.5","61.26K","0.99%"
"Sep 22, 2021","6,627.0","6,565.0","6,655.5","6,561.5","70.82K","1.31%"
"Sep 21, 2021","6,541.5","6,449.0","6,559.5","6,440.5","83.25K","1.57%"
"Sep 20, 2021","6,440.5","6,487.5","6,496.0","6,373.0","88.54K","-2.94%"
"Sep 17, 2021","6,635.7","6,672.0","6,695.0","6,597.0","5.49K","0.19%"
"Sep 16, 2021","6,623.0","6,607.5","6,668.5","6,607.5","67.28K","0.59%"
"Sep 15, 2021","6,584.0","6,654.0","6,662.0","6,576.0","118.17K","-1.04%"
"Sep 14, 2021","6,653.0","6,686.5","6,687.5","6,612.0","215.95K","-0.36%"
"Sep 13, 2021","6,677.0","6,658.0","6,722.5","6,656.5","166.29K","0.21%"
"Sep 10, 2021","6,663.0","6,700.5","6,722.0","6,637.0","104.35K","-0.32%"
"Sep 09, 2021","6,684.5","6,628.0","6,709.0","6,603.0","71.89K","0.24%"
"Sep 08, 2021","6,668.5","6,716.5","6,723.0","6,626.0","78.70K","-0.83%"
"Sep 07, 2021","6,724.5","6,741.0","6,749.0","6,702.5","46.44K","-0.27%"
"Sep 06, 2021","6,742.5","6,688.0","6,756.0","6,688.0","40.35K","0.82%"
"Sep 03, 2021","6,687.5","6,765.0","6,768.0","6,663.5","55.56K","-1.09%"
"Sep 02, 2021","6,761.0","6,753.0","6,777.0","6,743.0","41.05K","0.07%"
"Sep 01, 2021","6,756.0","6,708.5","6,783.5","6,708.5","61.17K","1.17%"
"Aug 31, 2021","6,678.0","6,700.5","6,706.5","6,647.5","63.55K","-0.10%"
"Aug 30, 2021","6,684.5","6,677.0","6,696.0","6,671.5","27.22K","0.08%"
"Aug 27, 2021","6,679.0","6,666.0","6,690.5","6,640.0","35.93K","0.24%"
"Aug 26, 2021","6,663.0","6,660.0","6,672.0","6,615.5","40.18K","-0.16%"
"Aug 25, 2021","6,674.0","6,661.5","6,682.0","6,657.0","35.50K","0.20%"
"Aug 24, 2021","6,661.0","6,706.0","6,721.5","6,630.5","47.90K","-0.28%"
"Aug 23, 2021","6,680.0","6,666.5","6,707.5","6,652.0","49.95K","0.90%"
"Aug 20, 2021","6,620.7","6,599.5","6,621.5","6,566.7","10.74K","0.21%"
"Aug 19, 2021","6,606.5","6,709.5","6,712.5","6,559.5","94.85K","-2.42%"
"Aug 18, 2021","6,770.5","6,844.5","6,844.5","6,736.0","124.68K","-0.73%"
"Aug 17, 2021","6,820.5","6,824.5","6,828.0","6,787.5","202.44K","-0.27%"
"Aug 16, 2021","6,839.0","6,862.5","6,866.5","6,816.5","104.80K","-0.83%"
"Aug 13, 2021","6,896.0","6,881.0","6,913.5","6,880.0","35.34K","0.20%"
"Aug 12, 2021","6,882.0","6,856.5","6,894.5","6,850.0","38.71K","0.36%"
"Aug 11, 2021","6,857.0","6,825.0","6,869.5","6,820.0","42.87K","0.55%"
"Aug 10, 2021","6,819.5","6,814.5","6,835.5","6,810.0","39.54K","0.10%"
"Aug 09, 2021","6,812.5","6,810.0","6,833.5","6,801.5","30.72K","-0.07%"
"Aug 06, 2021","6,817.0","6,770.5","6,833.5","6,761.0","67.80K","0.55%"
"Aug 05, 2021","6,780.0","6,741.0","6,788.0","6,735.5","42.44K","0.52%"
"Aug 04, 2021","6,745.0","6,746.0","6,766.0","6,729.0","46.64K","0.34%"
