"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","4,947.40","4,960.00","4,973.40","4,931.40","50.67K","0.15%"
"Dec 30, 2021","4,939.80","4,905.00","4,964.00","4,899.20","63.94K","0.61%"
"Dec 29, 2021","4,910.00","4,979.80","4,981.60","4,900.20","63.53K","-1.37%"
"Dec 28, 2021","4,978.40","4,950.80","4,993.80","4,940.00","62.37K","0.88%"
"Dec 27, 2021","4,935.00","4,938.00","4,963.60","4,912.20","52.84K","-0.02%"
"Dec 24, 2021","4,936.00","4,967.00","4,975.80","4,915.80","54.74K","-0.48%"
"Dec 23, 2021","4,959.80","4,934.00","4,968.80","4,916.00","59.85K","0.71%"
"Dec 22, 2021","4,925.00","4,934.80","4,948.40","4,910.60","48.90K","-0.08%"
"Dec 21, 2021","4,929.00","4,907.60","4,942.20","4,898.00","58.56K","0.46%"
"Dec 20, 2021","4,906.20","4,961.40","4,997.20","4,895.20","73.86K","-1.18%"
"Dec 17, 2021","4,964.80","5,025.00","5,030.00","4,961.40","23.05K","-1.26%"
"Dec 16, 2021","5,028.20","5,013.80","5,035.80","4,996.00","46.82K","0.21%"
"Dec 15, 2021","5,017.60","5,048.20","5,069.20","5,005.60","55.51K","-0.81%"
"Dec 14, 2021","5,058.40","5,067.20","5,089.80","5,047.40","56.58K","-0.61%"
"Dec 13, 2021","5,089.20","5,120.00","5,161.60","5,080.20","79.35K","0.44%"
"Dec 10, 2021","5,067.00","5,068.20","5,084.60","5,057.20","63.89K","-0.67%"
"Dec 09, 2021","5,101.40","5,010.00","5,137.80","5,004.20","92.89K","2.06%"
"Dec 08, 2021","4,998.40","4,932.00","5,008.60","4,915.80","76.84K","1.66%"
"Dec 07, 2021","4,917.00","4,932.20","4,935.60","4,901.00","64.19K","0.24%"
"Dec 06, 2021","4,905.40","4,918.00","4,942.00","4,892.20","63.23K","0.14%"
"Dec 03, 2021","4,898.40","4,858.80","4,907.00","4,849.80","69.22K","0.82%"
"Dec 02, 2021","4,858.60","4,844.60","4,873.20","4,826.20","57.76K","0.22%"
"Dec 01, 2021","4,847.80","4,842.20","4,856.20","4,828.80","50.08K","0.49%"
"Nov 30, 2021","4,824.00","4,865.60","4,872.20","4,806.40","64.39K","-0.46%"
"Nov 29, 2021","4,846.40","4,827.60","4,863.80","4,822.00","62.35K","-0.23%"
"Nov 26, 2021","4,857.60","4,881.60","4,886.80","4,845.00","54.97K","-0.81%"
"Nov 25, 2021","4,897.40","4,916.40","4,921.00","4,886.60","50.80K","-0.47%"
"Nov 24, 2021","4,920.60","4,912.40","4,943.60","4,894.20","63.31K","0.26%"
"Nov 23, 2021","4,907.60","4,899.00","4,928.00","4,890.20","50.62K","-0.02%"
"Nov 22, 2021","4,908.60","4,904.60","4,922.00","4,892.20","59.15K","0.73%"
"Nov 19, 2021","4,873.20","4,831.00","4,874.60","4,826.00","16.57K","0.73%"
"Nov 18, 2021","4,837.80","4,867.80","4,869.60","4,821.80","35.02K","-0.85%"
"Nov 17, 2021","4,879.40","4,881.80","4,900.20","4,863.60","41.58K","-0.14%"
"Nov 16, 2021","4,886.40","4,894.00","4,924.80","4,875.60","52.57K","-0.06%"
"Nov 15, 2021","4,889.20","4,906.80","4,920.00","4,868.00","47.03K","-0.09%"
"Nov 12, 2021","4,893.60","4,910.00","4,916.80","4,876.60","48.16K","-0.00%"
"Nov 11, 2021","4,893.80","4,804.00","4,904.20","4,803.20","69.66K","1.91%"
"Nov 10, 2021","4,802.20","4,832.20","4,833.00","4,742.40","71.45K","-0.86%"
"Nov 09, 2021","4,843.80","4,866.00","4,880.80","4,816.20","56.81K","-0.13%"
"Nov 08, 2021","4,850.00","4,850.60","4,876.80","4,828.00","51.76K","-0.19%"
"Nov 05, 2021","4,859.20","4,853.00","4,896.00","4,847.80","55.63K","-0.10%"
"Nov 04, 2021","4,864.20","4,844.40","4,881.40","4,836.20","53.83K","0.83%"
"Nov 03, 2021","4,824.00","4,840.00","4,865.80","4,804.20","58.60K","-0.12%"
"Nov 02, 2021","4,829.80","4,895.40","4,923.60","4,798.40","76.92K","-1.34%"
"Nov 01, 2021","4,895.40","4,885.00","4,915.80","4,862.00","52.43K","-0.22%"
"Oct 29, 2021","4,906.40","4,876.60","4,912.40","4,863.40","57.58K","0.79%"
"Oct 28, 2021","4,868.00","4,876.00","4,899.00","4,851.60","60.33K","-0.29%"
"Oct 27, 2021","4,882.20","4,931.60","4,934.80","4,868.80","65.79K","-1.47%"
"Oct 26, 2021","4,955.20","4,986.40","5,013.60","4,942.80","61.09K","-0.44%"
"Oct 25, 2021","4,977.00","4,938.00","4,987.80","4,933.20","58.55K","0.27%"
"Oct 22, 2021","4,963.60","4,940.00","4,999.80","4,933.00","71.50K","1.05%"
"Oct 21, 2021","4,912.00","4,908.00","4,948.60","4,879.00","69.86K","0.21%"
"Oct 20, 2021","4,901.60","4,920.00","4,945.20","4,889.00","56.12K","-0.19%"
"Oct 19, 2021","4,910.80","4,866.20","4,922.80","4,862.20","55.59K","1.23%"
"Oct 18, 2021","4,851.20","4,920.00","4,923.20","4,824.00","71.73K","-1.63%"
"Oct 15, 2021","4,931.50","4,896.00","4,934.20","4,882.20","21.80K","0.34%"
"Oct 14, 2021","4,914.60","4,935.80","4,958.60","4,897.40","47.25K","-0.49%"
"Oct 13, 2021","4,938.80","4,870.40","4,956.80","4,868.40","63.38K","1.55%"
"Oct 12, 2021","4,863.40","4,915.60","4,927.60","4,838.20","75.33K","-1.54%"
"Oct 11, 2021","4,939.60","4,943.20","4,990.00","4,926.20","63.15K","0.13%"
"Oct 08, 2021","4,933.40","4,900.00","4,943.60","4,894.80","75.37K","1.38%"
"Sep 30, 2021","4,866.20","4,850.40","4,879.40","4,845.80","57.33K","0.22%"
"Sep 29, 2021","4,855.60","4,850.00","4,877.80","4,797.80","92.02K","-0.50%"
"Sep 28, 2021","4,880.00","4,874.00","4,909.60","4,851.00","72.04K","-0.04%"
"Sep 27, 2021","4,882.00","4,879.80","4,927.20","4,843.60","98.40K","0.47%"
"Sep 24, 2021","4,859.20","4,831.00","4,900.00","4,831.00","80.69K","0.51%"
"Sep 23, 2021","4,834.60","4,838.00","4,878.20","4,821.40","70.54K","0.47%"
"Sep 22, 2021","4,811.80","4,777.80","4,834.00","4,767.40","79.21K","-0.56%"
"Sep 17, 2021","4,838.70","4,810.00","4,843.20","4,794.40","26.00K","0.39%"
"Sep 16, 2021","4,820.00","4,873.80","4,886.60","4,805.60","61.24K","-0.81%"
"Sep 15, 2021","4,859.40","4,909.80","4,909.80","4,839.20","76.97K","-1.19%"
"Sep 14, 2021","4,917.80","4,989.20","5,008.60","4,898.60","92.84K","-1.27%"
"Sep 13, 2021","4,981.00","5,004.80","5,036.00","4,955.80","82.60K","-0.80%"
