"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2021","15,856.0","15,832.0","15,917.0","15,802.0","36.70K","0.15%"
"Dec 29, 2021","15,833.0","15,960.0","15,960.0","15,787.0","41.99K","-0.80%"
"Dec 28, 2021","15,961.0","15,864.0","15,965.0","15,818.0","41.55K","0.79%"
"Dec 27, 2021","15,836.0","15,747.0","15,885.0","15,652.0","37.94K","0.61%"
"Dec 23, 2021","15,740.0","15,616.0","15,764.0","15,590.0","43.19K","1.22%"
"Dec 22, 2021","15,550.0","15,499.0","15,626.0","15,409.0","46.32K","0.82%"
"Dec 21, 2021","15,423.0","15,361.0","15,501.0","15,288.0","57.06K","1.33%"
"Dec 20, 2021","15,220.0","15,354.0","15,413.0","15,046.0","80.51K","-2.00%"
"Dec 17, 2021","15,531.0","15,581.0","15,611.0","15,487.0","5.32K","-0.70%"
"Dec 16, 2021","15,641.0","15,634.0","15,780.0","15,471.0","64.92K","0.99%"
"Dec 15, 2021","15,488.0","15,536.0","15,639.0","15,447.0","64.71K","0.05%"
"Dec 14, 2021","15,480.0","15,626.0","15,697.0","15,426.0","98.81K","-0.83%"
"Dec 13, 2021","15,610.0","15,674.0","15,795.0","15,586.0","71.54K","-0.12%"
"Dec 10, 2021","15,628.0","15,627.0","15,688.0","15,526.0","54.91K","-0.06%"
"Dec 09, 2021","15,638.0","15,701.0","15,755.0","15,598.0","53.08K","-0.32%"
"Dec 08, 2021","15,688.0","15,783.0","15,840.0","15,676.0","66.42K","-0.82%"
"Dec 07, 2021","15,817.0","15,401.0","15,842.0","15,369.0","74.64K","2.73%"
"Dec 06, 2021","15,396.0","15,199.0","15,417.0","15,144.0","75.29K","1.81%"
"Dec 03, 2021","15,123.0","15,276.0","15,433.0","15,080.0","92.53K","-0.95%"
"Dec 02, 2021","15,268.0","15,242.0","15,393.0","15,166.0","96.41K","-1.31%"
"Dec 01, 2021","15,470.0","15,169.0","15,506.0","15,106.0","98.43K","2.16%"
"Nov 30, 2021","15,143.0","15,350.0","15,424.0","14,909.0","126.51K","-0.86%"
"Nov 29, 2021","15,275.0","15,349.0","15,459.0","15,231.0","102.45K","0.21%"
"Nov 26, 2021","15,243.0","15,848.0","15,848.0","15,021.0","161.28K","-4.18%"
"Nov 25, 2021","15,908.0","15,912.0","15,964.0","15,859.0","44.23K","0.08%"
"Nov 24, 2021","15,895.0","15,995.0","16,024.0","15,735.0","92.99K","-0.43%"
"Nov 23, 2021","15,963.0","16,073.0","16,092.0","15,860.0","93.78K","-1.02%"
"Nov 22, 2021","16,128.0","16,169.0","16,199.0","16,054.0","62.67K","-0.26%"
"Nov 19, 2021","16,170.0","16,245.0","16,295.0","16,087.0","96.31K","-0.28%"
"Nov 18, 2021","16,215.0","16,257.0","16,285.0","16,187.0","57.32K","-0.20%"
"Nov 17, 2021","16,247.0","16,239.0","16,279.0","16,205.0","41.87K","0.01%"
"Nov 16, 2021","16,246.0","16,130.0","16,261.0","16,112.0","60.33K","0.71%"
"Nov 15, 2021","16,132.0","16,100.0","16,146.0","16,063.0","45.76K","0.23%"
"Nov 12, 2021","16,095.0","16,099.0","16,120.0","16,059.0","42.41K","0.12%"
"Nov 11, 2021","16,075.0","16,021.0","16,110.0","15,993.0","49.90K","0.12%"
"Nov 10, 2021","16,056.0","16,016.0","16,070.0","15,977.0","62.82K","0.18%"
"Nov 09, 2021","16,027.0","16,015.0","16,098.0","15,986.0","58.68K","-0.08%"
"Nov 08, 2021","16,040.0","16,027.0","16,061.0","16,000.0","42.24K","0.05%"
"Nov 05, 2021","16,032.0","16,018.0","16,078.0","15,982.0","56.39K","0.05%"
"Nov 04, 2021","16,024.0","16,024.0","16,055.0","15,985.0","56.46K","0.49%"
"Nov 03, 2021","15,946.0","15,938.0","16,021.0","15,909.0","51.80K","0.05%"
"Nov 02, 2021","15,938.0","15,804.0","15,950.0","15,760.0","61.05K","0.82%"
"Nov 01, 2021","15,808.0","15,735.0","15,838.0","15,716.0","57.07K","0.92%"
"Oct 29, 2021","15,664.0","15,645.0","15,715.0","15,483.0","89.03K","-0.03%"
"Oct 28, 2021","15,669.0","15,694.0","15,704.0","15,614.0","62.99K","-0.11%"
"Oct 27, 2021","15,687.0","15,740.0","15,740.0","15,654.0","64.39K","-0.47%"
"Oct 26, 2021","15,761.0","15,635.0","15,768.0","15,619.0","68.44K","1.03%"
"Oct 25, 2021","15,600.0","15,536.0","15,624.0","15,513.0","51.46K","0.39%"
"Oct 22, 2021","15,539.0","15,476.0","15,598.0","15,468.0","64.14K","0.49%"
"Oct 21, 2021","15,463.0","15,480.0","15,517.0","15,380.0","53.84K","-0.29%"
"Oct 20, 2021","15,508.0","15,503.0","15,556.0","15,445.0","54.54K","0.01%"
"Oct 19, 2021","15,506.0","15,489.0","15,512.0","15,438.0","49.23K","0.25%"
"Oct 18, 2021","15,467.0","15,559.0","15,580.0","15,401.0","65.34K","-0.66%"
"Oct 15, 2021","15,569.0","15,483.0","15,598.0","15,447.0","61.39K","0.82%"
"Oct 14, 2021","15,442.0","15,286.0","15,485.0","15,280.0","65.36K","1.36%"
"Oct 13, 2021","15,235.0","15,126.0","15,287.0","15,092.0","68.28K","0.70%"
"Oct 12, 2021","15,129.0","15,085.0","15,164.0","14,992.0","68.40K","-0.27%"
"Oct 11, 2021","15,170.0","15,139.0","15,224.0","15,076.0","54.64K","-0.20%"
"Oct 08, 2021","15,201.0","15,214.0","15,253.0","15,166.0","51.62K","-0.18%"
"Oct 07, 2021","15,228.0","15,070.0","15,246.0","15,070.0","63.73K","1.91%"
"Oct 06, 2021","14,943.0","15,145.0","15,177.0","14,795.0","118.53K","-1.57%"
"Oct 05, 2021","15,181.0","15,065.0","15,190.0","14,975.0","65.02K","1.04%"
"Oct 04, 2021","15,025.0","15,250.0","15,250.0","14,995.0","84.21K","-0.58%"
"Oct 01, 2021","15,113.0","15,249.0","15,254.0","14,962.0","97.40K","-1.14%"
"Sep 30, 2021","15,288.0","15,369.0","15,456.0","15,185.0","80.59K","-0.33%"
"Sep 29, 2021","15,339.0","15,293.0","15,406.0","15,220.0","70.83K","0.62%"
"Sep 28, 2021","15,245.0","15,570.0","15,608.0","15,207.0","103.79K","-2.04%"
"Sep 27, 2021","15,563.0","15,536.0","15,699.0","15,531.0","57.92K","0.40%"
"Sep 24, 2021","15,501.0","15,672.0","15,749.0","15,473.0","63.60K","-0.80%"
"Sep 23, 2021","15,626.0","15,528.0","15,677.0","15,521.0","70.67K","1.00%"
"Sep 22, 2021","15,471.0","15,248.0","15,530.0","15,231.0","73.46K","1.16%"
"Sep 21, 2021","15,294.0","15,150.0","15,375.0","15,107.0","91.06K","1.28%"
"Sep 20, 2021","15,100.0","15,466.0","15,493.0","14,998.0","124.55K","-3.44%"
"Sep 17, 2021","15,637.2","15,711.0","15,786.0","15,579.0","4.29K","-0.15%"
"Sep 16, 2021","15,660.0","15,686.0","15,746.0","15,637.0","55.26K","0.17%"
"Sep 15, 2021","15,634.0","15,717.0","15,791.0","15,612.0","82.94K","-0.54%"
"Sep 14, 2021","15,719.0","15,728.0","15,763.0","15,660.0","89.10K","0.12%"
"Sep 13, 2021","15,700.0","15,605.0","15,787.0","15,554.0","86.17K","0.63%"
"Sep 10, 2021","15,602.0","15,588.0","15,702.0","15,546.0","67.39K","-0.15%"
"Sep 09, 2021","15,626.0","15,604.0","15,693.0","15,448.0","84.77K","0.03%"
"Sep 08, 2021","15,622.0","15,815.0","15,847.0","15,586.0","121.04K","-1.39%"
"Sep 07, 2021","15,842.0","15,910.0","15,927.0","15,814.0","69.06K","-0.53%"
"Sep 06, 2021","15,926.0","15,742.0","15,958.0","15,724.0","56.30K","0.94%"
"Sep 03, 2021","15,778.0","15,819.0","15,868.0","15,682.0","72.12K","-0.35%"
"Sep 02, 2021","15,833.0","15,814.0","15,873.0","15,762.0","53.68K","0.12%"
"Sep 01, 2021","15,814.0","15,839.0","15,977.0","15,767.0","85.07K","0.09%"
"Aug 31, 2021","15,800.0","15,868.0","16,005.0","15,755.0","89.97K","-0.54%"
"Aug 30, 2021","15,886.0","15,855.0","15,894.0","15,812.0","36.81K","0.32%"
"Aug 27, 2021","15,835.0","15,739.0","15,870.0","15,722.0","47.63K","0.24%"
"Aug 26, 2021","15,797.0","15,837.0","15,837.0","15,690.0","63.49K","-0.35%"
"Aug 25, 2021","15,852.0","15,903.0","15,929.0","15,833.0","43.59K","-0.30%"
"Aug 24, 2021","15,900.0","15,863.0","15,922.0","15,847.0","47.12K","0.25%"
"Aug 23, 2021","15,861.0","15,830.0","15,935.0","15,790.0","60.32K","0.48%"
"Aug 20, 2021","15,786.0","15,788.0","15,824.0","15,646.0","67.78K","0.26%"
"Aug 19, 2021","15,745.0","15,880.0","15,893.0","15,615.0","105.89K","-1.32%"
"Aug 18, 2021","15,956.0","15,881.0","15,970.0","15,863.0","55.51K","0.31%"
"Aug 17, 2021","15,907.0","15,936.0","15,936.0","15,800.0","63.71K","0.11%"
"Aug 16, 2021","15,890.0","15,928.0","15,957.0","15,841.0","59.90K","-0.49%"
"Aug 13, 2021","15,969.0","15,942.0","16,024.0","15,920.0","50.41K","0.20%"
"Aug 12, 2021","15,937.0","15,850.0","15,967.0","15,804.0","59.61K","0.79%"
"Aug 11, 2021","15,812.0","15,775.0","15,880.0","15,713.0","61.54K","0.29%"
"Aug 10, 2021","15,767.0","15,744.0","15,791.0","15,709.0","43.50K","0.11%"
"Aug 09, 2021","15,750.0","15,718.0","15,788.0","15,685.0","47.07K","-0.02%"
"Aug 06, 2021","15,753.0","15,740.0","15,795.0","15,712.0","50.83K","0.10%"
"Aug 05, 2021","15,737.0","15,683.0","15,746.0","15,648.0","54.18K","0.41%"
"Aug 04, 2021","15,673.0","15,546.0","15,702.0","15,542.0","72.87K","0.83%"
"Aug 03, 2021","15,544.0","15,537.0","15,596.0","15,481.0","61.39K","-0.22%"
"Aug 02, 2021","15,578.0","15,592.0","15,695.0","15,499.0","73.59K","0.19%"
"Jul 30, 2021","15,549.0","15,562.0","15,601.0","15,426.0","69.68K","-0.48%"
"Jul 29, 2021","15,624.0","15,534.0","15,650.0","15,496.0","53.25K","0.40%"
"Jul 28, 2021","15,561.0","15,541.0","15,577.0","15,474.0","57.30K","0.29%"
"Jul 27, 2021","15,516.0","15,614.0","15,624.0","15,407.0","73.74K","-0.53%"
