"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","7,324.0","7,316.0","7,347.5","7,297.0","24.47K","-0.33%"
"Dec 30, 2021","7,348.5","7,350.0","7,377.0","7,325.0","50.82K","-0.23%"
"Dec 29, 2021","7,365.5","7,402.5","7,402.5","7,346.0","76.20K","0.42%"
"Dec 24, 2021","7,335.0","7,320.0","7,348.0","7,276.5","9.13K","0.14%"
"Dec 23, 2021","7,325.0","7,289.0","7,329.0","7,272.5","70.46K","0.86%"
"Dec 22, 2021","7,262.5","7,228.0","7,300.5","7,209.5","62.85K","0.49%"
"Dec 21, 2021","7,227.0","7,188.5","7,256.0","7,176.5","73.89K","1.32%"
"Dec 20, 2021","7,133.0","7,143.5","7,181.5","7,036.5","98.29K","-1.81%"
"Dec 17, 2021","7,264.5","7,257.0","7,285.0","7,232.5","2.17K","-0.06%"
"Dec 16, 2021","7,268.5","7,238.0","7,277.0","7,212.5","119.02K","1.28%"
"Dec 15, 2021","7,176.5","7,230.0","7,237.5","7,165.5","193.36K","-0.67%"
"Dec 14, 2021","7,225.0","7,258.5","7,286.5","7,207.5","348.72K","-0.16%"
"Dec 13, 2021","7,236.5","7,314.0","7,329.5","7,225.0","387.82K","-0.82%"
"Dec 10, 2021","7,296.0","7,304.0","7,333.0","7,280.5","168.43K","-0.33%"
"Dec 09, 2021","7,320.5","7,347.5","7,374.5","7,299.0","126.22K","-0.23%"
"Dec 08, 2021","7,337.5","7,348.0","7,380.5","7,324.5","99.70K","-0.09%"
"Dec 07, 2021","7,344.0","7,226.5","7,348.5","7,218.0","97.00K","1.39%"
"Dec 06, 2021","7,243.0","7,147.5","7,248.5","7,141.5","86.18K","1.87%"
"Dec 03, 2021","7,110.0","7,130.0","7,196.0","7,089.5","94.34K","-0.28%"
"Dec 02, 2021","7,130.0","7,063.5","7,164.0","7,060.0","109.89K","-0.54%"
"Dec 01, 2021","7,169.0","7,058.5","7,180.5","7,038.0","114.87K","1.26%"
"Nov 30, 2021","7,079.5","7,166.0","7,171.5","6,968.0","202.87K","-0.50%"
"Nov 29, 2021","7,115.0","7,129.0","7,157.5","7,079.0","128.17K","1.07%"
"Nov 26, 2021","7,039.5","7,254.5","7,267.0","6,990.0","182.03K","-3.67%"
"Nov 25, 2021","7,308.0","7,303.5","7,310.0","7,284.5","41.46K","0.34%"
"Nov 24, 2021","7,283.0","7,280.0","7,298.5","7,234.5","79.87K","0.25%"
"Nov 23, 2021","7,265.0","7,226.0","7,284.0","7,193.0","87.72K","0.13%"
"Nov 22, 2021","7,255.5","7,221.5","7,263.5","7,198.0","76.93K","0.52%"
"Nov 19, 2021","7,218.0","7,262.5","7,288.0","7,188.5","102.16K","-0.40%"
"Nov 18, 2021","7,247.0","7,282.0","7,282.0","7,231.0","78.28K","-0.44%"
"Nov 17, 2021","7,279.0","7,310.0","7,310.0","7,263.5","77.79K","-0.57%"
"Nov 16, 2021","7,321.0","7,334.5","7,357.0","7,307.5","82.33K","-0.14%"
"Nov 15, 2021","7,331.0","7,337.0","7,352.0","7,317.5","70.20K","-0.05%"
"Nov 12, 2021","7,334.5","7,386.0","7,388.5","7,324.5","88.94K","-0.53%"
