"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","28,865.0","28,790.0","28,985.0","28,702.5","-","0.30%"
"Dec 30, 2021","28,780.0","28,850.0","28,900.0","28,550.0","33.11K","-0.17%"
"Dec 29, 2021","28,830.0","28,920.0","29,080.0","28,700.0","33.95K","-0.38%"
"Dec 28, 2021","28,940.0","28,660.0","29,070.0","28,630.0","33.49K","1.01%"
"Dec 27, 2021","28,650.0","28,730.0","28,750.0","28,600.0","13.02K","-0.21%"
"Dec 24, 2021","28,710.0","28,700.0","28,880.0","28,660.0","18.02K","0.00%"
"Dec 23, 2021","28,710.0","28,460.0","28,750.0","28,390.0","23.57K","0.95%"
"Dec 22, 2021","28,440.0","28,520.0","28,660.0","28,360.0","33.48K","-0.21%"
"Dec 21, 2021","28,500.0","27,790.0","28,520.0","27,780.0","58.93K","2.15%"
"Dec 20, 2021","27,900.0","28,540.0","28,630.0","27,830.0","72.15K","-2.17%"
"Dec 17, 2021","28,520.0","29,090.0","29,150.0","28,440.0","52.49K","-1.66%"
"Dec 16, 2021","29,000.0","28,420.0","29,030.0","28,390.0","48.48K","1.86%"
"Dec 15, 2021","28,470.0","28,420.0","28,470.0","28,110.0","32.34K","0.46%"
"Dec 14, 2021","28,340.0","28,610.0","28,670.0","28,230.0","35.86K","-1.08%"
"Dec 13, 2021","28,650.0","28,380.0","28,740.0","28,370.0","33.58K","0.95%"
"Dec 10, 2021","28,380.0","28,690.0","28,710.0","28,320.0","38.09K","-1.29%"
"Dec 09, 2021","28,750.0","28,840.0","28,930.0","28,740.0","16.94K","-0.48%"
"Dec 08, 2021","28,890.0","28,540.0","28,920.0","28,530.0","36.99K","1.30%"
"Dec 07, 2021","28,520.0","27,840.0","28,610.0","27,700.0","59.21K","2.41%"
"Dec 06, 2021","27,850.0","28,060.0","28,180.0","27,590.0","59.69K","-0.78%"
"Dec 03, 2021","28,070.0","27,750.0","28,070.0","27,510.0","67.69K","1.15%"
"Dec 02, 2021","27,750.0","28,120.0","28,230.0","27,450.0","71.12K","-1.53%"
"Dec 01, 2021","28,180.0","27,610.0","28,180.0","27,380.0","97.52K","2.58%"
"Nov 30, 2021","27,470.0","28,330.0","28,720.0","27,470.0","85.50K","-2.66%"
"Nov 29, 2021","28,220.0","28,560.0","28,790.0","27,510.0","106.16K","-1.98%"
"Nov 26, 2021","28,790.0","29,520.0","29,520.0","28,600.0","62.32K","-2.47%"
"Nov 25, 2021","29,520.0","29,370.0","29,580.0","29,220.0","30.90K","0.51%"
"Nov 24, 2021","29,370.0","29,820.0","29,920.0","29,200.0","48.64K","-0.96%"
"Nov 23, 2021","29,655.0","29,690.0","29,788.0","29,507.5","-","-0.45%"
"Nov 22, 2021","29,790.0","29,750.0","29,820.0","29,470.0","32.32K","0.03%"
"Nov 19, 2021","29,780.0","29,590.0","29,780.0","29,430.0","29.36K","0.71%"
"Nov 18, 2021","29,570.0","29,700.0","29,740.0","29,380.0","38.51K","-0.40%"
"Nov 17, 2021","29,690.0","29,790.0","29,920.0","29,620.0","27.68K","-0.27%"
"Nov 16, 2021","29,770.0","29,730.0","29,970.0","29,640.0","27.83K","0.13%"
"Nov 15, 2021","29,730.0","29,640.0","29,850.0","29,570.0","27.37K","0.44%"
"Nov 12, 2021","29,600.0","29,360.0","29,660.0","29,290.0","36.81K","1.02%"
"Nov 11, 2021","29,300.0","29,250.0","29,380.0","28,970.0","38.90K","0.65%"
"Nov 10, 2021","29,110.0","29,330.0","29,420.0","29,070.0","38.57K","-0.65%"
"Nov 09, 2021","29,300.0","29,500.0","29,800.0","29,230.0","41.04K","-0.64%"
"Nov 08, 2021","29,490.0","29,550.0","29,840.0","29,490.0","31.61K","-0.44%"
"Nov 05, 2021","29,620.0","29,830.0","29,860.0","29,500.0","33.49K","-0.67%"
"Nov 04, 2021","29,820.0","29,500.0","29,950.0","29,410.0","31.07K","-0.38%"
"Nov 03, 2021","29,933.0","29,475.0","29,952.5","29,412.5","-","1.47%"
"Nov 02, 2021","29,500.0","29,580.0","29,660.0","29,390.0","34.44K","-0.17%"
"Nov 01, 2021","29,550.0","28,810.0","29,670.0","28,690.0","58.08K","2.68%"
"Oct 29, 2021","28,780.0","28,790.0","29,030.0","28,470.0","49.74K","0.07%"
"Oct 28, 2021","28,760.0","29,010.0","29,020.0","28,640.0","42.83K","-0.83%"
"Oct 27, 2021","29,000.0","29,130.0","29,250.0","28,860.0","34.91K","-0.45%"
"Oct 26, 2021","29,130.0","28,640.0","29,170.0","28,590.0","37.53K","1.78%"
"Oct 25, 2021","28,620.0","28,910.0","28,940.0","28,370.0","42.73K","-0.87%"
"Oct 22, 2021","28,870.0","28,730.0","28,990.0","28,420.0","63.98K","0.49%"
"Oct 21, 2021","28,730.0","29,320.0","29,350.0","28,680.0","52.97K","-1.88%"
"Oct 20, 2021","29,280.0","29,240.0","29,490.0","29,210.0","40.04K","0.07%"
"Oct 19, 2021","29,260.0","28,920.0","29,280.0","28,860.0","38.59K","1.21%"
"Oct 18, 2021","28,910.0","29,100.0","29,260.0","28,910.0","38.27K","-0.72%"
"Oct 15, 2021","29,120.0","28,620.0","29,150.0","28,590.0","45.82K","1.93%"
"Oct 14, 2021","28,570.0","28,120.0","28,590.0","28,070.0","46.38K","1.53%"
"Oct 13, 2021","28,140.0","28,070.0","28,380.0","27,990.0","47.30K","0.18%"
"Oct 12, 2021","28,090.0","28,520.0","28,780.0","28,090.0","48.99K","-1.44%"
"Oct 11, 2021","28,500.0","28,080.0","28,600.0","27,900.0","54.07K","1.35%"
"Oct 08, 2021","28,120.0","27,770.0","28,330.0","27,760.0","63.76K","1.08%"
"Oct 07, 2021","27,820.0","27,260.0","28,040.0","26,980.0","101.71K","1.50%"
"Oct 06, 2021","27,410.0","27,800.0","28,290.0","27,180.0","103.69K","-1.19%"
"Oct 05, 2021","27,740.0","28,220.0","28,400.0","27,450.0","109.93K","-1.74%"
"Oct 04, 2021","28,230.0","28,830.0","29,140.0","28,230.0","90.55K","-2.05%"
"Oct 01, 2021","28,820.0","29,660.0","29,740.0","28,680.0","97.18K","-2.17%"
"Sep 30, 2021","29,460.0","29,680.0","29,850.0","29,300.0","67.98K","-0.54%"
"Sep 29, 2021","29,620.0","29,760.0","29,850.0","29,330.0","86.64K","-1.00%"
"Sep 28, 2021","29,920.0","30,050.0","30,100.0","29,830.0","41.23K","-0.53%"
"Sep 27, 2021","30,080.0","30,030.0","30,230.0","29,880.0","40.14K","-0.23%"
"Sep 24, 2021","30,150.0","29,650.0","30,150.0","29,540.0","50.33K","0.32%"
"Sep 23, 2021","30,055.0","29,885.0","30,167.5","29,858.0","-","1.81%"
"Sep 22, 2021","29,520.0","29,810.0","30,020.0","29,390.0","61.49K","-0.81%"
"Sep 21, 2021","29,760.0","29,630.0","29,870.0","29,600.0","37.92K","0.17%"
"Sep 20, 2021","29,710.0","30,163.0","30,195.0","29,252.5","-","-1.48%"
"Sep 19, 2021","30,155.0","30,097.5","30,158.0","30,032.5","-","-0.64%"
"Sep 17, 2021","30,350.0","30,230.0","30,360.0","30,110.0","36.81K","0.50%"
"Sep 16, 2021","30,200.0","30,380.0","30,460.0","30,020.0","48.70K","-0.49%"
"Sep 15, 2021","30,350.0","30,350.0","30,400.0","30,100.0","49.86K","-0.16%"
"Sep 14, 2021","30,400.0","30,420.0","30,620.0","30,230.0","62.09K","0.23%"
"Sep 13, 2021","30,330.0","30,220.0","30,350.0","29,910.0","50.47K","0.56%"
"Sep 10, 2021","30,160.0","29,810.0","30,220.0","29,730.0","64.64K","0.57%"
"Sep 09, 2021","29,990.0","29,920.0","30,260.0","29,900.0","50.94K","-0.46%"
"Sep 08, 2021","30,130.0","29,910.0","30,250.0","29,590.0","86.03K","0.77%"
"Sep 07, 2021","29,900.0","29,920.0","30,200.0","29,830.0","109.05K","0.50%"
"Sep 06, 2021","29,750.0","29,120.0","29,770.0","29,110.0","98.63K","2.02%"
"Sep 03, 2021","29,160.0","28,550.0","29,190.0","28,520.0","73.03K","2.42%"
"Sep 02, 2021","28,470.0","28,560.0","28,660.0","28,410.0","43.39K","-0.07%"
