"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","2,245.6","2,248.1","2,261.7","2,234.6","-","-0.10%"
"Dec 30, 2021","2,247.9","2,245.3","2,275.2","2,241.4","-","0.12%"
"Dec 29, 2021","2,245.2","2,251.6","2,255.6","2,232.8","-","-0.27%"
"Dec 28, 2021","2,251.3","2,260.1","2,278.1","2,243.9","-","-0.40%"
"Dec 27, 2021","2,260.3","2,239.8","2,263.2","2,225.9","-","0.92%"
"Dec 26, 2021","2,239.7","2,236.3","2,242.6","2,236.2","-","0.11%"
"Dec 23, 2021","2,237.3","2,224.8","2,245.8","2,221.2","-","0.55%"
"Dec 22, 2021","2,225.1","2,200.2","2,226.2","2,189.1","-","1.13%"
"Dec 21, 2021","2,200.2","2,145.3","2,205.5","2,136.1","-","2.56%"
"Dec 20, 2021","2,145.2","2,133.3","2,148.8","2,103.8","-","0.55%"
"Dec 19, 2021","2,133.4","2,165.4","2,165.7","2,129.6","-","-1.76%"
"Dec 17, 2021","2,171.7","2,150.1","2,190.2","2,120.4","-","1.03%"
"Dec 16, 2021","2,149.6","2,203.4","2,225.8","2,139.5","-","-2.47%"
"Dec 15, 2021","2,204.1","2,163.2","2,206.9","2,128.1","-","1.89%"
"Dec 14, 2021","2,163.2","2,187.7","2,194.4","2,151.6","-","-1.12%"
"Dec 13, 2021","2,187.7","2,217.3","2,227.4","2,166.5","-","-1.34%"
"Dec 12, 2021","2,217.4","2,211.3","2,218.2","2,211.3","-","0.14%"
"Dec 10, 2021","2,214.4","2,222.8","2,246.9","2,199.1","-","-0.37%"
"Dec 09, 2021","2,222.7","2,270.5","2,277.1","2,217.7","-","-2.11%"
"Dec 08, 2021","2,270.7","2,259.8","2,282.8","2,247.1","-","0.49%"
"Dec 07, 2021","2,259.7","2,209.2","2,277.2","2,204.8","-","2.29%"
"Dec 06, 2021","2,209.1","2,184.7","2,223.3","2,153.1","-","1.12%"
"Dec 05, 2021","2,184.6","2,173.4","2,185.3","2,173.4","-","1.24%"
"Dec 03, 2021","2,157.8","2,190.9","2,222.2","2,139.2","-","-1.52%"
"Dec 02, 2021","2,191.0","2,155.5","2,212.3","2,147.8","-","1.65%"
"Dec 01, 2021","2,155.4","2,215.1","2,255.7","2,137.6","-","-2.68%"
"Nov 30, 2021","2,214.8","2,251.8","2,257.9","2,171.8","-","-1.63%"
"Nov 29, 2021","2,251.6","2,266.4","2,282.1","2,225.9","-","-0.69%"
"Nov 28, 2021","2,267.3","2,256.8","2,275.3","2,253.2","-","2.05%"
"Nov 26, 2021","2,221.8","2,309.4","2,312.0","2,206.8","-","-3.80%"
"Nov 25, 2021","2,309.5","2,335.3","2,345.2","2,308.1","-","-1.10%"
"Nov 24, 2021","2,335.2","2,325.6","2,335.9","2,300.5","-","0.40%"
