"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","36,426.4","36,399.6","36,485.0","36,244.8","-","0.08%"
"Dec 30, 2021","36,398.1","36,471.9","36,683.7","36,374.4","-","-0.21%"
"Dec 29, 2021","36,474.4","36,433.5","36,569.8","36,365.7","-","0.11%"
"Dec 28, 2021","36,435.0","36,264.2","36,525.7","36,234.3","-","0.47%"
"Dec 27, 2021","36,265.2","35,976.8","36,323.6","35,878.3","-","0.81%"
"Dec 26, 2021","35,974.3","35,957.3","36,002.8","35,949.3","-","0.01%"
"Dec 23, 2021","35,970.1","35,769.1","36,061.4","35,745.1","-","0.55%"
"Dec 22, 2021","35,773.6","35,497.8","35,792.0","35,407.7","-","0.79%"
"Dec 21, 2021","35,493.3","35,079.0","35,531.2","34,977.2","-","1.18%"
"Dec 20, 2021","35,078.5","35,186.0","35,255.3","34,665.4","-","-0.29%"
"Dec 19, 2021","35,181.5","35,377.2","35,441.6","35,169.0","-","-0.79%"
"Dec 17, 2021","35,461.4","35,920.1","35,982.8","35,282.1","-","-1.27%"
"Dec 16, 2021","35,916.7","35,971.5","36,209.6","35,777.0","-","-0.16%"
"Dec 15, 2021","35,974.5","35,564.2","36,000.0","35,385.1","-","1.16%"
"Dec 14, 2021","35,563.7","35,704.2","35,784.5","35,437.7","-","-0.40%"
"Dec 13, 2021","35,706.2","36,044.7","36,128.7","35,608.2","-","-0.94%"
"Dec 12, 2021","36,045.2","35,995.7","36,053.2","35,995.7","-","0.16%"
"Dec 10, 2021","35,987.4","35,770.8","35,991.9","35,709.3","-","0.61%"
"Dec 09, 2021","35,768.3","35,733.1","35,866.3","35,577.3","-","0.09%"
"Dec 08, 2021","35,735.1","35,738.0","35,934.7","35,600.8","-","-0.01%"
"Dec 07, 2021","35,738.5","35,259.6","35,822.2","35,209.6","-","1.37%"
"Dec 06, 2021","35,254.1","34,772.1","35,355.1","34,645.6","-","1.39%"
"Dec 05, 2021","34,772.1","34,651.1","34,784.6","34,599.6","-","0.61%"
"Dec 03, 2021","34,561.5","34,543.4","34,805.4","34,265.1","-","0.05%"
"Dec 02, 2021","34,543.9","34,164.1","34,762.5","34,084.3","-","1.12%"
"Dec 01, 2021","34,160.1","34,534.8","35,003.7","33,956.1","-","-1.08%"
"Nov 30, 2021","34,531.8","35,231.8","35,278.4","34,428.0","-","-1.98%"
"Nov 29, 2021","35,229.3","35,072.5","35,302.5","34,896.9","-","0.43%"
"Nov 28, 2021","35,079.5","34,807.0","35,140.5","34,807.0","-","1.05%"
"Nov 26, 2021","34,715.5","35,679.5","35,681.0","34,699.0","-","-2.70%"
"Nov 25, 2021","35,678.5","35,848.7","35,952.8","35,664.5","-","-0.47%"
"Nov 24, 2021","35,846.2","35,778.7","35,853.2","35,585.7","-","0.19%"
"Nov 23, 2021","35,778.2","35,666.7","35,840.3","35,422.4","-","0.32%"
"Nov 22, 2021","35,665.7","35,633.4","35,932.7","35,584.1","-","0.09%"
"Nov 21, 2021","35,632.4","35,645.4","35,671.9","35,624.4","-","-0.03%"
"Nov 19, 2021","35,642.9","35,896.4","36,046.5","35,552.5","-","-0.70%"
"Nov 18, 2021","35,895.9","35,916.1","36,019.8","35,658.0","-","-0.05%"
"Nov 17, 2021","35,914.6","36,171.5","36,173.0","35,877.6","-","-0.71%"
"Nov 16, 2021","36,171.0","36,100.0","36,318.3","36,025.6","-","0.20%"
"Nov 15, 2021","36,098.5","36,131.8","36,254.9","36,034.0","-","-0.09%"
"Nov 14, 2021","36,130.3","36,133.3","36,166.8","36,122.3","-","0.02%"
"Nov 12, 2021","36,123.0","35,975.9","36,153.5","35,933.6","-","0.41%"
"Nov 11, 2021","35,976.4","36,046.1","36,157.7","35,919.2","-","-0.19%"
"Nov 10, 2021","36,045.1","36,261.9","36,347.3","36,009.2","-","-0.59%"
"Nov 09, 2021","36,259.4","36,382.2","36,432.3","36,174.3","-","-0.33%"
"Nov 08, 2021","36,381.2","36,311.1","36,560.1","36,274.1","-","0.18%"
"Nov 07, 2021","36,316.1","36,263.6","36,368.6","36,263.6","-","0.05%"
"Nov 05, 2021","36,299.0","36,144.0","36,487.0","36,069.1","-","0.43%"
"Nov 04, 2021","36,145.0","36,178.6","36,183.7","35,987.2","-","-0.10%"
"Nov 03, 2021","36,180.1","36,025.2","36,190.6","35,890.4","-","0.43%"
"Nov 02, 2021","36,025.7","35,898.0","36,091.4","35,813.1","-","0.36%"
"Nov 01, 2021","35,896.5","35,925.0","36,005.9","35,799.5","-","-0.07%"
"Oct 31, 2021","35,922.0","35,910.0","35,940.0","35,868.5","-","0.22%"
"Oct 29, 2021","35,844.3","35,727.9","35,862.2","35,604.6","-","0.34%"
"Oct 28, 2021","35,723.4","35,559.8","35,797.8","35,502.0","-","0.46%"
"Oct 27, 2021","35,560.2","35,783.6","35,827.5","35,497.4","-","-0.63%"
"Oct 26, 2021","35,785.1","35,776.0","35,893.8","35,735.2","-","0.03%"
"Oct 25, 2021","35,775.5","35,598.5","35,787.3","35,597.0","-","0.50%"
"Oct 24, 2021","35,597.0","35,618.5","35,636.5","35,570.6","-","-0.03%"
"Oct 22, 2021","35,607.5","35,564.9","35,763.4","35,532.8","-","0.12%"
"Oct 21, 2021","35,563.9","35,545.6","35,660.6","35,442.2","-","0.05%"
"Oct 20, 2021","35,546.6","35,499.3","35,670.9","35,408.5","-","0.15%"
"Oct 19, 2021","35,492.8","35,252.4","35,499.8","35,198.0","-","0.68%"
"Oct 18, 2021","35,253.9","35,262.7","35,346.7","35,037.3","-","-0.01%"
"Oct 17, 2021","35,257.7","35,336.7","35,353.2","35,254.2","-","-0.15%"
"Oct 15, 2021","35,310.0","34,975.9","35,325.3","34,916.4","-","0.96%"
"Oct 14, 2021","34,974.9","34,432.3","34,991.9","34,432.3","-","1.57%"
"Oct 13, 2021","34,434.8","34,304.1","34,464.1","34,114.6","-","0.38%"
"Oct 12, 2021","34,305.6","34,495.8","34,604.1","34,247.9","-","-0.55%"
"Oct 11, 2021","34,495.3","34,575.3","34,954.7","34,432.8","-","-0.23%"
"Oct 10, 2021","34,573.8","34,767.1","34,807.6","34,524.3","-","-0.51%"
"Oct 08, 2021","34,750.9","34,838.9","34,869.0","34,655.5","-","-0.26%"
"Oct 07, 2021","34,840.9","34,488.9","34,976.1","34,472.4","-","1.00%"
"Oct 06, 2021","34,494.9","34,291.3","34,543.8","33,853.4","-","0.59%"
"Oct 05, 2021","34,291.3","34,013.7","34,492.7","33,817.9","-","0.81%"
"Oct 04, 2021","34,015.2","34,395.3","34,412.0","33,820.6","-","-1.11%"
"Oct 03, 2021","34,398.3","34,338.9","34,429.3","34,332.9","-","0.09%"
"Oct 01, 2021","34,367.6","33,902.6","34,492.1","33,529.5","-","1.35%"
"Sep 30, 2021","33,910.6","34,477.9","34,681.4","33,826.7","-","-1.65%"
"Sep 29, 2021","34,480.4","34,408.0","34,580.2","34,301.6","-","0.20%"
"Sep 28, 2021","34,410.5","34,868.3","34,978.3","34,255.8","-","-1.31%"
"Sep 27, 2021","34,866.3","34,892.7","35,061.6","34,785.9","-","-0.07%"
"Sep 26, 2021","34,891.2","34,820.8","34,908.2","34,813.3","-","0.24%"
"Sep 24, 2021","34,808.9","34,774.2","34,860.1","34,589.5","-","0.11%"
"Sep 23, 2021","34,772.2","34,337.6","34,876.9","34,321.6","-","1.27%"
"Sep 22, 2021","34,335.1","33,842.5","34,442.5","33,766.5","-","1.45%"
"Sep 21, 2021","33,845.0","34,051.6","34,372.6","33,837.0","-","-0.62%"
"Sep 20, 2021","34,056.1","34,513.0","34,528.2","33,613.8","-","-1.32%"
"Sep 19, 2021","34,511.0","34,521.9","34,537.9","34,458.0","-","0.03%"
"Sep 17, 2021","34,499.7","34,709.1","34,834.1","34,484.2","-","-0.60%"
"Sep 16, 2021","34,709.1","34,837.7","34,940.1","34,535.7","-","-0.38%"
"Sep 15, 2021","34,840.7","34,630.0","34,884.2","34,497.1","-","0.61%"
"Sep 14, 2021","34,630.0","34,915.7","35,017.9","34,509.3","-","-0.83%"
"Sep 13, 2021","34,918.7","34,746.9","34,939.7","34,607.5","-","0.50%"
"Sep 12, 2021","34,745.4","34,653.9","34,755.4","34,645.4","-","0.29%"
"Sep 10, 2021","34,643.5","34,868.3","35,114.1","34,601.7","-","-0.64%"
"Sep 09, 2021","34,866.3","34,990.9","35,201.9","34,792.1","-","-0.35%"
"Sep 08, 2021","34,990.4","35,058.9","35,176.0","34,903.6","-","-0.19%"
"Sep 07, 2021","35,057.9","35,399.3","35,436.8","35,051.9","-","-0.98%"
"Sep 06, 2021","35,403.8","35,310.2","35,493.3","35,282.2","-","0.24%"
"Sep 05, 2021","35,318.7","35,366.7","35,366.7","35,314.2","-","-0.12%"
"Sep 03, 2021","35,359.6","35,433.3","35,519.6","35,269.8","-","-0.20%"
"Sep 02, 2021","35,429.8","35,305.9","35,474.0","35,236.3","-","0.35%"
"Sep 01, 2021","35,304.9","35,410.3","35,504.5","35,287.0","-","-0.30%"
"Aug 31, 2021","35,410.3","35,396.3","35,508.8","35,290.8","-","0.04%"
"Aug 30, 2021","35,396.3","35,489.3","35,509.6","35,378.8","-","-0.27%"
"Aug 29, 2021","35,490.8","35,461.8","35,512.3","35,449.8","-","0.08%"
"Aug 27, 2021","35,462.2","35,202.2","35,479.1","35,168.3","-","0.74%"
"Aug 26, 2021","35,203.2","35,430.0","35,494.4","35,195.2","-","-0.64%"
"Aug 25, 2021","35,428.5","35,366.3","35,500.4","35,281.9","-","0.17%"
"Aug 24, 2021","35,367.3","35,401.5","35,453.1","35,345.2","-","-0.09%"
"Aug 23, 2021","35,399.5","35,120.8","35,425.6","35,120.8","-","0.79%"
"Aug 22, 2021","35,121.8","35,089.2","35,146.2","35,075.2","-","0.00%"
"Aug 20, 2021","35,120.7","34,830.5","35,176.7","34,633.2","-","0.84%"
"Aug 19, 2021","34,827.0","34,934.9","34,999.4","34,562.1","-","-0.31%"
"Aug 18, 2021","34,936.9","35,256.1","35,357.0","34,865.0","-","-0.89%"
"Aug 17, 2021","35,252.1","35,589.3","35,593.3","35,118.2","-","-0.95%"
"Aug 16, 2021","35,590.8","35,457.8","35,633.7","35,233.4","-","0.37%"
"Aug 15, 2021","35,458.3","35,451.8","35,462.3","35,442.3","-","-0.11%"
