"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","16,366.4","16,443.6","16,469.0","16,354.5","-","-0.47%"
"Dec 30, 2021","16,443.2","16,465.4","16,570.6","16,418.8","-","-0.13%"
"Dec 29, 2021","16,465.3","16,541.7","16,565.2","16,390.4","-","-0.46%"
"Dec 28, 2021","16,541.4","16,559.0","16,660.5","16,456.7","-","-0.11%"
"Dec 27, 2021","16,559.0","16,348.5","16,584.8","16,310.9","-","1.29%"
"Dec 26, 2021","16,348.5","16,321.9","16,354.6","16,321.9","-","0.25%"
"Dec 23, 2021","16,307.5","16,191.1","16,360.6","16,154.4","-","0.71%"
"Dec 22, 2021","16,192.7","15,969.8","16,201.8","15,891.6","-","1.40%"
"Dec 21, 2021","15,969.2","15,725.6","15,994.1","15,614.4","-","1.56%"
"Dec 20, 2021","15,724.4","15,717.3","15,738.8","15,504.0","-","0.06%"
"Dec 19, 2021","15,715.0","15,815.8","15,859.0","15,704.0","-","-0.75%"
"Dec 17, 2021","15,834.0","15,846.8","15,961.4","15,659.9","-","-0.07%"
"Dec 16, 2021","15,845.1","16,322.2","16,459.5","15,801.2","-","-2.94%"
"Dec 15, 2021","16,325.2","15,919.1","16,339.8","15,746.6","-","2.55%"
"Dec 14, 2021","15,918.8","16,091.1","16,133.4","15,739.6","-","-1.08%"
"Dec 13, 2021","16,092.1","16,360.8","16,411.3","16,066.9","-","-1.65%"
"Dec 12, 2021","16,361.8","16,325.3","16,366.7","16,325.3","-","0.25%"
"Dec 10, 2021","16,321.3","16,176.5","16,336.9","16,138.6","-","0.91%"
"Dec 09, 2021","16,174.9","16,379.8","16,422.3","16,123.4","-","-1.25%"
"Dec 08, 2021","16,380.3","16,344.4","16,436.2","16,256.2","-","0.22%"
"Dec 07, 2021","16,343.9","15,845.8","16,375.6","15,827.5","-","3.16%"
"Dec 06, 2021","15,843.5","15,743.6","15,897.7","15,563.8","-","0.65%"
"Dec 05, 2021","15,741.4","15,721.5","15,754.5","15,684.1","-","0.35%"
"Dec 03, 2021","15,687.0","15,939.5","16,120.8","15,543.0","-","-1.59%"
"Dec 02, 2021","15,940.0","15,950.5","16,066.7","15,765.7","-","-0.06%"
"Dec 01, 2021","15,950.0","16,224.9","16,428.2","15,833.0","-","-1.69%"
"Nov 30, 2021","16,223.5","16,433.3","16,455.7","16,072.4","-","-1.28%"
"Nov 29, 2021","16,434.4","16,171.9","16,443.9","16,169.2","-","1.64%"
"Nov 28, 2021","16,168.9","16,051.3","16,175.7","16,051.3","-","0.79%"
"Nov 26, 2021","16,041.4","16,372.5","16,374.9","15,992.0","-","-2.02%"
"Nov 25, 2021","16,372.9","16,361.1","16,437.7","16,359.3","-","0.08%"
"Nov 24, 2021","16,360.1","16,289.6","16,370.5","16,106.5","-","0.45%"
"Nov 23, 2021","16,287.4","16,399.5","16,419.5","16,122.0","-","-0.68%"
"Nov 22, 2021","16,398.7","16,590.7","16,767.6","16,367.1","-","-1.15%"
"Nov 21, 2021","16,590.1","16,604.3","16,619.7","16,589.6","-","0.02%"
"Nov 19, 2021","16,587.5","16,497.7","16,629.4","16,495.5","-","0.54%"
"Nov 18, 2021","16,498.5","16,331.1","16,509.3","16,312.0","-","1.03%"
"Nov 17, 2021","16,330.7","16,308.2","16,394.0","16,276.0","-","0.14%"
"Nov 16, 2021","16,308.1","16,198.8","16,328.9","16,155.5","-","0.68%"
"Nov 15, 2021","16,198.1","16,233.1","16,282.8","16,092.9","-","-0.21%"
"Nov 14, 2021","16,232.9","16,219.9","16,246.4","16,219.4","-","0.14%"
"Nov 12, 2021","16,209.9","16,072.9","16,219.0","16,010.9","-","0.85%"
"Nov 11, 2021","16,072.9","16,000.3","16,121.0","15,988.6","-","0.46%"
"Nov 10, 2021","15,998.9","16,191.0","16,247.8","15,906.8","-","-1.19%"
