"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","2,245.31","2,245.93","2,258.11","2,244.85","-","-0.15%"
"Dec 30, 2021","2,248.79","2,249.35","2,271.82","2,247.47","-","-0.02%"
"Dec 29, 2021","2,249.24","2,246.35","2,252.79","2,236.65","-","0.12%"
"Dec 28, 2021","2,246.51","2,261.04","2,274.54","2,245.57","-","-0.66%"
"Dec 27, 2021","2,261.46","2,242.48","2,261.89","2,230.33","-","0.89%"
"Dec 23, 2021","2,241.58","2,222.25","2,247.63","2,222.25","-","0.89%"
"Dec 22, 2021","2,221.90","2,202.43","2,222.51","2,195.42","-","0.86%"
"Dec 21, 2021","2,202.95","2,141.41","2,203.02","2,141.41","-","2.95%"
"Dec 20, 2021","2,139.87","2,170.97","2,170.97","2,107.68","-","-1.57%"
"Dec 17, 2021","2,173.93","2,152.51","2,186.36","2,124.74","-","1.00%"
"Dec 16, 2021","2,152.46","2,196.82","2,216.09","2,144.70","-","-1.95%"
"Dec 15, 2021","2,195.21","2,159.88","2,199.86","2,130.91","-","1.65%"
"Dec 14, 2021","2,159.65","2,178.92","2,189.71","2,153.21","-","-0.96%"
"Dec 13, 2021","2,180.50","2,211.59","2,211.59","2,169.01","-","-1.42%"
"Dec 10, 2021","2,211.81","2,221.43","2,240.38","2,200.10","-","-0.38%"
"Dec 09, 2021","2,220.21","2,270.27","2,270.27","2,220.18","-","-2.27%"
"Dec 08, 2021","2,271.71","2,254.31","2,276.75","2,248.24","-","0.80%"
"Dec 07, 2021","2,253.79","2,206.77","2,271.71","2,206.77","-","2.28%"
"Dec 06, 2021","2,203.48","2,160.16","2,218.27","2,154.62","-","2.05%"
"Dec 03, 2021","2,159.31","2,207.06","2,216.18","2,143.12","-","-2.13%"
"Dec 02, 2021","2,206.33","2,147.62","2,211.66","2,147.62","-","2.74%"
"Dec 01, 2021","2,147.42","2,203.12","2,253.37","2,147.40","-","-2.34%"
"Nov 30, 2021","2,198.91","2,241.05","2,241.05","2,175.68","-","-1.92%"
"Nov 29, 2021","2,241.98","2,248.90","2,281.28","2,232.09","-","-0.18%"
"Nov 26, 2021","2,245.94","2,328.98","2,328.98","2,215.24","-","-3.80%"
"Nov 25, 2021","2,334.65","2,334.70","2,337.90","2,332.85","-","0.14%"
"Nov 24, 2021","2,331.46","2,326.70","2,334.37","2,303.94","-","0.15%"
"Nov 23, 2021","2,327.86","2,331.25","2,342.63","2,303.38","-","-0.15%"
"Nov 22, 2021","2,331.35","2,343.67","2,369.63","2,331.35","-","-0.50%"
"Nov 19, 2021","2,343.16","2,362.44","2,362.44","2,341.57","-","-0.86%"
"Nov 18, 2021","2,363.59","2,377.60","2,385.99","2,348.52","-","-0.56%"
"Nov 17, 2021","2,377.01","2,404.21","2,404.21","2,369.11","-","-1.16%"
"Nov 16, 2021","2,405.02","2,400.10","2,408.34","2,386.51","-","0.17%"
"Nov 15, 2021","2,400.93","2,412.04","2,421.07","2,392.89","-","-0.45%"
"Nov 12, 2021","2,411.78","2,409.46","2,417.20","2,405.83","-","0.11%"
"Nov 11, 2021","2,409.14","2,390.50","2,418.83","2,390.50","-","0.82%"
"Nov 10, 2021","2,389.58","2,426.44","2,428.97","2,380.76","-","-1.55%"
"Nov 09, 2021","2,427.29","2,442.22","2,442.22","2,414.43","-","-0.63%"
"Nov 08, 2021","2,442.74","2,438.36","2,458.85","2,438.06","-","0.23%"
