Date,Close,Open,High,Low,Vol.
2009-07-01,703.0,688.2,705.0,688.2,0.0
2009-07-02,685.7,703.0,703.0,685.2,0.0
2009-07-03,686.1,685.7,690.7,683.6,0.0
2009-07-06,679.4,686.1,686.1,675.7,0.0
2009-07-07,678.1,679.4,687.0,677.7,0.0
2009-07-08,670.5,678.1,679.8,669.0,0.0
2009-07-09,673.5,670.5,678.0,670.5,0.0
2009-07-10,668.4,673.5,673.8,667.8,0.0
2009-07-13,680.5,668.4,681.7,663.4,0.0
2009-07-14,686.3,680.5,689.3,680.0,0.0
2009-07-15,703.9,686.3,703.9,686.3,0.0
2009-07-16,706.4,703.9,710.2,701.2,0.0
2009-07-17,710.8,706.4,714.5,706.4,0.0
2009-07-20,719.6,710.8,723.1,710.8,0.0
2009-07-21,725.7,719.6,729.1,718.7,0.0
2009-07-22,727.8,725.7,728.5,720.6,0.0
2009-07-23,738.5,727.8,739.6,724.3,0.0
2009-07-24,741.2,738.5,745.5,734.7,0.0
2009-07-27,742.7,741.2,747.4,737.4,0.0
2009-07-28,733.4,742.7,747.6,732.1,0.0
2009-07-29,736.5,733.4,742.0,730.7,0.0
2009-07-30,750.1,736.5,752.6,736.5,0.0
2009-07-31,746.3,750.1,752.3,744.9,0.0
2009-08-03,758.3,746.3,762.8,744.3,0.0
2009-08-04,756.5,758.3,758.3,749.5,0.0
2009-08-05,752.6,756.5,760.6,749.9,0.0
2009-08-06,759.6,752.6,766.0,752.6,0.0
2009-08-07,766.3,759.6,768.2,750.2,0.0
2009-08-10,764.8,766.3,766.3,759.4,0.0
2009-08-11,756.5,764.8,768.3,754.3,0.0
2009-08-12,763.9,756.5,764.8,750.1,0.0
2009-08-13,770.2,763.9,775.7,763.9,0.0
2009-08-14,763.4,770.2,775.8,761.1,0.0
2009-08-17,752.3,763.4,763.4,746.6,0.0
2009-08-18,758.9,752.3,759.3,752.3,0.0
2009-08-19,759.5,758.9,760.9,749.1,0.0
2009-08-20,770.3,759.5,772.0,759.5,0.0
2009-08-21,785.6,770.3,786.8,767.0,0.0
2009-08-24,792.9,785.6,795.4,785.6,0.0
2009-08-25,796.3,792.9,797.3,786.9,0.0
2009-08-26,792.0,796.3,797.9,789.1,0.0
2009-08-27,788.6,792.0,794.6,786.3,0.0
2009-08-28,795.0,788.6,800.7,788.6,0.0
2009-09-01,780.6,795.0,797.0,780.6,0.0
2009-09-02,780.2,780.6,780.9,773.6,0.0
2009-09-03,776.8,780.2,784.1,775.6,0.0
2009-09-04,785.7,776.8,789.3,776.8,0.0
2009-09-07,798.9,785.7,800.3,785.7,0.0
2009-09-08,801.2,798.9,805.2,797.8,0.0
2009-09-09,810.5,801.2,810.5,798.2,0.0
2009-09-10,807.8,810.5,815.5,802.7,0.0
2009-09-11,811.6,807.8,816.0,807.8,0.0
2009-09-14,812.8,811.6,813.1,802.3,0.0
2009-09-15,816.6,812.8,819.9,809.2,0.0
2009-09-16,829.9,816.6,831.0,816.6,0.0
2009-09-17,836.3,829.9,837.8,829.9,0.0
2009-09-18,837.8,836.3,839.5,833.6,0.0
2009-09-21,831.5,837.8,839.3,827.2,0.0
2009-09-22,832.9,831.5,840.5,831.5,0.0
2009-09-23,832.3,832.9,838.1,830.3,0.0
2009-09-24,822.6,832.3,836.5,821.6,0.0
2009-09-25,823.1,822.6,829.5,822.6,0.0
2009-09-28,836.6,823.1,837.4,818.0,0.0
2009-09-29,835.6,836.6,839.6,831.9,0.0
2009-09-30,831.4,835.6,840.5,824.8,0.0
2009-10-01,817.5,831.4,836.4,816.9,0.0
2009-10-02,807.9,817.5,817.5,802.5,0.0
2009-10-05,813.7,807.9,813.7,806.0,0.0
2009-10-06,832.1,813.7,834.0,813.7,0.0
2009-10-07,827.4,832.1,835.1,826.7,0.0
2009-10-08,834.8,827.4,837.7,827.4,0.0
2009-10-09,836.0,834.8,837.5,830.9,0.0
2009-10-12,843.8,836.0,847.2,836.0,0.0
2009-10-13,834.7,843.8,845.6,834.7,0.0
2009-10-14,851.2,834.7,852.1,834.7,0.0
2009-10-15,845.9,851.2,853.1,845.2,0.0
2009-10-16,840.6,845.9,854.0,838.3,0.0
2009-10-19,855.3,840.6,855.3,840.6,0.0
2009-10-20,849.2,855.3,858.1,849.2,0.0
2009-10-21,851.5,849.2,853.2,838.0,0.0
2009-10-22,843.3,851.5,851.5,836.7,0.0
2009-10-23,849.0,843.3,858.3,843.3,0.0
2009-10-26,840.8,849.0,855.3,836.7,0.0
2009-10-27,842.3,840.8,847.1,839.2,0.0
2009-10-28,822.8,842.3,842.3,821.8,0.0
2009-10-29,832.1,822.8,833.3,816.7,0.0
2009-10-30,817.0,832.1,837.3,813.7,0.0
2009-11-02,826.7,817.0,828.5,813.4,0.0
2009-11-03,815.8,826.7,826.7,807.3,0.0
2009-11-04,827.2,815.8,829.3,815.8,0.0
2009-11-05,830.1,827.1,834.8,815.7,0.0
2009-11-06,832.9,830.1,835.5,822.4,0.0
2009-11-09,847.8,832.9,848.6,832.9,0.0
2009-11-10,847.1,847.8,852.6,845.6,0.0
2009-11-11,853.0,847.1,858.5,847.1,0.0
2009-11-12,854.5,853.0,859.1,850.9,0.0
2009-11-13,857.8,854.5,857.9,850.5,0.0
2009-11-16,871.7,857.8,874.1,857.8,0.0
2009-11-17,865.8,871.7,871.7,864.3,0.0
2009-11-18,865.2,865.8,870.0,863.5,0.0
2009-11-19,853.1,865.2,865.4,850.9,0.0
2009-11-20,850.5,853.1,859.9,846.0,0.0
2009-11-23,867.3,850.5,871.2,850.5,0.0
2009-11-24,862.2,867.3,870.5,859.8,0.0
2009-11-25,868.8,862.2,870.0,862.2,0.0
2009-11-26,841.2,868.8,868.8,840.4,0.0
2009-11-27,849.5,841.2,853.6,826.6,0.0
2009-11-30,840.6,849.5,853.5,840.6,0.0
2009-12-01,860.3,840.6,860.3,840.6,0.0
2009-12-02,862.8,860.3,866.2,855.6,0.0
2009-12-03,860.4,862.8,870.1,860.3,0.0
2009-12-04,862.0,860.4,870.3,853.9,0.0
2009-12-07,860.1,862.0,863.0,850.4,0.0
2009-12-08,845.9,860.1,862.1,843.2,0.0
2009-12-09,842.8,845.9,849.6,838.2,0.0
2009-12-10,849.3,842.8,851.0,841.3,0.0
2009-12-11,852.1,849.3,860.3,849.3,0.0
2009-12-14,860.8,852.1,863.4,852.1,0.0
2009-12-15,856.0,860.8,862.9,850.4,0.0
2009-12-16,861.6,856.0,864.1,855.7,0.0
2009-12-17,845.0,861.6,861.6,845.0,0.0
2009-12-18,841.6,845.0,856.3,841.6,0.0
2009-12-21,857.4,841.6,861.6,841.6,0.0
2009-12-22,863.0,857.4,868.4,857.4,0.0
2009-12-23,870.1,863.0,872.4,863.0,0.0
2009-12-24,874.9,870.1,874.9,869.3,0.0
2009-12-29,880.6,874.9,881.9,874.9,0.0
2009-12-30,874.2,880.6,881.5,873.0,0.0
2009-12-31,876.6,874.2,879.7,873.0,0.0
2010-01-04,890.8,876.6,890.8,876.3,0.0
2010-01-05,894.4,890.8,896.6,887.6,0.0
2010-01-06,895.6,894.4,896.6,890.3,0.0
2010-01-07,895.1,895.6,899.1,890.7,0.0
2010-01-08,896.3,895.1,898.7,889.9,0.0
2010-01-11,896.9,896.3,907.0,895.2,0.0
2010-01-12,890.5,896.9,898.8,884.2,0.0
2010-01-13,886.4,890.5,892.3,882.8,0.0
2010-01-14,890.4,886.4,894.3,886.4,0.0
2010-01-15,883.5,890.4,895.1,882.7,0.0
2010-01-18,889.8,883.5,891.4,883.3,0.0
2010-01-19,892.9,889.8,895.9,879.6,0.0
2010-01-20,877.9,892.9,892.9,875.2,0.0
2010-01-21,864.0,877.9,885.6,863.5,0.0
2010-01-22,858.8,864.0,865.7,850.7,0.0
2010-01-25,851.9,858.8,863.3,850.7,0.0
2010-01-26,854.6,851.9,854.6,844.7,0.0
2010-01-27,845.0,854.6,854.6,840.9,0.0
2010-01-28,833.4,845.0,855.2,833.4,0.0
2010-01-29,840.3,833.4,847.0,833.4,0.0
2010-02-01,849.8,840.3,850.3,836.3,0.0
2010-02-02,855.6,849.8,856.6,843.5,0.0
2010-02-03,850.7,855.6,859.2,848.3,0.0
2010-02-04,832.3,850.7,852.2,829.8,0.0
2010-02-05,819.6,832.3,832.3,815.2,0.0
2010-02-08,824.7,819.6,828.9,815.1,0.0
2010-02-09,827.9,824.7,831.3,823.5,0.0
2010-02-10,831.1,827.9,839.1,826.8,0.0
2010-02-11,835.9,831.1,842.4,828.3,0.0
2010-02-12,832.8,835.9,843.4,828.8,0.0
2010-02-15,836.9,832.8,841.2,832.8,0.0
2010-02-16,849.3,836.9,849.9,836.9,0.0
2010-02-17,854.6,849.3,859.1,849.3,0.0
2010-02-18,862.4,854.6,862.6,852.1,0.0
2010-02-19,867.8,862.4,869.0,855.3,0.0
2010-02-22,866.8,867.8,872.4,866.1,0.0
2010-02-23,860.8,866.8,873.8,858.7,0.0
2010-02-24,865.3,860.8,867.7,858.0,0.0
2010-02-25,854.8,865.3,869.7,851.8,0.0
2010-02-26,867.2,854.8,869.3,854.8,0.0
2010-03-01,875.5,867.2,877.9,867.2,0.0
2010-03-02,888.2,875.5,888.3,875.1,0.0
2010-03-03,896.1,888.2,897.5,885.1,0.0
2010-03-04,895.1,896.1,897.9,890.9,0.0
2010-03-05,906.9,895.1,907.8,895.1,0.0
2010-03-08,908.0,906.9,910.3,903.6,0.0
2010-03-09,907.3,908.0,909.9,901.0,0.0
2010-03-10,913.5,907.3,914.3,904.6,0.0
2010-03-11,909.7,913.5,913.9,906.1,0.0
2010-03-12,911.1,909.7,914.5,908.9,0.0
2010-03-15,905.9,911.1,911.3,905.0,0.0
2010-03-16,910.2,905.9,913.0,905.9,0.0
2010-03-17,914.1,910.2,916.3,910.2,0.0
2010-03-18,913.8,914.1,916.8,910.0,0.0
2010-03-19,915.0,913.8,921.7,912.4,0.0
2010-03-22,914.1,915.0,915.0,904.3,0.0
2010-03-23,918.8,914.1,922.5,914.1,0.0
2010-03-24,919.5,918.8,922.9,912.8,0.0
2010-03-25,927.6,919.5,929.1,918.8,0.0
2010-03-26,923.6,927.6,927.6,922.4,0.0
2010-03-29,924.9,923.6,928.5,920.6,0.0
2010-03-30,918.6,924.9,930.1,917.1,0.0
2010-03-31,919.8,918.6,922.9,914.4,0.0
2010-04-01,930.4,919.8,930.4,919.8,0.0
2010-04-06,936.1,930.4,937.8,930.3,0.0
2010-04-07,933.2,936.1,936.5,931.8,0.0
2010-04-08,925.2,933.2,933.2,920.6,0.0
2010-04-09,934.6,925.2,935.0,925.2,0.0
2010-04-12,935.7,934.6,939.9,932.2,0.0
2010-04-13,933.1,935.7,935.9,929.9,0.0
2010-04-14,938.7,933.1,941.4,933.1,0.0
2010-04-15,943.4,938.7,944.5,935.8,0.0
2010-04-16,930.2,943.4,944.8,927.4,0.0
2010-04-19,927.6,930.2,930.9,922.7,0.0
2010-04-20,936.7,927.6,938.8,927.6,0.0
2010-04-21,926.9,936.7,938.8,926.6,0.0
2010-04-22,917.5,926.9,933.1,915.4,0.0
2010-04-23,926.9,917.5,929.7,917.5,0.0
2010-04-26,931.9,926.9,939.4,926.9,0.0
2010-04-27,907.5,931.9,932.6,907.5,0.0
2010-04-28,904.8,907.5,913.4,896.2,0.0
