DATE,DTB6
2005-01-03,2.560
2005-01-04,2.560
2005-01-05,2.560
2005-01-06,2.560
2005-01-07,2.560
2005-01-10,2.600
2005-01-11,2.600
2005-01-12,2.570
2005-01-13,2.580
2005-01-14,2.610
2005-01-17,.
2005-01-18,2.640
2005-01-19,2.620
2005-01-20,2.600
2005-01-21,2.590
2005-01-24,2.620
2005-01-25,2.630
2005-01-26,2.640
2005-01-27,2.650
2005-01-28,2.640
2005-01-31,2.720
2005-02-01,2.700
2005-02-02,2.690
2005-02-03,2.690
2005-02-04,2.680
2005-02-07,2.710
2005-02-08,2.710
2005-02-09,2.700
2005-02-10,2.710
2005-02-11,2.750
2005-02-14,2.770
2005-02-15,2.780
2005-02-16,2.780
2005-02-17,2.770
2005-02-18,2.820
2005-02-21,.
2005-02-22,2.860
2005-02-23,2.860
2005-02-24,2.860
2005-02-25,2.870
2005-02-28,2.930
2005-03-01,2.920
2005-03-02,2.910
2005-03-03,2.910
2005-03-04,2.920
2005-03-07,2.940
2005-03-08,2.940
2005-03-09,2.940
2005-03-10,2.950
2005-03-11,2.970
2005-03-14,3.010
2005-03-15,3.010
2005-03-16,3.000
2005-03-17,2.990
2005-03-18,3.020
2005-03-21,3.040
2005-03-22,3.080
2005-03-23,3.050
2005-03-24,3.070
2005-03-25,.
2005-03-28,3.100
2005-03-29,3.080
2005-03-30,3.060
2005-03-31,3.040
2005-04-01,3.040
2005-04-04,3.050
2005-04-05,3.040
2005-04-06,3.020
2005-04-07,3.030
2005-04-08,3.050
2005-04-11,3.080
2005-04-12,3.070
2005-04-13,3.060
2005-04-14,3.050
2005-04-15,3.030
2005-04-18,3.060
2005-04-19,3.040
2005-04-20,3.020
2005-04-21,3.040
2005-04-22,3.050
2005-04-25,3.100
2005-04-26,3.090
2005-04-27,3.080
2005-04-28,3.060
2005-04-29,3.080
2005-05-02,3.100
2005-05-03,3.100
2005-05-04,3.080
2005-05-05,3.050
2005-05-06,3.100
2005-05-09,3.130
2005-05-10,3.110
2005-05-11,3.090
2005-05-12,3.080
2005-05-13,3.040
2005-05-16,3.090
2005-05-17,3.080
2005-05-18,3.060
2005-05-19,3.050
2005-05-20,3.080
2005-05-23,3.100
2005-05-24,3.080
2005-05-25,3.080
2005-05-26,3.060
2005-05-27,3.050
2005-05-30,.
2005-05-31,3.090
2005-06-01,3.030
2005-06-02,3.040
2005-06-03,3.040
2005-06-06,3.060
2005-06-07,3.050
2005-06-08,3.060
2005-06-09,3.050
2005-06-10,3.050
2005-06-13,3.130
2005-06-14,3.130
2005-06-15,3.130
2005-06-16,3.120
2005-06-17,3.130
2005-06-20,3.170
2005-06-21,3.180
2005-06-22,3.150
2005-06-23,3.170
2005-06-24,3.170
2005-06-27,3.230
2005-06-28,3.250
2005-06-29,3.230
2005-06-30,3.240
2005-07-01,3.280
2005-07-04,.
2005-07-05,3.330
2005-07-06,3.310
2005-07-07,3.270
2005-07-08,3.290
2005-07-11,3.360
2005-07-12,3.370
2005-07-13,3.350
2005-07-14,3.360
2005-07-15,3.370
2005-07-18,3.430
2005-07-19,3.430
2005-07-20,3.430
2005-07-21,3.490
2005-07-22,3.500
2005-07-25,3.560
2005-07-26,3.550
2005-07-27,3.550
2005-07-28,3.540
2005-07-29,3.570
2005-08-01,3.610
2005-08-02,3.610
2005-08-03,3.600
2005-08-04,3.600
2005-08-05,3.630
2005-08-08,3.700
2005-08-09,3.670
2005-08-10,3.660
2005-08-11,3.660
2005-08-12,3.670
2005-08-15,3.700
2005-08-16,3.680
2005-08-17,3.680
2005-08-18,3.660
2005-08-19,3.690
2005-08-22,3.700
2005-08-23,3.690
2005-08-24,3.690
2005-08-25,3.690
2005-08-26,3.700
2005-08-29,3.710
2005-08-30,3.670
2005-08-31,3.620
2005-09-01,3.510
2005-09-02,3.520
2005-09-05,.
2005-09-06,3.580
2005-09-07,3.610
2005-09-08,3.610
2005-09-09,3.610
2005-09-12,3.670
2005-09-13,3.650
2005-09-14,3.640
2005-09-15,3.650
2005-09-16,3.690
2005-09-19,3.720
2005-09-20,3.760
2005-09-21,3.710
2005-09-22,3.690
2005-09-23,3.700
2005-09-26,3.760
2005-09-27,3.750
2005-09-28,3.750
2005-09-29,3.760
2005-09-30,3.800
2005-10-03,3.890
2005-10-04,3.890
2005-10-05,3.870
2005-10-06,3.870
2005-10-07,3.870
2005-10-10,.
2005-10-11,3.960
2005-10-12,3.960
2005-10-13,3.950
2005-10-14,3.950
2005-10-17,4.030
2005-10-18,4.010
2005-10-19,4.010
2005-10-20,4.020
2005-10-21,4.020
2005-10-24,4.060
2005-10-25,4.070
2005-10-26,4.070
2005-10-27,4.060
2005-10-28,4.080
2005-10-31,4.120
2005-11-01,4.110
2005-11-02,4.110
2005-11-03,4.120
2005-11-04,4.130
2005-11-07,4.160
2005-11-08,4.150
2005-11-09,4.170
2005-11-10,4.150
2005-11-11,.
2005-11-14,4.200
2005-11-15,4.190
2005-11-16,4.150
2005-11-17,4.150
2005-11-18,4.160
2005-11-21,4.150
2005-11-22,4.090
2005-11-23,4.140
2005-11-24,.
2005-11-25,4.130
2005-11-28,4.16
2005-11-29,4.17
2005-11-30,4.16
2005-12-01,4.17
2005-12-02,4.16
2005-12-05,4.20
2005-12-06,4.18
2005-12-07,4.17
2005-12-08,4.12
2005-12-09,4.13
2005-12-12,4.19
2005-12-13,4.19
2005-12-14,4.15
2005-12-15,4.16
2005-12-16,4.15
2005-12-19,4.22
2005-12-20,4.22
2005-12-21,4.20
2005-12-22,4.17
2005-12-23,4.17
2005-12-26,.
2005-12-27,4.20
2005-12-28,4.18
2005-12-29,4.19
2005-12-30,4.22
2006-01-02,.
2006-01-03,4.25
2006-01-04,4.22
2006-01-05,4.22
2006-01-06,4.24
2006-01-09,4.25
2006-01-10,4.27
2006-01-11,4.29
2006-01-12,4.28
2006-01-13,4.28
2006-01-16,.
2006-01-17,4.31
2006-01-18,4.30
2006-01-19,4.31
2006-01-20,4.32
2006-01-23,4.34
2006-01-24,4.35
2006-01-25,4.38
2006-01-26,4.38
2006-01-27,4.39
2006-01-30,4.45
2006-01-31,4.43
2006-02-01,4.44
2006-02-02,4.45
2006-02-03,4.47
2006-02-06,4.51
2006-02-07,4.50
2006-02-08,4.50
2006-02-09,4.50
2006-02-10,4.53
2006-02-13,4.54
2006-02-14,4.55
2006-02-15,4.53
2006-02-16,4.52
2006-02-17,4.52
2006-02-20,.
2006-02-21,4.56
2006-02-22,4.53
2006-02-23,4.56
2006-02-24,4.56
2006-02-27,4.59
2006-02-28,4.57
2006-03-01,4.58
2006-03-02,4.58
2006-03-03,4.58
2006-03-06,4.60
2006-03-07,4.60
2006-03-08,4.60
2006-03-09,4.60
2006-03-10,4.61
2006-03-13,4.65
2006-03-14,4.62
2006-03-15,4.63
2006-03-16,4.60
2006-03-17,4.61
2006-03-20,4.61
2006-03-21,4.64
2006-03-22,4.63
2006-03-23,4.63
2006-03-24,4.61
2006-03-27,4.62
2006-03-28,4.65
2006-03-29,4.65
2006-03-30,4.66
2006-03-31,4.64
2006-04-03,4.68
2006-04-04,4.67
2006-04-05,4.65
2006-04-06,4.67
2006-04-07,4.67
2006-04-10,4.71
2006-04-11,4.70
2006-04-12,4.73
2006-04-13,4.76
2006-04-14,.
2006-04-17,4.75
2006-04-18,4.72
2006-04-19,4.72
2006-04-20,4.72
2006-04-21,4.72
2006-04-24,4.75
2006-04-25,4.77
2006-04-26,4.79
2006-04-27,4.75
2006-04-28,4.73
2006-05-01,4.79
2006-05-02,4.79
2006-05-03,4.81
2006-05-04,4.82
2006-05-05,4.81
2006-05-08,4.84
2006-05-09,4.84
2006-05-10,4.84
2006-05-11,4.80
2006-05-12,4.81
2006-05-15,4.83
2006-05-16,4.80
2006-05-17,4.81
2006-05-18,4.79
2006-05-19,4.81
2006-05-22,4.83
2006-05-23,4.83
2006-05-24,4.80
2006-05-25,4.82
2006-05-26,4.83
2006-05-29,.
2006-05-30,4.85
2006-05-31,4.89
2006-06-01,4.87
2006-06-02,4.82
2006-06-05,4.85
2006-06-06,4.86
2006-06-07,4.87
2006-06-08,4.87
2006-06-09,4.88
2006-06-12,4.93
2006-06-13,4.93
2006-06-14,4.97
2006-06-15,4.96
2006-06-16,4.99
2006-06-19,5.05
2006-06-20,5.04
2006-06-21,5.03
2006-06-22,5.04
2006-06-23,5.07
2006-06-26,5.11
2006-06-27,5.10
2006-06-28,5.10
2006-06-29,5.06
2006-06-30,5.04
2006-07-03,5.10
2006-07-04,.
2006-07-05,5.11
2006-07-06,5.10
2006-07-07,5.08
2006-07-10,5.11
2006-07-11,5.09
2006-07-12,5.09
2006-07-13,5.07
2006-07-14,5.06
2006-07-17,5.09
2006-07-18,5.12
2006-07-19,5.07
2006-07-20,5.04
2006-07-21,5.05
2006-07-24,5.06
2006-07-25,5.05
2006-07-26,5.01
2006-07-27,5.00
2006-07-28,4.96
2006-07-31,4.98
2006-08-01,4.98
2006-08-02,4.98
2006-08-03,4.99
2006-08-04,4.96
2006-08-07,5.00
2006-08-08,4.96
2006-08-09,4.95
2006-08-10,4.96
2006-08-11,5.00
2006-08-14,5.04
2006-08-15,4.99
2006-08-16,4.96
2006-08-17,4.98
2006-08-18,4.99
2006-08-21,4.98
2006-08-22,4.97
2006-08-23,4.97
2006-08-24,4.97
2006-08-25,4.97
2006-08-28,4.98
2006-08-29,4.96
2006-08-30,4.94
2006-08-31,4.92
2006-09-01,4.91
2006-09-04,.
2006-09-05,4.93
2006-09-06,4.92
2006-09-07,4.93
2006-09-08,4.91
2006-09-11,4.93
2006-09-12,4.92
2006-09-13,4.89
2006-09-14,4.92
2006-09-15,4.92
2006-09-18,4.92
2006-09-19,4.90
2006-09-20,4.90
2006-09-21,4.85
2006-09-22,4.83
2006-09-25,4.82
2006-09-26,4.83
2006-09-27,4.82
2006-09-28,4.82
2006-09-29,4.83
2006-10-02,4.83
2006-10-03,4.83
2006-10-04,4.81
2006-10-05,4.84
2006-10-06,4.86
2006-10-09,.
2006-10-10,4.90
2006-10-11,4.91
2006-10-12,4.93
2006-10-13,4.94
2006-10-16,4.95
2006-10-17,4.95
2006-10-18,4.94
2006-10-19,4.96
2006-10-20,4.95
2006-10-23,4.98
2006-10-24,4.99
2006-10-25,4.98
2006-10-26,4.98
2006-10-27,4.96
2006-10-30,4.96
2006-10-31,4.93
2006-11-01,4.90
2006-11-02,4.93
2006-11-03,4.98
2006-11-06,4.98
2006-11-07,4.96
2006-11-08,4.96
2006-11-09,4.96
2006-11-10,4.96
2006-11-13,4.96
2006-11-14,4.95
2006-11-15,4.96
2006-11-16,4.97
2006-11-17,4.95
2006-11-20,4.95
2006-11-21,4.95
2006-11-22,4.95
2006-11-23,.
2006-11-24,4.94
2006-11-27,4.94
2006-11-28,4.93
2006-11-29,4.93
2006-11-30,4.91
2006-12-01,4.86
2006-12-04,4.85
2006-12-05,4.84
2006-12-06,4.86
2006-12-07,4.86
2006-12-08,4.89
2006-12-11,4.88
2006-12-12,4.87
2006-12-13,4.88
2006-12-14,4.89
2006-12-15,4.88
2006-12-18,4.90
2006-12-19,4.89
2006-12-20,4.89
2006-12-21,4.87
2006-12-22,4.89
2006-12-25,.
2006-12-26,4.91
2006-12-27,4.91
2006-12-28,4.91
2006-12-29,4.90
2007-01-01,.
2007-01-02,4.91
2007-01-03,4.90
2007-01-04,4.88
2007-01-05,4.90
2007-01-08,4.93
2007-01-09,4.93
2007-01-10,4.93
2007-01-11,4.95
2007-01-12,4.96
2007-01-15,.
2007-01-16,4.96
2007-01-17,4.96
2007-01-18,4.96
2007-01-19,4.97
2007-01-22,4.98
2007-01-23,4.98
2007-01-24,4.97
2007-01-25,4.98
2007-01-26,4.98
2007-01-29,4.99
2007-01-30,4.98
2007-01-31,4.96
2007-02-01,4.96
2007-02-02,4.96
2007-02-05,4.96
2007-02-06,4.96
2007-02-07,4.96
2007-02-08,4.96
2007-02-09,4.97
2007-02-12,4.98
2007-02-13,4.97
2007-02-14,4.96
2007-02-15,4.95
2007-02-16,4.96
2007-02-19,.
2007-02-20,4.96
2007-02-21,4.96
2007-02-22,4.97
2007-02-23,4.97
2007-02-26,4.97
2007-02-27,4.89
2007-02-28,4.91
2007-03-01,4.90
2007-03-02,4.87
2007-03-05,4.87
2007-03-06,4.89
2007-03-07,4.88
2007-03-08,4.88
2007-03-09,4.93
2007-03-12,4.92
2007-03-13,4.89
2007-03-14,4.89
2007-03-15,4.91
2007-03-16,4.93
2007-03-19,4.92
2007-03-20,4.91
2007-03-21,4.87
2007-03-22,4.88
2007-03-23,4.90
2007-03-26,4.88
2007-03-27,4.88
2007-03-28,4.87
2007-03-29,4.86
2007-03-30,4.86
2007-04-02,4.88
2007-04-03,4.88
2007-04-04,4.87
2007-04-05,4.87
2007-04-06,4.90
2007-04-09,4.90
2007-04-10,4.89
2007-04-11,4.89
2007-04-12,4.89
2007-04-13,4.89
2007-04-16,4.88
2007-04-17,4.86
2007-04-18,4.84
2007-04-19,4.84
2007-04-20,4.85
2007-04-23,4.84
2007-04-24,4.83
2007-04-25,4.83
2007-04-26,4.84
2007-04-27,4.83
2007-04-30,4.83
2007-05-01,4.81
2007-05-02,4.82
2007-05-03,4.83
2007-05-04,4.83
2007-05-07,4.83
2007-05-08,4.82
2007-05-09,4.79
2007-05-10,4.75
2007-05-11,4.72
2007-05-14,4.74
2007-05-15,4.71
2007-05-16,4.67
2007-05-17,4.71
2007-05-18,4.78
2007-05-21,4.81
2007-05-22,4.82
2007-05-23,4.81
2007-05-24,4.79
2007-05-25,4.77
2007-05-28,.
2007-05-29,4.80
2007-05-30,4.79
2007-05-31,4.76
2007-06-01,4.78
2007-06-04,4.79
2007-06-05,4.79
2007-06-06,4.75
2007-06-07,4.77
2007-06-08,4.74
2007-06-11,4.76
2007-06-12,4.77
2007-06-13,4.74
2007-06-14,4.73
2007-06-15,4.68
2007-06-18,4.73
2007-06-19,4.71
2007-06-20,4.77
2007-06-21,4.76
2007-06-22,4.75
2007-06-25,4.81
2007-06-26,4.81
2007-06-27,4.75
2007-06-28,4.75
2007-06-29,4.74
2007-07-02,4.82
2007-07-03,4.82
2007-07-04,.
2007-07-05,4.83
2007-07-06,4.81
2007-07-09,4.85
2007-07-10,4.83
2007-07-11,4.84
2007-07-12,4.85
2007-07-13,4.85
2007-07-16,4.87
2007-07-17,4.87
2007-07-18,4.85
2007-07-19,4.86
2007-07-20,4.85
2007-07-23,4.89
2007-07-24,4.87
2007-07-25,4.85
2007-07-26,4.76
2007-07-27,4.75
2007-07-30,4.80
2007-07-31,4.79
2007-08-01,4.76
2007-08-02,4.75
2007-08-03,4.72
2007-08-06,4.72
2007-08-07,4.78
2007-08-08,4.81
2007-08-09,4.67
2007-08-10,4.62
2007-08-13,4.70
2007-08-14,4.62
2007-08-15,4.31
2007-08-16,4.07
2007-08-17,4.04
2007-08-20,4.02
2007-08-21,3.93
2007-08-22,3.93
2007-08-23,4.04
2007-08-24,4.16
2007-08-27,4.51
2007-08-28,4.31
2007-08-29,4.14
2007-08-30,4.06
2007-08-31,4.06
2007-09-03,.
2007-09-04,4.35
2007-09-05,4.24
2007-09-06,4.25
2007-09-07,4.05
2007-09-10,4.05
2007-09-11,4.11
2007-09-12,4.05
2007-09-13,4.11
2007-09-14,4.07
2007-09-17,4.15
2007-09-18,3.97
2007-09-19,3.94
2007-09-20,3.96
2007-09-21,3.95
2007-09-24,3.96
2007-09-25,3.91
2007-09-26,3.91
2007-09-27,3.92
2007-09-28,3.94
2007-10-01,4.00
2007-10-02,4.01
2007-10-03,4.01
2007-10-04,4.00
2007-10-05,4.05
2007-10-08,.
2007-10-09,4.12
2007-10-10,4.11
2007-10-11,4.11
2007-10-12,4.15
2007-10-15,4.23
2007-10-16,4.17
2007-10-17,4.02
